Check this.	Sjáðu þetta.
We live in thy fear. I will tell you this about the man I called Champ... whom everybody called Champ.	Ég ætla að segja ykkur þetta um manninn sem ég og allir aðrir kölluðu Meistarann.
He was, against all reason, my friend.	Hann var þrátt fyrir allt vinur minn.
And he was also a liar.	Og hann var líka lygari.
But was that because he was trying to make himself... better than who he was?	En var það vegna þess að hann var að reyna að vera betri en hann var?
Or was it because the one force more powerful... than a son wanting the admiration of his father... is the father wanting the admiration of his son?	Eða var það vegna þess að eina aflið sem er sterkara en sonur sem þráir aðdáun föður síns er faðir sem þráir aðdáun sonar síns?
Sometimes we need the help of our imagination to achieve that status.	Stundum þarf ímyndunaraflið að hjálpa okkur að öðlast hana.
For it is no easy task being the strongest, wisest... - most beloved man in all the land. And wow.!	Og dapurlegast er þegar börnin okkar uppgötva að við erum ekki glæsilegu ofurmennin sem við sköpuðum.
Tonight, the Raging Bull - And what is sadder... than that moment when our children discover... that we are not the illusory supermen we've created... but rather, as Herman Melville once wrote," men drained of valor "?... is there more news of Tommy Kincaid.	Frekar eins og Herman Melville skrifaði eitt sinn," menn lausir við hugprýði ".... eins og heimurinn þekkir Tommy Kinkaid.
Erik.	Erik.
The lies that come from love can devastate... as much as those that come from malice.	Lygar sem spretta af ást eru eins eyðileggjandi og þær sem spretta af illsku.
What do you think about guys like - Champ's legacy, I suppose... is the inspiration for truth. And the beauty that can emerge from it.	Arfleifð meistarans er líklega innblástur sannleikans og fegurðarinnar sem getur stafað frá sannleikanum.
I'll tell you how to make real strong muscles.	Ég skal sýna þér hvernig þú getur fengið sterka vöðva.
You get your thumb, you roll up your sleeves... - and you blow.	Hafðu þumalinn svona, brettu upp ermarnar og blástu.
A beauty that lets our children admire us unconditionally.	Fegurðarinnar sem lætur börnin okkar dá okkur skilyrðislaust.
In fact, he may have - Love us unconditionally... as I love my son mucho grande.	Og elska okkur skilyrðislaust.
But... he had a pure heart.	Eins og ég elska son minn.
This wonderful ability to. English 112 Drama,Sport USA 2007 English 1.0 822 2/2 2008-03-30 01:43:55,041 2286 1 23 16781 windows-1252 98 2	Mucho grande. - 1509 Icelandic 1.0 1/1 2013-02-28 01:44:07,041 USA 112 Drama,Sport 2007 English 0 1783 0 12248 17 iso-8859-4 0
Quiet on the set.	Hafið þögn.
And we're rolling.	Taka hefst.
Cody Maverick interview, take one.	Viðtal við Cody Maverick, taka eitt.
Why are you guys here to interview me?	Af hverju takið þið viðtal við mig?
Right there?	Þarna?
What is that? What is that? A sound thing.	Hvað er þetta?
It's a microphone.	Þetta er hljóðgræja eða hljóðnemi.
What's up, man?	Blessaður.
I'm Cody.	Ég heiti Cody.
And you're what, 14, 15 years old?	Hvað ertu gamall, 14 eða 15 ára?
Seventeen years of age.	Ég er orðinn 17 ára.
And any other skills besides surfing?	Kanntu eitthvað annað en að brima?
Like singing and dancing? Yeah.	Eins og að syngja og dansa?
Yeah.	Já.
I just surf. Loser.	Nei, ég kann bara að brima.
I just...	Ræfill.
Where do I start?	Hvar á ég að byrja?
How about at the beginning?	Á byrjuninni.
You're asking the right guy.	Þú spyrð einmitt rétta manninn.
He lived so hard because he wasn't afraid to live.	Hann lét allt flakka því hann þorði að lifa.
He wasn't afraid to die.	Og hann óttaðist ekki dauðann.
He came to Antarctica when I was just a kid.	Hann kom á suðurskautið þegar ég var polli.
Man, it was the biggest thing that ever happened here.	Menn höfðu aldrei séð annað eins.
And suddenly there he was.	Skyndilega birtist hann.
He was the greatest.	Hann var bestur.
Everyone looked up to him, respected him, loved him.	Allir litu upp til hans, virtu hann og dáðu.
And one day, one day I'm gonna be just like him.	Og dag einn ætla ég að verða eins og hann.
And I've been surfing ever since I can remember.	Ég hef brimað frá því ég var smásnáði.
It's hard to imagine my life when I wasn't surfing.	Ég man varla eftir mér öðruvísi en á brettinu.
I want to get out of here, and this is my ticket out.	Ég vil komast héðan og þetta er farmiðinn minn.
I'm really good, man.	Ég er rosalegur.
I'm the best on the island.	Langbestur á eyjunni.
I know it sounds cocky for saying that, but, I mean, I am, like the best.	Það hljómar eins og grobb en það er satt, ég er bestur.
I was born and raised here in Shiverpool.	Suðurskautslandið Skjálfandi Ég er fæddur og uppalinn hér á Skjálfanda.
But yeah, I worked there just to pacify my mom a little bit.	Ég vann þarna. Bara til að friða mömmu.
Good old Shiverpool.	Gamli góði Skjálfandi.
My house?	Mitt hús?
Over there.	Þarna niður frá.
You see it right there with the surfboards?	Hjá brettunum.
Yeah, I just live here with me and my brother, Glen, my mom.	Ég bý þarna með mömmu og Glenn bróður mínum.
He was a little, teeny, small egg.	Hann var agnarsmátt egg.
He wasn't very impressive.	Edna Maverick Móðir Cody Ekki mikill bógur.
Glen was the big egg, Cody was the small egg.	Glenn var stóra eggið. Cody það litla.
He can't help it.	Engum að kenna.
That's just the way he is.	Hann er bara svona.
I mean, he's out there in the water all day shirking his responsibilities.	Glen Bróðir Cody Hann er í sjónum allan daginn... Hann er svo ábyrgðarlaus.
You know, hatching these eggs is a big responsibility.	Það er mikil ábyrgð að unga út eggjum.
Only six months in a day.	Það eru bara sex mánuðir í deginum.
Thanks for making it.	Takk fyrir að koma.
It was too good to miss.	Ég vildi ekki missa af þessu.
Thanks for making it.	Takk fyrir að koma.
How was it out there?	Hvernig gekk?
He's the big brother.	Hann er stóri bróðir og ég litli bróðir.
I had to fight for everything.	Ég þurfti að berjast fyrir öllu.
Even Mom's tuna casserole.	Jafnvel kássunni hennar mömmu.
I'm lucky I survived.	Ég var heppinn að halda lífi.
It really wasn't that easy for him growing up.	Hann átti erfiða æsku.
Like I said before he never really knew his father.	Eins og ég sagði... hann þekkti aldrei pabba sinn.
I'm not really the person to ask about it because I was too young to remember.	Bubbi Maverick ( Látinn ) Það þýðir lítið að spyrja mig, ég var of ungur til að muna það.
Look, I'm not the only kid on the island whose dad was, you know, eaten.	Hann var ekki eini pabbinn hér á eyjunni sem var étinn.
Still, it had to be traumatic. No.	Það hlýtur samt að hafa verið áfall.
Not for me, bro.	Nei, ekki fyrir mig.
What's your dream?	Hver er svo draumurinn?
To go away.	Að fara burt.
To go away.	Að fara burt.
That's great.	Það er frábært.
Do you guys want a drink?	Viltu drykk?
Got to run away from responsibility and life.	Hann vill flýja til að forðast ábyrgð.
This is unique.	Þetta er alveg nýtt.
This is not the norm. "I have dreams."	Frekar ólíkt þeim. -, Ég á mér draum.
When is this not happening?	"Er þetta ólíkt honum?
Don't make that noise.	Hættu þessu.
It's really disrespectful.	Þú ert svo dónalegur.
I would never do that.	Ekki myndi ég gera þetta.
You just wouldn't make it out of your mouth.	Þú myndir bara ekki nota munninn.
That's the difference between you and me.	Það er munurinn á okkur tveimur.
You know what? I can't do this anymore.	Ég þoli þetta ekki lengur.
Mom. Look what you did.	Sjáðu hvað þú gerðir.
This is for me. This isn't for you.	Þetta snýst um mig, ekki þig.
Why is Glen still here?	Af hverju er hann hérna?
Oh, yeah, exactly.	Já, einmitt.
Mom!	Mamma!
I don't understand why everybody's so judgmental.	Því eru allir svona dómharðir?
I understand why Mom's judgmental.	Ég skil mömmu.
I think it's because she cares, partially.	Henni er ekki sama, að vissu leyti.
It's also partially because everyone else is looking at her like, "Hey, Cody's just a bum. Cody's this.	Og kannski líka af því hún veit að fólk hugsar:, Cody er ræfill.
Cody's that.	Cody er þetta.
Cody's this."	Cody er hitt."
Cody's me, bro.	Ég er Cody.
Let me be me.	Ég vil vera ég.
When is that gonna start?	Hvenær fæ ég frið til þess?
You know what they call me?	Veistu hvað ég er kallaður?
The dream maker.	Draumasmiðurinn.
The dream maker. I find these kids, I bring them here and I give them a chance to be somebody.	Raggi Belafonte Brimskipuleggjandi Ég finn þessa krakka, kem með þá hingað og veiti þeim tækifæri til að mannast.
You know my greatest joy as a surf promoter? Finding Z. Watching him rise to the top.	Mín mesta gleði sem brim - skipuleggjandi var að uppgötva Z og sjá hann komast á toppinn.
I still can't believe he's gone.	Ég trúi því ekki enn.
He was like a son to me, you know?	Hann var mér sem sonur.
It was a heart thing, you know?	Mér þótti svo vænt um hann.
Can we just take five minutes?	Getum við gert stutt hlé?
How's my hair?	Hvernig er hárið?
And how about the guy sweeping the sand?	Og hvað með gaurinn sem sópar?
Can we hear your boring story about your tedious, ridiculous life?	Megum við heyra um þitt leiðinlega og innantóma líf?
Get your feathers off it!	Burt með fjaðrirnar.
Stop!	Hættu!
Even the pros are terrified of this place.	Jafnvel atvinnumenn óttast þetta svæði.
Tank, nine-time defending champ.	Tankur er nífaldur titilhafi.
A role model?	Ég fyrirmynd?
No.	Nei.
But I do consider myself somebody that everyone should look up to. Kids should try to pretend that they're Tank.	Tankur " "tætari" "Einars Nífaldur titilhafi En ég held að allir ættu að líta upp til mín. Krakkar ættu að þykjast vera Tankur.
I mean, they should try.	Eða þeir geta reynt það.
Good luck, kids.	Gangi þeim vel.
You never want to get in there and help them out and show them how to surf and spend some time with the kids?	Langar þig ekki að hjálpa þeim, kenna krökkunum að brima og vera með þeim?
Okay, to get back to the competition, I just want to say: I'm scouring the globe for the next big thing.	En snúum okkur aftur að keppninni. Ég vildi segja að ég er í leit að nýju undri.
But that's another story.	En það er önnur saga.
He doesn't look for them.	Heimsleitin mikla, 78. dagur.
I find them.	Hann leitar ekki.
I find these penguins.	Ég finn mörgæsirnar.
I find the talent.	Mikki Abromowitz Hæfileikaútsendari Ég finn hæfileikamenn.
Reggie has sent me everywhere on this trip.	Raggi, stjórinn, hefur sent mig út um allt.
Anyplace there's an ocean a lake, a puddle.	Í hverjum sjó, vatni og polli.
It's ridiculous.	Það er fáránlegt.
I am on so much migraine medication, you have no idea.	Ég tek svo mikið af mígrenipillum.
The stress is killing me.	Stressið er að drepa mig.
I lost a bet. Excuse me.	Ég tapaði veðmáli.
Excuse me.	Afsakið.
Does anybody in this entire frozen wasteland surf?	Kann nokkur á þessum eyðimerkurklaka að brima?
The Cody Maverick kid does that.	Cody Maverick kann það.
Wonderful.	Dásamlegt.
Thank you.	Takk.
You know, you're sitting on... thin ice.	Þú veist að þú ert á hálum ís.
Excuse me, I'm looking for...	Afsakið, ég er að leita að Cody Maverick.
Has anyone seen Cody Maverick?	Hefur nokkur séð Cody Maverick?
I'm Cody Maverick.	Ég er Cody Maverick.
You're gonna see what I can do everything's gonna be good and I'm coming with you.	Þegar þú sérð hvað ég get verður allt gott og ég kem með þér.
I can't imagine a better day.	Yndislegur dagur.
Ma!	Mamma!
Ma, he came... the scout.	Hann kom.
Mikey.	Mikki.
He came.	Hann er kominn.
I'm chopping here.	Ég er að saxa.
Okay.	Þá það.
All right, well, wish me luck.	Óskaðu mér góðs gengis.
Cody, just be careful of those big waves.	Passaðu þig á stóru öldunum.
Well, anytime now.	Jæja, drífum í þessu.
You should have been here yesterday.	Þú hefðir átt að vera hér í gær.
Wait!	Bíddu!
Just give me one more chance.	Gefðu mér eitt tækifæri enn.
All I need is one, please. You just had it.	Ég þarf bara eitt tækifæri.
Dude, please don't go.	Þú fékkst það.
Tough break, kid.	Farðu ekki.
Better luck next year.	Því miður, stráksi.
I've never won anything my whole life.	Ég hef aldrei unnið neitt.
Toucans...	Piparfuglar...
Hold on!	Bíddu!
I don't care what you say, I'm coming to Pen Gu!	Ég fer til Mör-gæ, sama hvað þú segir.
No way, no how.	Kemur ekki til mála.
This is a contest for big-wave surfers.	Þetta er keppni fyrir alvörubrimara.
Can't this blubber ball go any faster?	Kemst þessi drusla ekki hraðar?
Step on it, fish sticks!	Gefðu í, fiskibolla!
Poor kid.	Greyið.
No, wait!	Ég vorkenni honum.
Wait!	Bíddu!
Did you guys see that?	Sáuð þið þetta?
We got you.	Við náðum þér.
We got you.	Þú ert þyngri en ég hélt.
Man, we did it.	Okkur tókst það.
Thank you.	Takk fyrir.
Teamwork always pays off.	Samvinna borgar sig.
I'm Chicken Joe, man.	Ég er Jói kjúll.
Thanks, Joe.	Takk, Jói.
Don't you ever, ever, do anything like that in the contest, all right?	Þú mátt aldrei gera neitt þessu líkt í keppninni.
I'm in?	Er ég með?
Yeah, you're in.	Já.
Because that was entertaining, in a horrifying sort of way.	Því þetta var skemmtilegt á hrollvekjandi hátt.
Right on, dude.	Það var lagið.
My name's Cody Maverick, Shiverpool.	Ég heiti Cody Maverick frá Skjálfanda.
You?	En þú?
I'm standing where Z stood. Aw, man. Dude, you gotta try this.	Snertið ekki Smokkfiskur á prjóni Z var hér Sjáðu, ég stend þar sem Z stóð.
No, I'm okay. Come on.	Bragðaðu þetta.
Just one bite.	Nei, takk. Bara einn bita.
All right.	Jæja, þá.
One bite, that's it.	Bara einn bita.
What do you think?	Hvað segirðu svo?
It's not bad. It kind of tastes like chicken...	Ekki slæmt, það bragðast líkt og kjú...
Yep. What's chi-chi?	Hvað er kjú-kjú?
Help me! I'm drowning!	Hjálp, ég er að drukkna!
What are you standing here next to me for?	Af hverju stendurðu hér?
Go talk to her, man.	Talaðu við hana.
I'm not gonna talk to her.	Ég tala ekki við hana.
She's digging on you.	Henni líst vel á þig.
She called you crap. Joe.	Hún kallaði þig, fjárans ".
Thanks again.	Takk, aftur.
All right, well this is the third time you've been unconscious this week.	Þetta er í þriðja sinn í vikunni sem þú missir meðvitund.
I just don't think it's very good for your brain.	Það hlýtur að vera slæmt fyrir heilann.
I know.	Ég veit það.
Bye, Lani. Okay.	Bless, Lani.
Yeah, that was awesome how you saved his life and all.	Þetta var glæsilegt. Þú bjargaðir lífi hans.
That was just unbelievable.	Það var ótrúlegt.
Really.	Ég fylgist með þér.
You'll be watching me?	Viltu horfa á mig?
I have an amazing job.	Ég er í frábærri vinnu.
Just this week, with the contest it's a little crazy.	Keppnin fer að byrja svo það er mikið um að vera.
You really have to be extra, extra attentive.	Lani Strandvörður Maður þarf að fylgjast ennþá betur með.
When you have so many guys in the water you can't miss a thing.	Maður má ekki missa af neinu með svo marga í sjónum.
I have a perfect record.	En ferill minn er flekklaus.
I've never lost anybody.	Ég hef ekki misst neinn.
You're me.	Ég er Laní.
You sure about that?	Þú ert ég.
I get real serious.	Ertu alveg viss?
Let's not. Whoa.	Ég legg mig allan fram.
What is it?	Sleppum því.
That's it!	Sjáðu þetta!
That's Big Z's shrine. Remember?	Minnismerki Z. Manstu ekki?
No, no. Not really.	Nei, eiginlega ekki.
Today, the world of surfing lost one of its legends.	Brimbrettaheimurinn hefur misst frækinn garp.
Big Z took his final ride this morning during a competition with up-and-coming surfer Tank Evans.	Z hélt í sína síðustu ferð í morgun í keppni við upprennandi brimara, Tank Einars.
Z was last seen paddling into a massive swell off Pen Gu Bay.	Z sást síðast svamla út í öldurótið í Mör-gæ flóa.
Stop doing... Stop it!	Hættu þessu!
That's not funny.	Sjáðu þetta.
Stop.	Hættu!
Stop!	Þetta er Z-hálsmen.
What are you doing?	Þetta er ekki fyndið Hvað ertu að gera?
Look, everybody, it's Big Z's last fan!	Sjáið síðasta aðdáanda Z!
You'll never be as good as Big Z, Stank.	Þú verður aldrei jafngóður og Z, Blankur.
That feels good.	Nú tekur vel á. Þetta er gott.
Why don't you work on my glutes a little bit?	Viltu taka rassvöðvana líka?
That's very nice. All right.	Þetta er gott.
That's enough, guys.	Nú er nóg komið, strákar.
I'll take you on anytime, anywhere.	Ég skora á þig hvar og hvenær sem er.
Well, then how about right here, right now, huh?	Af hverju ekki hér og nú?
Hey, Mikey, get this kid a board!	Mikki, láttu hann hafa bretti!
All right, who wants to see the little guy take on the champ?	Hver vill sjá krílið takast á við meistarann?
Little guys rule!	Smávaxnir eru bestir!
A little one-on-one surfing action between Tank Evans and Jerry... Cody.	Við fáum einvígi á brimbrettum. Það eru Tanks Einars og Jerrys...
Cody. Cody Maverick.	Cody. Cody Maverick.
Cody Mavencourt.	Cody Mavenkirk.
And the one that rides the biggest wave wins.	Sá vinnur sem nær stærstu öldunni.
It's mine!	Ég á þessa!
So, Cody, when you take your first wave and the whole island's there to watch, what'll it be like?	Hvernig verður að skella sér í sjóinn með alla þessa áhorfendur?
It's gonna be amazing.	Það verður frábært.
It'll be the best wave of my life.	Þetta verður mín besta alda.
I hope the cameras are rolling because you'll want to watch it over and over and over again.	Ég vona að þetta náist á mynd því þið viljið sjá það aftur og aftur.
It's gonna be awesome!	Þetta verður æðislegt!
The Tank!	Tankurinn!
We're trying to get the details.	Við bíðum nánari frétta.
The lifeguard just pulled him in.	Strandvörðurinn dró hann á land.
Somebody help the chicken.	Er allt í lagi, Tankur?
Tank, you okay? Tank needs fuel.	Mig vantar eldsneyti.
Mikey, get the board, will you?	Mikki, náðu í brettið.
Come on.	Svona, svona.
Come on.	Vann ég?
Come on. Did I win?	Ég vann, er það ekki?
You should've stayed in Antarctica. Oh, wow.	Þú áttir að vera kyrr á Skjálfanda.
You're gonna be okay.	Þú jafnar þig.
Look at that.	Sérðu þetta.
There's pixies everywhere.	Ljósálfar alls staðar.
What do you think about Cody going into a contest and possibly winning?	Hvernig líst ykkur á að Cody keppi og sigri kannski?
Why did you just laugh?	Af hverju hlærðu?
Because he keeps saying "possible."	Af því hann segir, kannski ".
Like it's "possible" that you're gonna win.	Eins og það sé mögulegt.
Geek!	Auli!
Get up and help me. Geek.	Komdu og hjálpaðu mér.
Geek. Wake up!	Vaknaðu!
I need your help.	Ég þarf aðstoð.
Get off your lazy butt and come and help me. Beautiful dream.	Hunskastu nú á lappir og hjálpaðu mér.... yndislegur draumur.
Did you ever know Sheila?	Þekktir þú nokkuð Sillu?
No.	Nei.
What?	Hvað?
What?	Hvað?
Who's this guy?	Hver er þetta?
He's a surfer.	Hann er brimari.
He's hurt.	Hann meiddist.
Who are all those guys?	Hverjir eru þetta?
They're with him.	Þeir eru með honum.
Ignore them.	Láttu sem þú sjáir þá ekki.
Come on.	Komdu.
Lani, what are you doing?	Hvað ertu að gera?
If you help him, they'll go away. Hey!	Farið burt! Hjálpaðu honum!
This is an emergency.	Þetta er neyðartilfelli.
He went down bad over the falls.	Hann lenti í rosa öldu.
And did he hit the reef?	Lenti hann á rifi?
I don't know.	Ég veit það ekki.
I'm not sure.	Er ekki viss.
I got him after...	Ég náði honum eftir...
What, is he your boyfriend?	Er hann kærastinn þinn?
No.	Nei.
Wait, wait, wait.	Bíddu.
Looks like he stepped on a fire urchin.	Mér sýnist hann hafa stigið á Eld-ígul.
Stepped on me?	Stigið á mig?
Are you kidding?	Ertu að grínast?
This guy was dancing on me.	Hann dansaði á mér.
Just look at this.	Sjáið þið bara.
Broken, broken, gone, gone, broken, broken, broken...	Brotin, brotin, farin, brotin...
This is pretty bad.	Þetta er slæmt.
This is really bad. What...	Þetta er afar slæmt.
What's amazing?	Hvað er ótrúlegt?
That you're still alive.	Að þú lifir.
What are you doing?	Hvað ertu að gera?
What is he doing?	Hvað er hann að gera?
This is a sure-fire cure.	Þetta er pottþétt lækning sem ég lærði hjá töfralækni.
I learned it from an old medicine man.	Þetta gerir kraftaverk.
It, well, works wonders. What?	Hvað?
No!	Nei!
Not that!	Ekki þetta!
Not what?	Ekki hvað?
What is he gonna...	Hvað ætlar hann að gera?
Gonna what? Come on, now. Geek, stop.	Drífum í þessu.
Let's do this.	Hættu. Gerum þetta.
See, what 'd I tell you?	Hvað sagði ég?
Hold his foot still, Lani.	Haltu fætinum, Laní.
Come on.	Svona.
Knock him out or something.	Rotaðu hann eða eitthvað.
I'm running on empty here.	Ég er að verða tómur.
I'm trying!	Ég reyni það!
So how you been?	Hvernig hefurðu haft það?
Wow, sea urchin in the foot.	Ígulker í fótinn.
That sounds pretty nasty.	Það hljómar ekki vel.
Yeah. How do you cure something like that?	Hvernig læknar maður það?
You pee on it.	Maður pissar á það.
That's disgusting. I know!	Það er ógeðslegt.
Hey.	Já!
How long am I stuck with this guy?	Hvað sit ég lengi uppi með hann?
Because you know... Till he's better.	Þangað til honum batnar.
Well, come back soon and, please, bring me some clams.	Komdu fljótt aftur og komdu með skelfisk.
No.	Nei.
I'm running low here.	Hann er að klárast.
I can't keep doing this.	Ég get það ekki.
You've got to start taking care of yourself.	Þú verður að sjá um þig sjálfur.
Oh, come on.	Gerðu það.
Bye.	Bless.
Bring me some more clams!	Komdu með skelfisk!
Okay.	Já, já.
If it's just as well with you, I don't want to talk about Cody.	Ég vil ekki tala um Cody ef ykkur er sama.
He lost. That's it.	Hann tapaði.
That's his problem. It's not mine.	Það er hans vandamál, ekki mitt.
I care! Mikey!	Mér er ekki sama!
I can't stand blood.	Ég þoli ekki blóð.
I can't stand the sight of blood.	Ég þoli ekki blóð.
I can't stand... sight of blood.	Ég þoli ekki blóð.
Cody?	Cody!
Cody?	Hefurðu nokkuð séð Cody?
He's not under there.	Hann er ekki hér.
Cody! How's it going, man?	Hvað segirðu, vinur?
So I woke up this morning. I didn't know where I was.	Ég vaknaði í morgun og vissi ekki hvar ég var.
It's never a good place to be when you wake up.	Það er ekki gott að vakna þannig.
Come on, kid.	Komdu nú.
Get up.	Stattu upp.
What the...?	Hvaða...
Yeah, I think I got a concussion.	Ég fékk víst heilahristing.
You should meet my brother, Glen.	Þú ættir að hitta bróður minn Glenn.
You guys would really hit it off.	Þið væruð góðir saman.
Oh, no.	Æ, nei.
No. Where's my necklace?	Hvar er hálsmenið mitt?
Did you see my necklace?	Sástu hálsmenið mitt?
He gave it to me himself.	Hann gaf mér það sjálfur.
Who?	Hver?
Big Z. When he came to Shiverpool.	Z. Hann kom á Skjálfanda.
That guy believed in me when no one else did.	Hann var sá eini sem hafði trú á mér.
He told me never to give up and to find a way because that's what winners do.	Hann sagði mér að gefast aldrei upp og finna leið því það gera sigurvegarar.
What winners do.	Jæja.
Yeah. It's funny, you know, what a loser I became.	Það er fyndið því svo klúðraði ég öllu.
Who cares what Big Z said?	Hverju skiptir hvað Z sagði?
You got to you know, do things your own way.	Þú verður að finna þína eigin leið.
I don't have a way.	Ég hef enga leið.
You do now.	Jú, víst.
Just follow this.	Fylgdu þessari.
It'll take you back to North Beach.	Þá kemstu á norðurströndina.
Okay, nice to meet you.	Jæja, gaman að kynnast þér.
Good luck.	Gangi þér vel.
What do I do now?	Hvað geri ég nú?
I can't show my face on the beach.	Ég fer ekki á ströndina og ekki heim.
I can't go home.	En ekki þetta.
What are you doing here?	Hvað ertu að gera hér?
Here.	Hérna.
Oh, man.	Þakka þér fyrir.
Look at that.	Þetta er kóatré.
I come all the way back here to give you the necklace and I'm offering to make you a board and you say, "Nah."	Ég arka alla þessa leið með hálsmenið og býðst til að smíða bretti fyrir þig en þú segir nei.
Get off your lazy butt.	Stattu á lappir.
We're making a board.	Við smíðum bretti.
Cody!	Allt í lagi.
That's cool.	Þetta er svalt.
Joe, can you just tell us why you're out here looking for Cody?	Af hverju ertu að leita að Cody?
You know, we've known each other way back since, like, yesterday, I think it was.	Við höfum þekkst alveg síðan... síðan í gær ef ég man rétt.
We got a lot in common.	Við eigum margt sameiginlegt.
I never really knew my father either.	Ég þekkti pabba eiginlega ekkert heldur.
Why are you making surfboards in the middle of the jungle anyway?	Bobbi kjúll ( 6 bitar í fötu ) Af hverju smíðum við brimbretti úti í miðjum frumskógi.
I'm just trying to understand.	Ég skil þetta ekki.
Why don't we just roll it?	Af hverju ýtum við þessu?
I'm sorry.	Veltum því bara.
I didn't mean...	Fyrirgefðu, þetta var ekki viljandi.
I didn't know your foot was there.	Ég vissi ekki af fætinum á þér.
Are you okay? I'm sorry.	Meiddirðu þig?
I'm sorry.	Fyrirgefðu.
It's not like I intentionally did it.	Þetta var ekki viljandi.
I'm sorry. Cody.	Cody.
The log!	Bolurinn!
Yeah, I know!	Já, ég veit.
Stop, stop!	Stoppaðu!
Grab the vine! Now, pull it. I'm trying!	Taktu í klifurjurtina!
Pull! Cody!	Togaðu.
Geek!	Ég er að toga.
Cody!	Togaðu!
Oh, no, no, no.	Hjálpaðu mér upp svo ég geti rassskellt þig.
I thought I killed you.	Ég hélt að ég hefði drepið þig.
You okay? Next time, when I say don't roll the...	Næst þegar ég segi þér að velta ekki...
Wait. What's that?	Hvað er þetta?
Yeah, it's a beach.	Þetta er strönd.
Sand, water, sun.	Sandur, vatn, sól.
You seen one, you seen them all.	Þetta er allt saman eins.
Let's get out of here.	Komum okkur burt.
No, come on, man.	Komdu, maður.
Let's go check it out.	Kíkjum á þetta.
You think Cody and the Geek are doing all right? Yeah.	Heldurðu að það sé allt í lagi með Cody og Aulann?
I hate to see him living out there all alone.	Það er leitt að vita af honum einum.
It'll be good for him to have something to do.	Hann hefur gott af að fá eitthvað að gera.
Hey. Somebody's old board shack.	Hérna er gamall brettaskúr.
Look at this.	Að sjá þetta.
This is where he lived! This is where he made his boards!	Hér bjó hann og hér smíðaði hann brettin.
Did you know this was here?	Vissirðu af þessu?
Why didn't you wanna come down here?	Af hverju vildirðu ekki koma hingað?
And then he went up to this old shack, you know.	Svo fór hann að þessum kofa.
And I realized, you know it was Z. I could tell he needed some space and some time to himself.	Z og þá skildi ég... að þetta væri hann. Við söknum þín. Til Z með söknuði.
I didn't want to ask him all these questions.	Ég sá að hann þurfti að fá að vera einn.
So I just kind of stood there quietly.	Ég vildi ekki spyrja hann neins svo ég stóð bara og þagði.
You're Big Z!	Þú ert Z!
I can't believe it.	Ég trúi þessu ekki.
You're alive!	Þú ert á lífi!
That's the respectful way to go, I think.	Þannig á maður að haga sér, held ég.
Why are you alive?	Af hverju ertu á lífi?
What happened?	Hvað gerðist?
Tell me everything.	Segðu mér allt.
Start at the beginning and just go.	Byrjaðu á byrjuninni.
Kid! You're gonna hurt yourself.	Þú meiðir þig, stráksi.
Relax.	Rólegur.
And people said you were dead, but you're not dead. You're in hiding.	Fólk sagði að þú værir dáinn en þú ert bara í felum.
Did something happen? Something happened.	Það gerðist eitthvað, er það ekki?
You saw something you weren't supposed to see.	Þú sást eitthvað sem þú áttir ekki að sjá.
I knew it!	Ég vissi það!
Are you nuts?	Ertu bilaður?
It's not a conspiracy.	Það er ekkert samsæri.
It's no big deal.	Ekkert stórmál.
What happened?	Hvað gerðist?
I don't want to talk about it.	Ég vil ekki ræða það.
You don't... Okay, I got it!	Allt í lagi, ég skil.
I'll be over here if you need anything or you just feel like talking.	Ég verð hérna ef þig vantar eitthvað eða vilt tala.
Do you feel it now?	Langar þig að tala núna?
Go away.	Farðu.
Got it.	Ég skil.
All right.	Ég fer.
Unless you...	Nema þú...
Okay, got it.	Já, allt í lagi.
I'm not gonna lie to you.	Ég vil ekki ljúga.
This is, like, it's huge, man.	Þetta er frábært, maður.
It changes everything.	Þetta breytir öllu.
The contest is a few days away.	Keppnin hefst eftir nokkra daga.
If I can get him to train me, then... Boom.	Ef ég fæ hann til að þjálfa mig...
I could win this with him.	Þá gæti ég sigrað.
It's my dream.	Mig dreymir um það.
And I don't want to give up on that dream.	Ég vil að sá draumur rætist.
Winners find a way, no matter what, right?	Sigurvegarar finna alltaf leið.
A winner is...	Sigurvegari er sá...
It's the surfer who's out there having the most fun.	Sá sem skemmtir sér best í öldunum.
Yep, it's a lot of fun.	Það er rosalega gaman.
A winner is somebody who doesn't knock me off my surfboard and break it when I'm trying to get some big waves.	Sigurvegari er sá sem hrindir mér ekki af brettinu og skemmir það á meðan ég reyni að ná öldu.
Especially Tank.	Sérstaklega Tankur.
He is definitely not a winner.	Hann er ekki sigurvegari.
He's a dirty trashcan full of poop.	Tankur er ruslafata full af skít.
Yeah, I can't remember a time when I wasn't surfing.	Ég man ekki eftir mér öðruvísi en á bretti.
My mom put me right on there.	Mamma setti mig strax á það.
I think she pooped me out just put me right on there.	Ég held hún hafi skotið mér beint á brettið.
I love holding the ladies.	Það er svo gaman að faðma þær.
You know what I'm talking about?	Skilurðu hvað ég meina?
I think so.	Ég held það.
Sort of.	Eiginlega.
Come with me.	Komið með mér.
Put this curtain in myself.	Verið úti eða deyið Ég setti þetta sjálfur.
These are my ladies.	Hér eru dömurnar mínar.
