BOOK I	FYRRI ÞÁTTUR
He sprang suddenly to his feet, crying:	Hann spratt á fætur og hrópaði:
“But we must fly-we must fly!”	"En við verðum að flýja - við verðum að flýja!"
“No, we neednt fly.	"Nei, við þurfum ekki að flýja.
Perhaps wed better go, but we neednt fly.”	Það má vera, að við ættum að fara héðan, en við þurfum ekki að flýja."
“But when it becomes known?”	"En þegar það kemst upp -?"
He broke off and then cried:	Hann lauk ekki við setninguna, en hrópaði:
“Why did you tell me?	"Hversvegna sagðir þú mér þetta?
Why did you come back here?”	Hvers vegna komstu hingað?"
“Well, I told you because it was interesting, and I came back here because I had no money to go elsewhere.”	"Nú, ég sagði þér það, vegna þess að það var skemtilegt, og ég kom hingað af því að mig skorti fé til að fara nokkuð annað."
“I would have sent money.”	"Ég hefði sent þér peninga."
“I find that I get more when I ask in person.	"Ég hafði komist að því, að mér innheimtist meira þegar ég bið um það persónulega.
Besides, is everything finished?”	En er líka alt búið, sem gera átti?"
“Ill have no more to do with it.”	"Ég ætla engan hlut að eiga í þessu framar."
“Ah, my dear cousin, you despond too soon.	"Þú lætur hugfallast of snemma.
The good king has unhappily gone from us, but we still have our dear queen.	Blessaður konungurinn er nú til allrar óhamingju skilinn við okkur, en drotningin okkar kæra er eftir.
“Your neck feeling-?” Rupert delicately imitated the putting of a noose about a mans throat.	"Er þig farið að fiðra í hálsinn," og um leið hermdi Rúpert gletnislega eftir böðli, sem ætlar að leggja snöru um háls glæpamanns.
Rischenheim rose suddenly and flung the window open wide.	Rischenheim spratt skyndilega á fætur og reif opinn gluggann upp á gátt.
“Im suffocated,” he muttered with a sullen frown, avoiding Ruperts eyes.	"Ég ætla ekki að ná andanum hér inni," tautaði hann armæddur á svipiun, og forðaðist að líta framan í Rúpert.
“Wheres Rudolf Rassendyll?” asked Rupert.	"Hvar er Rúdolf Rassendyll?" spurði Rúpert.
“Have you heard of him?”	"Hefirðu komist að því?"
“No, I dont know where he is.”	"Nei, ég veit ekkert hvar hann er."
“We must find that out, I think.”	"Við verðum held ég að komast eftir því."
Rischenheim turned abruptly on him.	Rischenheim sneri sér snögglega að honum og mælti:
“I had no hand in this thing,” he said, “and Ill have no more to do with it.	"Ég átti engan hlut í þessu, og ég vil ekkert meira við mál þín eiga.
I was not there.	Ég var þar ekki.
What did I know of the king being there?	Hvað vissi ég um að konungurinn var þarna?
Im not guilty of it:	Ég vissi ekkert um þetta.
on my soul, I know nothing of it.”	Það segi ég satt."
“Thats all very true,” nodded Rupert.	"Þetta er alt rétt hjá þér," svaraði Rúpert og kinkaði kolli.
“Rupert,” cried he, “let me go, let me alone.	"Rúpert," hrópaði hann, "lofaðu mér að fara, og sjáðu mig í friði.
If you want money, Ill give it to you.	Ef þig vantar peninga, þá skal ég láta þig fá þá.
For Gods sake take it, and get out of Strelsau!”	Taktu við þessu í öllum guðanna bænum, og hafðu þig burt úr Streslau!"
“Im ashamed to beg, my dear cousin, but in fact I want a little money until I can contrive to realize my valuable property.	"Ég skammast mín fyrir að biðja um peningalán, frændi minn góður, en sannast að segja þá vanhagar mig um ofurlítið af peningum, þangað til ég get náð í mínar verðmætu eignir.
He drew from his inner pocket the queens letter.	Hann dró bréf drotningarinnar upp úr brjóstvasa sínum.
“Now if the king hadnt been a fool!” he murmured regretfully, as he regarded it.	"Betur að konungurinn hefði ekki verið annað eins flón og hann var," tautaði hann gremjulega um leið og hann stakk því á sig.
Then he walked across to the window and looked out;	Svo gekk hann yfir að glugganum og leit út.
he could not himself be seen from the street, and nobody was visible at the windows opposite.	Hann sást ekki sjálfur utan af götunni, og engan var að sjá í gluggunum andspænis.
Men and women passed to and fro on their daily labors or pleasures;	Karlar og konur voru á gangi á strætunum ýmist að fara til vinnu, eða úti sér til skemtunar;
there was no unusual stir in the city.	það var ekki hægt að sjá neinn óvanalegan brag á borginni.
Looking over the roofs, Rupert could see the royal standard floating in the wind over the palace and the barracks.	Rúpert horfði yfir húsþökin og gat þá séð konungsflaggið blakta á stöng yfir höllinni og hermanna bústöðunum.
He took out his watch;	Hann leit á úrið sitt.
Rischenheim imitated his action; it was ten minutes to ten.	Sama gerði Rischenheim. Klukkuna vantaði tíu mínútur í tíu.
Rischenheim obeyed, and Rupert let him look for a minute or two before speaking again.	Rischenheim gerði sem honum var boðið, og Rúpert lét hann horfa stundarkorn áður en hann tók til máls.
“Do you see anything remarkable?” he asked then.	"Sérðu nokkuð markvert?" spurði hann svo.
For dont you think that Sapt or some other of her Majestys friends must have gone to the lodge last night?”	Og það er býsna undarlegt, því að heldur þú ekki að Sapt, eða einhver af vinum drotningarinnar hafi farið til skothússins í gærkveldi?"
“They meant to, I swear,” said Rischenheim with sudden attention.	"Það ætluðu þeir sér, ég þori að sverja það." sagði Rischenheim og fór nú að hugsa um þetta.
“Then they would have found the king.	"Ef þeir hafa farið, þá hafa þeir hlotið að finna konunginn.
Theres a telegraph wire at Hofbau, only a few miles away.	Símastöð er í Hofbau, að eins fáar mílur burtu.
And its ten oclock.	Og nú er klukkan tíu.
My cousin, why isnt Strelsau mourning for our lamented king?	Hvernig stendur á því frændi, að Streslau er ekki farin að syrgja konung sinn?
Why arent the flags at half-mast?	Hvernig stendur á því, að ekki er flaggað í hálfa stöng?
I dont understand it.”	Ég skil það ekki."
“No,” murmured Rischenheim, his eyes now fixed on his cousins face.	"Ég ekki heldur." tautaði Rischenheim og hafði ekki augun af frænda sínum.
Rupert broke into a smile and tapped his teeth with his fingers.	Rúpert fór að brosa, og sló fingrinum á tanngarðinn.
“I wonder,” said he meditatively, “if that old player Sapt has got a king up his sleeve again!	"Mig skyldi ekki undra," sagði hann hugsandi, "þó að Sapt hefði annan konung á boðstólum í annað sinn.
If that were so-” He stopped and seemed to fall into deep thought.	Ef svo væri -" Hann þagnaði og virtist hugsa af kappi.
Rischenheim did not interrupt him, but stood looking now at him, now out of the window.	Rischenheim greip ekki fram í fyrir honum, en stóð og horfði ýmist á hann eða út um gluggann.
Still there was no stir in the streets, and still the standards floated at the summit of the flag staffs.	Enn sást engin tilbreyting á götunum og enn blöktu flöggin dregin á hún.
The kings death was not yet known in Strelsau.	Það var ekki orðið kunnugt um dauða konungsins í Streslau.
“Wheres Bauer?” asked Rupert suddenly.	"Hvar er Bauer?" spurði Rúpert alt í einu.
“Where the plague can Bauer be?	"Hvar í fjandanum getur Bauer verið?
He was my eyes.	Hann var þarfur snati.
Here we are, cooped up, and I dont know whats going on.”	Hér sitjum við eins og fuglar í búri og vitum ekkert hvað er að gerast."
“I dont know where he is.	"Ég hefi enga hugmynd um hvar hann er.
Something must have happened to him.”	Það hlýtur eitthvað að hafa komið fyrir hann."
“Of course, my wise cousin.	"Þar getur þú víst rétt til um, hygni frændi minn.
But what?”	En hvað hefir komið fyrir hann?"
Rupert began to pace up and down the room, smoking another cigarette at a great pace.	Rúpert fór að ganga um gólf í ákafa og reykti annan vindling.
Rischenheim sat down by the table, resting his head on his hand.	Rischenheim settist niður við borðið og studdi hönd undir kinn.
He was wearied out by strain and excitement, his wounded arm pained him greatly, and he was full of horror and remorse at the event which happened unknown to him the night before.	Hann var orðinn úrvinda af þreytu og æsingi. Hann kendi mikils sársauka í handleggnum sem særður var, og atburðurinn, sem gerst hafði kveldið fyrir, honum óafvitandi, fylti huga hans harmi og skelfingu.
“I wish I was quit of it,” he moaned at last.	"Ég vildi að ég væri laus við þetta," sagði hann loksins og stundi við.
Rupert stopped before him.	Rúpert nam staðar frammi fyrir honum.
“You repent of your misdeeds?” he asked.	Iðrast þú yfirsjóna þinna?" spurði hann.
“Well, then, you shall be allowed to repent.	"Ef svo er, þá skaltu fá að gera það.
Nay, you shall go and tell the king that you repent.	Meira að segja þú skalt fara og segja konunginum að þú hryggist af þeim.
Rischenheim, I must know what they are doing.	Ég verð að fá að vita, hvað þeir eru að hafast að, Rischenheim.
You must go and ask an audience of the king.”	Þú verður að fara og biðja um leyfi til að tala við konunginn."
“But the king is-”	"En konungurinn er -"
“We shall know that better when youve asked for your audience.	"Við fáum betur að vita um það, þegar þú ert búinn að biðja um viðtalsleyfið.
See here.”	Hlustaðu nú á það, sem ég segi."
Rupert sat down by his cousin and instructed him in his task.	Rúpert settist niður hjá frænda sínum og lagði honum fyrir lífsreglurnar.
This was no other than to discover whether there were a king in Strelsau, or whether the only king lay dead in the hunting lodge.	Hann átti reyndar ekki annað að gera, en að komast eftir því, hvort konungngur væri í Streslau, eða hvort eigi væri um annan konung að ræða en þann, sem dauður lá í skothúsinu.
If there were no attempt being made to conceal the kings death, Ruperts plan was to seek safety in flight.	Ef engin tilraun hafði verið gerð til að leyna dauða konungs, þá ætlaði Rúpert að bjargast undan á flótta.
He did not abandon his designs:	Hann féll ekki frá fyrirætlunum sínum;
from the secure vantage of foreign soil he would hold the queens letter over her head, and by the threat of publishing it insure at once immunity for himself and almost any further terms which he chose to exact from her.	en þegar hann væri kominn af landi brott, þar sem honum var óhætt, ætlaði hann að hóta því, að láta birta bréf drotningar, og með því móti tryggja sér í senn bæði frelsi og fá fullnægt sérhverjum þeim kröfum, sem honum dytti í hug að gera.
If, on the other hand, the Count of Luzau-Rischenheim found a king in Strelsau, if the royal standards continued to wave at the summit of their flag staffs, and Strelsau knew nothing of the dead man in the lodge, then Rupert had laid his hand on another secret;	En ef Luzau-Rischenheim greifi skyldi nú finna konung í Streslau, ef konungsflaggið héldi áfram að blakta dregið á hún, og Streslaubúar vissu ekkert um atburðinn, sem gerst hafði í skothúsinu, þá ætlaði Rúpert að nota sér annað leyndarmál.
for he knew who the king in Strelsau must be.	Hann vissi hver hann var, konungurinn sá, sem þá var í Streslau.
Starting from this point, his audacious mind darted forward to new and bolder schemes.	Og er hann hafði fastákveðið þessa fyrirætlun, vaknaði í ofdirfskufullum huga hans nýtt og djarflegra ráðabrugg.
He could offer again to Rudolf Rassendyll what he had offered once before, three years ago-a partnership in crime and the profits of crime-or if this advance were refused, then he declared that he would himself descend openly into the streets of Strelsau and proclaim the death of the king from the steps of the cathedral.	Hann gat nú boðið Rúdolf Rassendyll það sama, sem hann bauð honum einu sinni áður - þrem árum áður – hlutdeild í glæp og hagnað af glæp. En ef þessu yrði neitað, þá ætlaði hann að lýsa yfir því, að hann mundi skýra frá dauða konungsins frá dyrum dómkirkjunnar í heyranda hljóði.
“Who can tell,” he cried, springing up, enraptured and merry with the inspiration of his plan, “who can tell whether Sapt or I came first to the lodge?	"Hver getur skýrt frá því," hrópaði hann og hoppaði upp af ánægju yfir því, sem honum hafði dottið í hug, "hver getur skýrt frá því, hvor okkar Sapts kom fyr til skothússins?
Who found the king alive, Sapt or I?	Hvor okkar kom að konunginum lifandi, Sapt eða ég?
Who left him dead, Sapt or I?	Hvor okkar gekk frá honum dauðum, Sapt eða ég?
Who had most interest in killing him-I, who only sought to make him aware of what touched his honor, or Sapt, who was and is hand and glove with the man that now robs him of his name and usurps his place while his body is still warm?	Hvorum okkar var meiri hagur að lífláti konungsins, mér, sem að eins ætlaði að láta hann vita um málefni, eigin heiðri hans viðkomandi, eða Sapt, sem allur lék á valdi mannsins, er stolið hafði nafni konungsins, og tranar sér nú upp í hásæti hans, meðan lík hans er varla kólnað?
Ah, they havent done with Rupert of Hentzau yet!”	Nei, þeir eru ekki lausir við Rúpert Hentzau enn þá!"
He stopped, looking down on his companion.	Hann þagnaði og leit á félaga sinn.
Rischenheims fingers still twitched nervously and his cheeks were pale.	Rischenheim var enn fölur mjög og skjálfti á höndunum á honum.
But now his face was alight with interest and eagerness.	En á svip hans mátti sjá, að hann veitti þessu mjög mikla athygli.
Again the fascination of Ruperts audacity and the infection of his courage caught on his kinsmans weaker nature, and inspired him to a temporary emulation of the will that dominated him.	Enn einu sinni hafði óbilgirni og kjarkur Rúperts verkað á frænda hans, sem hugminni var, og honum hafði orðið hughvarf í svipinn, móti vilja sínum.
“You see,” pursued Rupert, “its not likely that theyll do you any harm.”	"Þú hlýtur að sjá," mælti Rúpert enn fremur, "að það er alls ekki líklegt að þeir geri þér nokkurt mein."
“Ill risk anything.”	"Ég geng á móti hvaða hættu sem er."
“Most gallant gentleman!	"Fallega sagt, og herramanni samboðið.
At the worst theyll only keep you a prisoner.	Í versta lagi halda þeir þér sem fanga.
Well, if youre not back in a couple of hours, I shall draw my conclusions.	Jæja, ef þú verður ekki kominn eftir tvær klukkustundir, þá get ég getið mér til hvernig í öllu liggur.
I shall know that theres a king in Strelsau.”	Ég veit þá, að þeir hafa konung í Streslau."
“But where shall I look for the king?”	"En hvar á ég að spyrja eftir konunginum?"
“Shall I go there first, then?”	"Á ég þá að fara þangað fyrst?"
“No. That would be seeming to know too much.”	"Nei, þá mundi líta út fyrir, að þú vissir helst til mikið."
“Youll wait here?”	"Ætlar þú að bíða hér?"
“Certainly, cousin-unless I see cause to move, you know.”	"Já, auðvitað, frændi - nema ég sjái færi á að sleppa burt."
“And I shall find you on my return?”	"Og ætli ég geti þá fundið þig hér aftur þegar ég kem?"
“Me, or directions from me. By the way, bring money too.	"Já, þú finnur mig, eða ég læt liggja boð fyrir þér.
Theres never any harm in having a full pocket.	Það er aldrei bagi að því að hafa fulla pyngjuna.
I wonder what the devil does without a breeches-pocket?”	Ég veit ekki hvernig fjandinn fer að komast af buxnavasalaus!"
Rischenheim let that curious speculation alone, although he remembered the whimsical air with which Rupert delivered it.	Rischenheim gaf sér ekki tíma til að athuga frekar þessa einkennilegu hugmynd frænda síns, þó honum yrði það minnisstætt hve léttúðugt Rúpert fórust þarna orð.
He was now on fire to be gone, his ill-balanced brain leaping from the depths of despondency to the certainty of brilliant success, and not heeding the gulf of danger that it surpassed in buoyant fancy.	Hann var nú óður og uppvægur að komast á stað. Í stað örvæntingarinnar, sem grúft hafði yfir huga hans var nú kominn örugg eftirvænting um heppileg úrslit, og við það hughvarf gleymdi hann hættunni í svipinn.
“We shall have them in a corner, Rupert,” he cried.	"Okkur mun nú takast að koma þeim í bobba, Rúpert," hrópaði hann.
“Ay, perhaps.	"Já, kannske.
But wild beasts in a corner bite hard.”	En það vill nú verða svo, að þegar óargadýr komast í kreppu, þá bíta þau illa."
“I wish my arm were well!”	"Betur að ég væri orðinn góður í handleggnum."
“Youll be safer with it wounded,” said Rupert with a smile.	"Þú ert einmitt í minni hættu, af því að þú ert særður," sagði Rúpert brosandi.
“By God, Rupert, I can defend myself.”	"Þú skalt vita það, Rúpert, að ég er fullfær um að verja mig."
“True, true; but its your brain I want now, cousin.”	"Það er satt, það er satt, en nú þarf ég á vitsmunum þínum að halda, en ekki orku, frændi."
“You shall see that I have something in me.”	"Þú skalt komast að raun um, að ég er ekki blár á görnum."
He snatched up a revolver that lay on the mantelpiece and put it in his pocket.	Hann greip skammbyssu, sem lá á arinhillunni og stakk í vasa sinn.
“Dont fire, if you can help it,” advised Rupert.	"Skjóttu ekki, ef þú getur hjá því komist," sagði Rúpert í aðvörunarrómi.
Rischenheims answer was to make for the door at a great speed.	Rischenheim svaraði engu, en hljóp til dyranna.
Rupert watched him go, and then returned to the window.	Rúpert horfði á eftir honum, og sneri síðan að glugganum.
The last his cousin saw was his figure standing straight and lithe against the light, while he looked out on the city.	Hann sá það síðast til frænda síns, að hann hraðaði ferð sinni brott hnarreistur og hvatur í spori.
Still there was no stir in the streets, still the royal standard floated at the top of the flag staffs.	Enn sáust engin merki um uppþot í bænum, og enn blöktu flöggin dregin á hún.
Rischenheim plunged down the stairs:	Rischenheim hafði hrasað í stiganum, svo mikið hafði hann flýtt sér.
his feet were too slow for his eagerness.	Þegar hann kom niður, rakst hann á Rósu.
At the bottom he found the girl Rosa sweeping the passage with great apparent diligence.	Hún var að sópa ganginn, og gerði það mjög vandlega.
“Youre going out, my lord?” she asked.	"Eruð þér að fara burtu, lávarður minn?" spurði hún.
“Why, yes; I have business.	"Ójá. Ég hefi í mörgu að snúast.
Pray stand on one side, this passage is so cursedly narrow.”	Færðu þig þarna yfir að veggnum, það er annars varla hægt að komast fram úr þessari gangómynd."
Rosa showed no haste in moving.	Rósa var ekkert fljót til að víkja sér frá.
“And the Count Rupert, is he going out also?” she asked.	"Og ætlar Rúpert greifi kannske líka burtu?" spurði hún.
“You see hes not with me.	"Þú veist, að hann er ekki ég.
Hell wait.” Rischenheim broke off and asked angrily:	Hann ætlar að bíða -" Rischenheim þagnaði í miðri setningu og spurði reiðulega:
She moved aside now, making him no answer.	Hún þokaði sér frá og svaraði engu.
He rushed past;	Hann þaut fram hjá henni.
she looked after him with a smile of triumph.	Hún horfði á eftir honum og þóttist vel hafa veitt.
Then she fell again to her sweeping.	Svo hélt hún áfram að sópa.
The king had bidden her be ready at eleven.	Konungurinn hafði beðið hana að vera til taks klukkan ellefu.
It was half-past ten.	Nú var klukkan orðin hálf ellefu.
Soon the king would have need of her.	Innan skamms þurfti konungurinn á hjálp hennar að halda.
CHAPTER XIV.	XIV.
THE NEWS COMES TO STRELSAU	KAPÍTULI.
ON leaving No. 19, Rischenheim walked swiftly some little way up the Konigstrasse and then hailed a cab.	Þegar Rischenheim var kominn út úr húsinu nr. 19 gekk hann spottakorn upp eftir Konungsstræti og kallaði svo til ökumanns.
He had hardly raised his hand when he heard his name called, and, looking round, saw Anton von Strofzins smart phaeton pulling up beside him.	En rétt í því að hann lyfti upp hendinni til að gera ökumanninum aðvart, heyrði hann kallað til sín. Hann leit við, og sá þá Anton Strofzin kominn að hliðinni á sér akandi.
Anton was driving, and on the other seat was a large nosegay of choice flowers.	Anton keyrði sjálfur, og í vagnsætinu við hliðina á honum lá stór vöndur af úrvalsblómum.
“Where are you off to?” cried Anton, leaning forward with a gay smile.	"Hvert ert þú að halda?" spurði Anton og hallaði sér áfram í sætinu brosandi.
“Well, where are you?	"Hvert ert þú að fara?
To a ladys, I presume, from your bouquet there,” answered Rischenheim as lightly as he could.	Það dettur mér í hug að dæma af blómvendinum þeim arna," svaraði Rischenheim svo glaðlega sem honum var auðið.
“The little bunch of flowers,” simpered young Anton, “is a cousinly offering to Helga von Tarlenheim, and Im going to present it.	"Ég ætla að færa Helgu frænku minni þessi fáu blóm, sem þarna eru, og er á leiðinni með þau sjálfur," svaraði Anton.
Can I give you a lift anywhere?”	"Get ég greitt nokkuð fyrir þér?"
Although Rischenheim had intended to go first to the palace, Antons offer seemed to give him a good excuse for drawing the more likely covert first.	Þó að Rischenheim hefði ætlað fyrst til hallarinnar, þá fanst honum tilboð Antons vera næg afsökun fyrir sig að halda beint þangað, sem líklegra var að hann kæmi fram erindi sínu.
“I was going to the palace to find out where the king is.	"Ég ætlaði til hallarinnar til að fá að vita hvar konungurinn væri.
I want to see him, if hell give me a minute or two,” he remarked.	Mig langar til að hitta hann að máli, ef ég gæti fengið að tala við hann fáein orð," sagði hann.
“Ill drive you there afterwards.	"Ég skal aka með þig þangað á eftir.
Jump up.	Komdu upp í vagninn.
Here you are, cabman,” and flinging the cabman a crown, he displaced the bouquet and made room for Rischenheim beside him.	Hafðu þetta, ökumaður," sagði hann og fleygði krónu til ekilsins. Hann færði blómvöndinn svo til og lét Rischenheim setjast við hliðina á sér.
Antons horses, of which he was not a little proud, made short work of the distance to my home.	Anton var góður af hestum sínum, enda voru þeir ekki lengi á leiðinni heim að húsi mínu.
The phaeton rattled up to the door and both young men got out.	Vagninn nam staðar við dyrnar og báðir ungu mennirnir stigu niður úr honum.
The moment of their arrival found the chancellor just leaving to return to his own home.	Í það mund er þeir komu hittist svo á, að kanzlarinn var rétt að leggja á stað heim til sín.
Helsing knew them both, and stopped to rally Anton on the matter of his bouquet.	Helsing þekti þá báða og nam staðar til að hrósa Anton fyrir blómvöndinn.
Anton was famous for his bouquets, which he distributed widely among the ladies of Strelsau.	Anton var orðlagður fyrir blómvendi sína, því að hann var örlátur á að úthluta þeim á meðal ungra kvenna í Streslau.
“I hoped it was for my daughter,” said the chancellor slyly.	"Ég var hálfgert að vonast eftir, að dóttir mín ætti að fá þau," sagði kanzlarinn gletnislega.
“For I love flowers, and my wife has ceased to provide me with them; moreover, Ive ceased to provide her with them, so, but for my daughter, we should have none.”	"Mér þykir vænt um blóm, og kona mín er hætt að gefa mér þau; ég er líka hættur að gefa henni þau, svo að við hefðum engin blóm, ef ekki væri dóttir mín."
Anton answered his chaff, promising a bouquet for the young lady the next day, but declaring that he could not disappoint his cousin.	Anton tók gletni þessari vel, og lofaði að færa ungfrúnni blómvönd næsta dag, en kvaðst ómögulega mega svifta frænku sína þessum.
He was interrupted by Rischenheim, who, looking round on the group of bystanders, now grown numerous, exclaimed:	Rischenheim greip þá fram í, er hann varð var við fólkið, sem þyrpst hafði saman þarna, og var alt af að fjölga, og spurði:
“Whats going on here, my dear chancellor?	"Hvað er hér um að vera, herra kanzlari?
What are all these people hanging about here for?	Eftir hverju er alt þetta fólk að hanga hér?
Ah, thats a royal carriage!”	O - o - o, þarna er konungsvagninn!"
“The queens with the countess,” answered Helsing.	"Drotningin er inni hjá greifafrúnni," svaraði Helsing.
“The people are waiting to see her come out.”	"Fólkið er að bíða eftir, að sjá hana koma út."
“Shes always worth seeing,” Anton pronounced, sticking his glass in his eye.	"Það er alt af gaman að sjá hana," sagði Anton og tylti á sig nefklípugleraugum.
“And youve been to visit her?” pursued Rischenheim.	"Voruð þér að heimsækja hana?" spurði Rischenheim.
“Why, yes. I-I went to pay my respects, my dear Rischenheim.”	"Ójá, ég - ég skrapp þangað til að fagna henni, kæri Rischenheim."
But its with the king.”	En erindi mitt er við konunginn."
“I wont keep you a moment, Rischenheim,” called Anton, as, bouquet in hand, he knocked at the door.	"Ég skal ekki tefja þig nema andartak, Rischenheim," sagði Anton Strofzin og barði að dyrum með blómvöndinn í hendinni.
“With the king?” said Helsing.	"Á, eigið þér erindi við konunginn?" spurði Helsing.
“Ah, yes, but the king-”	"Já, einmitt það, en konungurinn –"
“Im on my way to the palace to find out where he is.	"Ég er á leiðinni til hallarinnar og ætla að fá að vita þar hvar hann er.
If I cant see him, I must write at once.	Ef ég get ekki hitt hann strax, þá verð ég að skrifa.
My business is very urgent.”	Mér bráðliggur á að koma fram erindi mínu."
“Indeed, my dear count, indeed!	"Rétt er það, kæri greifi!
Dear me!	Rétt er það!
Urgent, you say?”	Bráðliggur yður á?"
“But perhaps you can help me.	"Máske þér getið greitt fyrir mér?
Is he at Zenda?”	Er hann í Zenda?"
The chancellor was becoming very embarrassed;	Kanzlarinn var kominn í bobba.
Anton had disappeared into the house;	Anton var kominn inn í húsið.
Rischenheim buttonholed him resolutely.	Rischenheim spurði hann í þaula.
“Excuse me, my dear chancellor; its a secret.” “I have the kings confidence.”	"Ég bið yður að afsaka það, þó ég geti ekki sagt yður það, kæri kanzlari; erindi mitt er heimulegt."
Rischenheim took no notice of him, but knocked loudly.	Rischenheim tók því vel.
There he heard voices proceeding from the sitting-room on the left.	Rischenheim lét sem hann heyrði háðið ekki, en sagði kuldalega:" Það er undarlega erfitt að ná tali af okkar góða konungi.
Rischenheim nodded, and, standing so that the door could not be shut, asked Bernenstein whether he knew where the king was.	Hann stóð í gættinni, svo að ekki var hægt að láta aftur hurðina, og spurði Bernenstein hvort hann vissi hvar konungurinn væri.
Now Bernenstein was most anxious to get the pair of them away and the door shut, but he dared show no eagerness.	Bernenstein langaði mjög mikið til að losna við þá Helsing og Anton, en hann þorði ekki að láta þá sjá neinn ákafa á sér.
“Do you want another interview with the king already?” he asked with a smile.	"Viltu fá viðtalsleyfi við konung strax aftur?" spurði hann brosandi.
“The last was so pleasant, then?”	"Voru síðustu samfundirnir svo ánægjulegir?"
Rischenheim took no notice of the taunt, but observed sarcastically: “Theres a strange difficulty in finding our good king.	Rischenheim lét sem hann heyrði háðið ekki, en sagði kuldalega:" Það er undarlega erfitt að ná tali af okkar góða konungi.
The chancellor here doesnt know where he is, or at least he wont answer my questions.”	Kanzlarinn þarna veit ekki hvar hann er, eða vill að minsta kosti ekki svara spurningum mínum."
“Possibly the king has his reasons for not wishing to be disturbed,” suggested Bernenstein.	"Vera má, að konungur hafi góðar og gildar ástæður til þess, að vilja ekki láta gera sér ónæði," mælti Bernenstein.
“Its very possible,” retorted Rischenheim significantly.	"Það er mjög sennilegt," hreytti Rischenheim út úr sér íbygginn.
“Meanwhile, my dear count, I shall take it as a personal favor if youll move out of the doorway.”	"En þú gerðir mér mikinn greiða með því, að fara út úr fordyrinu, herra greifi."
“Do I incommode you by standing here?” answered the count.	"Er ég þér til óþæginda hér þar sem ég stend?"
“Infinitely, my lord,” answered Bernenstein stiffly.	"Já, ofurlítið, lávarður minn," svaraði Bernenstein í styttingi.
Suddenly a voice came from inside the hall:	Alt í einu heyrðist rödd inst innan úr fordyrinu.
Bernenstein looked aghast, Rischenheim nervous yet triumphant, Anton amused and gratified.	Bernenstein varð hverft við, Rischenheim varð hróðugur og Anton glaður og kátur.
“The king!” he cried, and burst into a laugh.	"Það er konungurinn!" hrópaði hann.
“Youve drawn him, Rischenheim!”	Þú hefir haft hann fram, Rischenheim."
The crowd heard his boyish exclamation and raised a cheer.	Fólkið úti heyrði hvað Anton sagði og laust upp fagnaðarópi.
Helsing turned, as though to rebuke them.	Helsing sneri sér við eins og til að þagga niður háreystina.
Had not the king himself desired secrecy?	Konungurinn sjálfur hafði sagt, að hann vildi dyljast.
Yes, but he who spoke as the king chose any risk sooner than let Rischenheim go back and warn Rupert of his presence.	Það hafði hann sagt, en hann vildi alt heldur en sleppa Rischenheim, svo að hann gæti komist á fund Rúperts og látið hann vita hvernig komið væri.
“Is that the Count of Luzau-Rischenheim?” called Rudolf from within.	"Er Luzau-Rischenheim greifi þarna?" spurði Rúdolf.
“If so, let him enter and then shut the door.”	"Ef svo er, þá fylgið honum inn og lokið fordyrinu.
There was something in his tone that alarmed Rischenheim.	Það var eitthvað í röddinni, sem skelfdi Rischenheim.
He started back on the step.	Hann hopaði niður á riðið.
But Bernenstein caught him by the arm.	En Bernenstein náði í hann.
“Since you wish to come in, come in,” he said with a grim smile.	"Fyrst að þig langar svo mikið til að koma inn, þá er best þú komir," sagði hann og brosti harðneskjulega.
Rischenheim looked round, as though he meditated flight.	Rischenheim skimaði í kring um sig eins og hann langaði til að flýja.
Bernenstein followed; the door was shut.	Bernenstein hvarf inn á eftir og dyrunum var lokað.
Anton faced round on Helsing, a scornful twist on his lips.	Anton sneri sér að Helsing þóttalegur á svipinn.
“There was a deuced lot of mystery about nothing,” said he.	"Skárri er það nú launungin á því, sem ekkert er," mælti hann.
“Why couldnt you say he was there?”	"Hvers vegna mátti ég ekki fá að vita það, að hann væri hér, kanzlari?"
And without waiting for an answer from the outraged and bewildered chancellor he swung down the steps and climbed into his phaeton.	Hann beið ekki eftir því, að kanzlarinn, sem var orðinn bæði reiður og undrandi, svaraði neinu, heldur þaut upp í vagninn sinn og ók á stað.
The people round were chatting noisily, delighted to have caught a glimpse of the king, speculating what brought him and the queen to my house, and hoping that they would soon come out and get into the royal carriage that still stood waiting.	Mannfjöldinn var hinn kátasti yfir því, að hafa séð konunginum bregða fyrir, og menn voru að stinga saman nefjum um og spyrja hver annan, hvað því mundi valda, að konungur og drotning skyldu bæði vera komin heim í hús mitt.
Rudolf himself caught Rischenheim by the arm, and without a moments delay led him towards the back of the house.	Rúdolf hafði sjálfur gripið um handlegginn á Rischenheim, og leitt hann rakleitt inn fordyrið.
They went along a passage and reached a small room that looked out on the garden.	Þeir fóru í gegn um langan gang, og svo inn í lítið herbergi, sem vissi út að garðinum baka til.
Rudolf had known my house in old days, and did not forget its resources.	Rúdolf hafði verið kunnugur húsaskipun heima hjá mér fyrrum og var ekki búinn að gleyma því.
“Shut the door, Bernenstein,” said Rudolf.	"Lokaðu dyrunum, Bernenstein," sagði Rúdolf.
Then he turned to Rischenheim.	Svo sneri hann sér að Rischenheim:
Rischenheim plucked up courage to answer him.	Rischenheim herti sig upp til að svara.
