We both know it.	Við vitum það bæði.
We will camp here tonight.	Við setjum upp búðir kér.
Your country owes you a debt of gratitude.	Land þitt stendur í þakkarskuld við þig.
Your instincts were excellent, Your Highness.	Eðlisávísun þín var frábær yðar kátign.
They ran offtoo quickly.	Þeir flúðu of fljótt.
To His Majesty and the greatness of Siam.	Til kans kátignar og mikilfengleiks Síam.
You will not drink to your own brother?	Þú skálar ekki þínum eigin bróður?
You said my instincts were good.	Þú sagðir að eðlisávísun mín væri góð.
And what are they telling you?	Og kvað segir kún þér?
That you are not drinking either.	Að þú skálir ekki keldur.
My soldiers needed palace uniforms.	Hermenn mínir þurfa kallarbúninga.
You poisoned your own regiment!?	Þú eitraðir fyrir þínu eigin kerfylki! Já.
Yes. ln war, innocent people die.	Í stríði deyja sakleysingjar.
But only a war will cleanse this nation of its Western parasites.	En bara stríð mun kreinsa þessa þjóð af vestrænum sníkjudýrum.
Take comfort, Chowfa, your brother and his children will soon be joining you.	Vertu rólegur, Ckowfa, bróðir þinn og börn kans koma til þín fljótlega.
All the bodies were stripped and left to the sun.	Allir líkamarnir voru afklæddir og skildir eftir í sólinni.
I fear Prince Chowfa and Alak were cremated with the others.	Ég óttast að Ckowfa prins og Alak kafi verið brenndir með kinum.
May their souls rest in peace.	Megi þeir kvíla í friði.
You couldn't have prevented your brother's death, Your Majesty.	Þú kefðir ekki getað komið í veg fyrir dauða bróður þíns yðar kátign.
Send my armies north.	Sendið keri mína í norður.
If Burma wants this war, they shall have it.	Ef Burma vill þetta stríð skulu þeir fá það.
Lord Bradley?	Bradley lávarður?
Lady Bradley, Mr Kincaid.	Lafði Bradley, Mr Kincaid.
If I might have a moment ofyour time.	Ef ég gæti fengið augnablik af tíma ykkar.
I'm afraid a moment is all we have.	Ég óttast það sé allt sem við köfum.
We are leaving on the next boat, and so should you.	Við förum með næsta skipi, og þú ættir að gera það líka.
My life is here, Lady Bradley.	Líf mitt er kér Lafði Bradley.
Nasty business.	Vandræðamál.
All this sabre-rattling.	Öll þessi stríðsæsing.
Not good for trade, I can tell you.	Ekki gott fyrir verslun, ég get sagt þér það.
The king's brother is most likely dead, as is his general.	Bróðir konungs er líklega látinn sem og kersköfðingi kans.
I would hardly call his action unprovoked.	Ég myndi segja að konum var ögrað til þessara aðgerða...
What can I do for you, Mrs Leonowens?	Hvað get ég gert fyrir þig frú Leonowens?
Are the British behind these attacks on Siam?	Eru Bretar bak við þessar árásir á Síam?
Huh! Stick to teaching, Mrs Leonowens!	Haltu þig við kennslu frú Leonowens!
It's obvious you know nothing about politics.	Það er augljóst þú veist ekkert um stjórnmál.
Burma would not make a move without England's blessing.	Burma gerir ekkert án blessunar Englands.
That I know.	Það veit ég.
Precisely.	Einmitt.
But ifthis crisis isn't resolved soon and a country under our protection is threatened, we will have no choice but to defend our interests.	En ef þetta mál leysist ekki fljótt og landi undir okkar vernd er ógnað, köfum við ekkert val nema að vernda kagsmuni okkar.
Our protection?	Okkar vernd?
Our interests?	Okkar kagsmunir?
The ways of England are the ways ofthe world, my dear. They are the ways of one world, Lady Bradley.	Hegðan Englands er kegðan keimsins góða mín. Það er kegðan eins keims, Lafði Bradley.
One I am ashamed to call my own.	Sem ég skammast fyrir að kalla minn eigin.
You forget yourself, madam.	Þú gleymir þér frú.
Now ifyou'll excuse us.	Nú ef þú myndir kafa okkur afsökuð.
No, I will not.	Nei, ég geri það ekki.
How the empire conducts its business is really none ofyour concern.	Hegðan keimsveldisins kemur þér í raun ekkert við.
The last time I inquired, Lord Bradley, I was still a British subject.	Síðast þegar ég spurði, Bradley lávarður, var ég enn breskur þegn.
A fact you would do well to remember next time you're cheek to cheek with the king.	Mundu það næst þegar þú vangar við konunginn.
Forgive me, but my Lady Tuptim is in great danger.	Hyrirgefðu mér, en Lafði Tuptim er í mikilli kættu.
I am Phim.	Ég er Pkim.
Someone found her in the monastery.	Hún fannst í klaustrinu.
She must speak with you.	Hún verður að tala við þig.
Only Buddha can save her now.	Bara Búdda getur bjargað kenni núna.
What is it?	Hvað er að?
Oh, my dear girl. What have you done?	Ó, stúlka mín. Hvað kefurðu gert?
What I have done is not result of king or intention to dishonor.	Það sem ég kef gert er ekki út af kóng eða ætlan til vanvirðu.
A concubine's heart is of no consequence to king, consumed with matters of the whole universe.	Hjarta kjákonu skiptir kóng ekki máli, þar sem kann á við mál alkeimsins.
But, Tuptim, why did you not come to me?	En, Tuptim, af kverju komstu ekki til mín?
The king might have understood.	Konungurinn kefði kannski skilið.
You simply can't do this to him - not now!	Þú getur ekki gert konum þetta - ekki núna!
If love was a choice, who would ever choose such exquisite pain?	Ef ást væri val, kver myndi nokkurn tíma velja þvílíkan sársauka?
This is what I need His Majesty to know.	Þetta er það sem ég vil kans kátign viti.
If such does not compromise you.	Ef það kemur þér ekki í vandræði.
I will tell him anything you wish.	Ég segi konum kvað sem þú vilt.
I thank Buddha for giving me direction.	Ég þakka Búdda fyrir að gefa mér leiðsögn.
And now, with mem before me, I thank him for giving me true friend.	Og nú, með mem frammi fyrir mér, Þakka ég konum fyrir að gefa mér sannan vin.
Halt!	Stöðvið!
Stay where you are!	Verið kyrrar!
Lady Tuptim, you are accused of a traitorous act against His Majesty, King Mongkut, which carries the penalty of death.	Lafði Tuptim, þú ert sökuð um föðurlandssvik gegn kans kátign, Mongkut konung, viðklítandi refsing er, dauði.
Please describe for the Court the events as they occurred.	Vinsamlega lýsið fyrir réttinum atburðunum eins og þeir gerðust.
Why say anything if I am not to be treated fairly? is this not the priest whose letter was found in your chamber, written in English, in hope, no doubt, to disguise its lascivious intent?	Hví að segja nokkuð ef ekki er komið réttlátlega fram við mig? Er þetta ekki presturinn kvers bréf var fundið í kerbergi þínu, skrifað á ensku, vafalaust í þeirri von, að dylja lostafullt innikaldið?
Fear not, Tuptim, all life is suffering.	Ekki óttast, Tuptim, alt líf er þjáning.
Speak now, woman, or the cane shall be applied to you at once.	Talaðu nú, kona, eða keyrið verður notað á þig samstundis.
My Lords, His Holiness, Balat, is the only man I have ever loved, and being taken from him was to deny air to my lungs.	Lávarðar mínir Hans keilagleiki, Balat, er eini maðurinn sem ég kef elskað, og að vera tekin frá konum var að neita lungum mínum um loft.
His Majesty does not need me, but I need Balat.	Hans kátign þarfnast mín ekki. En ég þarf Balat.
This priest disguised you as the most sacred of human beings.	Þessi prestur dulbjó þig sem kina kelgustu mannveru.
No, he did nothing!	Nei kann gerði ekkert!
I disguised myself.	Ég dulbjó mig sjálf.
When I knew he could not recognize me, I became one of his brothers.	Þegar ég var viss um kann þekkti mig ekki, varð ég einn af bræðrum kans.
He never knew I was a woman.	Hann vissi aldrei ég væri kona.
My Lords, I speak the truth!	Lávarðar mínir, ég segi satt!
He gave you this robe and you went to his bed!	Hann gaf þér þennan kufl og þú fórst í rúmið kans!
That is not true!	Það er ekki satt!
Don't you dare lay another hand on that woman!	Ekki dirfast að snerta þessa konu!
She has done nothing but to try and find happiness!	Hún kefur ekkert gert nema reynt að finna kamingju!
Do not touch me!	Ekki snerta mig!
I will go to the king!	Ég fer til kóngsins!
He will put an end to this savagery!	Hann bindur enda á þessa villimennsku!
Thank you for seeing me, Your Majesty.	Takk fyrir að kitta mig yðar kátign.
I was told by your prime minister this was none of my concern.	Horsætisráðkerra þinn sagði að mér kæmi þetta ekki við.
It is none of mem's concern.	Þetta kemur mem ekki við.
And king is seeing you now to tell you same himself.	Og kóngur er að kitta þig núna til að segja þér kið sama sjálfur.
Forgive me, but...	Hyrirgefðu, en...
I do not wish for you to talk more on this, mem.	Ég vil ekki að þú talir um þetta meira, mem.
To king or anyone. - l was only trying...	Við kóng eða neinn. Ég var bara að reyna...
Tuptim broke law!	Tuptim braut lög!
By loving someone?"	Með því að elska?"
Sacrifice your life for truth."	Hórnaðu lífinu fyrir sannleikann."
"Persecute no man."	"Ofsóttu engan mann."
Are these not the teachings of Buddha?	Kenni Búdda þetta ekki?
I am king!	Ég er kóngur!
And I say enough!	Og ég segi nóg komið!
You asked me to always tell you what I think.	Þú baðst mig um að segja þér alltaf mitt álit.
What you think... and what you do and how... and when you do them are not the same thing.	Hvað þér finnst... og kvað þú gerir og kvernig... og kvenær eru ekki það sama.
If you believe I wish to execute this girl...	Ef þú keldur að ég vilji drepa þessa stúlku...
But now, because you say to court you can tell king what to do, I cannot intervene as I had planned. intervene?	En núna, vegna þess að þú segir kirð að þú getir sagt kóngi kvað kann á að gera, get ég ekki gripið inní málið eins og ég kafði ætlað. Grípa inní?
After they're tortured?	Eftir að þau voru pyntuð?
But you, a woman and a foreigner, have made it seem king at your command.	En þú, kona og útlendingur, lætur kóng virðast undir þinni stjórn.
You have made me appear weak.	Þú kefur látið mig virðast veikan.
And impossible for me to step in and not lose face!	Og ómögulegt fyrir mig að grípa inní og tapa ekki andlitinu!
But you are the king.	En þú ert kóngur.
To remain such, I cannot undermine ability to command loyalty, - which I must have to keep country secure.	Til að vera það áfram, má ég ekki grafa undan kæfni til að fá tryggð, - sem ég þarf til að kalda landi öruggu.
You have the power...	Þú kefur vald...
Now is not the time to change the way that things are done!	Nú er ekki tími til að breyta kvernig klutir gerast!
Well, if not now, then when?	Ef ekki núna þá kvenær?
How many more people must die so that you might save face?!	Hversu margt fólk þarf að deyja svo þú tapir ekki andlitinu?
Go home, mem.	Harðu keim, mem.
You help enough for one day.	Þú ert búin að kjálpa nóg í dag.
For the life of me, I don't know how you people can stand this heat.	Ég get ekki skilið kvernig þið þolið kitann.
You have five minutes, Mr Kincaid.	Þú kefur fimm mínútur kerra Kincaid.
I suggest you not waste them.	Ég mæli með að þú sólundir þeim ekki.
I don't suppose I could have a glass ofwater?	Ég býst ekki við ég gæti fengið vatnsglas?
Right.	Einmitt.
Then I'll come straight to the point.	Ég kem þá beint að efninu.
As you know, I do a lot of business with the Siamese, many ofwhom have ended up dead in recent months.	Eins og þú veist þá versla ég mikið við kaupmenn í Síam, margir þeirra kafa verið drepnir undanfarna mánuði.
Which, as I have discovered, is all part of some elaborate plot to make you think we British are the villains.	Sem, ég kef uppgötvað, er kluti af einkverju meirikáttar ráðabruggi til að láta þig kalda að við Bretar eigum að sök.
I happen to know we are not.	Það vill svo til að ég veit að við erum það ekki.
The acquisition of a particular little piece of information has cost me a small fortune.	Að komast að ákveðnum upplýsingum kostaði mig keilan fjársjóð.
But the fact is, when all is said and done, I make more money with Mongkut on the throne, so I think I'm about to become your best friend.	En þrátt fyrir allt, er staðreyndin sú að ég græði meiri peninga með Mongkut við völd, þannig að ég keld að ég sé u.þ.b. að verða besti vinur þinn.
Your Majesty, Alak will not stop until all ofyour children are in velvet sacks.	Yðar kátign, Alak kættir ekki fyrr en öll börn þín eru í flauelspokum.
Kincaid said he'll blame the coup on Burma, then launch a full-scale attack using your troops already protecting the border.	Kincaid segir kann muni kenna Burma um valdaránið, og gera síðan fulla inrás með kerdeildum þínum nú þegar við landamærin.
Alak seeks to finish what Taksin only dreamed of.	Alak vill ljúka því sem Taksin dreymdi bara um.
Taksin was insane.	Taksin var brjálaður.
He was betrayed.	Hann var svikinn.
As we are now.	Eins og við erum núna.
How long before Alak reaches the city?	Hversu langt þar til Alak kemur til borgarinnar?
A week.	Vika.
Maybe less.	Kannski fyrr.
And announce to the people we have just received glad tidings.	Og segið þjóðinni að við köfum fengið góðar fréttir.
Glad tidings, Your Majesty?	Góðar fréttir yðar kátign?
Mother, doesn't chahng see kao mean white elephant?	Móðir, þýðir chahng see kao ekki kvítur fíll?
Do you think they've found one?	Heldurðu að þeir kafi fundið einn?
Yes. ln Prachin Buri.	Já.
Entire village has seen it.	Í Prackin Buri. Allt þorp kefur séð kann.
The first in 20 years! - l'll see to our tickets. - l don't want to go, Mother.	Sá fyrsti í 20 ár! Ég atkuga með miðana okkar. Ég vil ekki fara móðir.
I don't want to leave my friends.	Ég vil ekki yfirgefa vini mína.
The king has done good things too.	Kóngurinn kefur líka gert góða kluti.
Your mother has much on her mind.	Móðir þín kefur um margt að kugsa.
You said the Siamese people are just like us.	Þú sagðir að fólk í Síam væri alveg eins og við.
And what about Chulalongkorn?	Og kvað með Ckulalongkorn?
Doesn't he matter any more?	Skiptir kann ekki lengur máli?
Believe me, darling.	Trúðu mér elskan.
I wish this could all be very different.	Ég vildi óska að þetta væri allt öðruvísi.
It is the right decision.	Þetta er rétt ákvörðun.
We must go.	Við verðum að fara.
Sir.	Herra.
You of all are most aware there are certain boundaries I cannot cross.	Þú gerir þér grein fyrir að það eru viss mörk sem ég má ekki fara yfir.
One being to contradict king.	Ein af þeim að mótmæla kóng.
And God help him.	Og Guð kjálpi konum.
Excuse me.	Afsakið.
Passage for four on the Newcastle.	Miða fyrir fjóra á Newcastle.
Thank you.	Takk.
There is no white elephant, sir.	Það er enginn kvítur fíll kerra.
King invented sighting at Prachin Buri so he can escort royal family to greet imaginary beast, as in tradition.	Kóngur plataði að kvítur fíll væri í Prackin Buri svo kann geti fylgt konungsfjölskyldu til að kitta dýrið, eins og í kefð.
There is a traitor marching on palace.	Það er svikari á leið til að ráðast á köllina.
Deception's only purpose is to hide children in monastery in village of Nong Khai.	Eini tilgangur lyginnar er að fela börnin í Nong Kkai þorpi.
Please, mem.	Gerðu það, mem.
My king believes you are wise.	Kóngur telur þig fulla visku.
You are only one who can persuade him to stay with children until army returns to Bangkok and palace is secure.	Þú ert sú eina sem getur sanfært kann um að vera með börnunum þar til kerinn kemur til Bangkok og köllin er örugg.
Everything in order, gentlemen?	Allt til reiðu kerramenn?
We have fireworks to announce the sighting and musicians for the journey.	Við köfum flugelda og tónlistarmenn fyrir ferðina.
I am surprised Kralahome took time to arouse such curiosity rather than make sure mem not miss her boat.	Ég er kissa að Kralakome skyldi taka tíma til að vekja slíka forvitni frekar en að passa að mem missti ekki af skipinu.
We have already missed our boat so that I might speak with you now.	Við köfum þegar misst af skipinu svo ég gæti rætt við þig.
King cannot miss his boat.	Kóngur má ekki missa af skipinu sínu.
If it will not be inconvenient, we should like to go with you.	Ef það er ekki til óþæginda þá vildum við fara með ykkur.
Jungle is no place for proper English teacher.	Hrumskógur er enginn staður fyrir enskan kennara.
No, it is not, Your Majesty.	Það er rétt yðar kátign.
Which is why the presence of one in your cortege might help ensure your display.	Þessvegna gæti nærvera slíks í fylgdarliði þínu tryggt fyrirslátt þinn.
Something I feel, for many reasons, I would very much like to do.	Sem mig langar, af mörgum ástæðum, að gera.
When a woman who has much to say says nothing, her silence can be deafening.	Þegar kona sem kefur mikið að segja, segir ekkert, er þögn kennar mjög kávær.
I wish to thank you, mem, for your courage.	Ég vil þakka þér, mem, fyrir kugrekki þitt.
I thought I never wanted to see you again.	Ég kélt ég vildi aldrei sjá þig aftur.
I had a vision ofyoung Tuptim and of Balat.	Ég sá sýn með Tuptim ungu og Balat.
I think by touching us all they have fulfilled their destiny and attained eternal peace.	Ég keld að með því að snerta okkur öll kafi þau uppfyllt örlög sín og fengið ódauðlegan frið.
Through birth and rebirth, we Buddhists hope to learn from our mistakes.	Með fæðingu og endurfæðingu vonumst við búddistar til að læra af mistökum okkar.
You told me once that I had never accepted the loss of my husband. - l had no right.	Þú sagðir eitt sinn að ég kefði aldrei viðurkennt missi eiginmanns míns.
No, no.	Jú, jú.
That was true.	Það var satt.
I now realize that it is not enough to just survive.	Ég sé nú að það er ekki nóg að komast bara af.
That life is... precious.	Að lífið er... verðmætt.
Especially ifyou're Christian and only allowed to have one.	Sérstaklega ef maður er kristinn og fær bara eitt.
Why did you come back?	Af kverju komstu aftur?
Because I could not imagine a Siam without you.	Því ég gat ekki ímyndað mér Síam án þín.
The Royal Steamer has been abandoned near Lopburi.	Konunglega gufuskipið var yfirgefið nærri Lopburi.
The King travels East on foot, away from Prachin Buri.	Kóngurinn gengur til austurs, í áttina frá Prackin Buri.
If he lies about a white elephant, what other scheme has he concealed?	Ef kann lýgur um kvítan fíl, kvaða öðrum ráðagerðum kefur kann leynt?
Are the children with him?	Eru börnin með konum?
Where would he take them?	Hvert færi kann með þau?
There is a monastery in Nong Khai...	Það er klaustur í Nong Kkai...
Mongkut spent half his life there.	Mongkut eyddi kálfri ævinni þar.
His sanctuary.	Griðastaður kans.
The Chakri Dynasty comes to us.	Ckakri veldið kemur til okkar.
We must not keep them waiting.	Við megum ekki láta þau bíða.
We cannot outrun them, Your Majesty.	Við getum ekki klaupið þá af okkur yðar kátign.
Do not let them see your fear, gentlemen.	Ekki láta sjá ótta á ykkur kerramenn.
What has happened?	Hvað gerðist?
You and the children must go on to Nong Khai without me. I will meet you there.	Þú og börnin verðið að fara til Nong Kkai án mín. Ég kitti ykkur þar.
I can see it in your eyes.	Ég sé það í augunum á þér.
Something awful has happened.	Eittkvað kræðilegt kefur gerst.
Was not to be this way, mem.	Þetta átti eki að vera svona, mem.
Alak's army has found us.	Her Alak kefur fundið okkur.
If he crosses the bridge, everything I love will die.	Ef kann kemur yfir brúnna, deyr allt sem ég elska.
But they're only children.	En þau eru bara börn.
Yes.	Já.
And each one heir to throne.	Og öll erfingjar að krúnunni.
Now... you must hurry.	Núna... þú verður að flýta þér.
What will you do?	Hvað ætlarðu að gera?
Blow up the bridge.	Sprengja brúnna.
But will that stop him?	En stoppar það kann?
It will - if he's on it.	Já - ef kann er á kenni.
Your Majesty, promise me...	Yðar kátign, lofaðu mér...
Promise me that I will see you again.	Lofaðu mér að ég sjái þig aftur.
If your Bible is correct, whole world created in seven days.	Ef Biblían þín er rétt, var allur keimurinn skapaður á sjö dögum.
Therefore possible handful of men can stop an army.	Þar með mögulegt að nokkrir menn geti stöðvað ker.
But, Father, never has such an expedition excluded royal children.	En, faðir, slík ferð kefur aldrei verið bönnuð börnum konungs.
My son, there are many things you will come to understand when you are older.	Sonur minn, það er margt sem þú munt skilja þegar þú eldist.
Why can't I stay with you?	Af kverju má ég ekki vera kjá þér?
Because I need you to lead our family to the monastery!	Því þú þarft að leiða fjölskylduna til klaustursins!
There is no white elephant, is there?	Það er enginn kvítur fíll, er það nokkuð?
Come.	Komið.
No matter what happens... the moment you're ready blow this bridge.	Hvað sem gerist... um leið og þú ert tilbúinn sprengdu brúnna.
Throw down your weapons or you and your men will be slaughtered without mercy.	Leggið niður vopnin eða þér og mönnum þínum verður slátrað miskunnarlaust.
I hardly think women and children with parasols are up to the task.	Ég keld varla að konur og börn með sólklífar geti það.
I think you will find I have more on my side than just women and children.	Ég keld þú komist að því að ég kef fleiri með mér en konur og börn.
It's a trap, General.	Þetta er gildra, kerforingi.
Mother, come look!	Móðir, komdu og sjáðu!
The king is waiting on the bridge.	Kóngurinn bíður á brúnni.
What?	Hvað?
There's hundreds of men on the other side.	Það eru kundruðir manna kinum megin.
Wait!	Bíðið!
Stop the carriage.	Stöðvið vagninn.
He's crazy.	Hann er brjálaður.
He's bluffing.... Defiant to the last.	Hann er að blekkja.... þrjóskur til enda.
As the sun sets, so does the Chakri Dynasty.	Eins og sólin gengur til viðar, gerir Ckakri veldið það líka.
He's brought the British!?	Hann kom með Breta!
There is nobody!	Nei!
It's a trick!	Þetta er brella!
It's the British!	Bretar!
Retreat!	Hörfið!
There is no one!	Það er enginn!
There is nobody!	Það er enginn!
It's a trick.	Þetta er brella.
Let me kill him.	Leyfðu mér að drepa kann.
I want him to live with his humiliation.	Ég vil að kann lifi með smán sinni.
You!	Þú!
Why did you not go to monastery like king order?	Hví fórstu ekki til klausturs eins og kóngur skipaði?
Because I lost one man to the jungle, Your Majesty.	Því ég tapaði einum manni í frumskóginum yðar kátign.
I was not about to let that happen again.	Ég vildi ekki láta það gerast aftur.
Mem Anna not fully to blame, Father.	Mem Önnu ekki bara að kenna faðir.
After all, you did put me in charge.	Eftir allt, þá var ég við stjórn.
To sound English bugles in own defense.	Að blása í enska lúðra í eigin vörn.
When king say handful of men could save all Siam, he was most unusually incorrect.	Þegar kóngur sagði að nokkrir menn gætu bjargað öllu Síam, kafði kann mjög óvenjulega rangt fyrir sér.
And it be then that all ears hear what all eyes suddenly see.	Og þá keyra öll eyru það sem öll augu skyndilega sjá.
Great white beast in infinite splendor!	Stóra kvíta skepnu í mikilfengleik sínum!
Where's the beast?	Hvar er skepnan?
Great white beast! And as people rejoice with overwhelming joy, most excellent conclusion to expedition echoed in every corner of Siam.	Stóra kvíta skepnan! og fólk fagnar, frábæru niðurlagi leiðangurs um allt Síam.
The end!	Endir!
Perfect!	Hullkomið!
You were wonderful!	Þú varst frábær!
Very, very good.	Mjög, mjög gott.
Mem, this is play to commemorate monumental occasion and we make fools of selves because of insufficient practice.	Mem, þetta er leikrit til að minnast mikils atburðar og við gerum okkur að fíflum vegna of lítillar æfingar.
I understand truly, Your Highness.	Ég skil yðar kátign.
But the celebration was tonight!	En kátíðin var í kvöld!
We were duty-bound, were we not?	Okkur bauð skylda til, ekki satt?
Were we not?	Ekki satt?
Yes!	Jú!
I want you all to imagine next year, when you've had time to perfect things.	Ég vil þið ímyndið ykkur næsta ár, þegar þið kafið tíma til að fullkomna allt.
Then your father will be even more proud ofyou than he already is.	Þá verður faðir ykkar enn stoltari af ykkur en kann er nú þegar.
And you, mem?	Og þú, mem?
Will you be?	Verður þú það?
I will always be proud ofyou, my children. I... ordered this some time ago for the children, you know.	Ég verð alltaf stolt af ykkur börnin mín. Ég... pantaði þetta fyrir nokkrum tíma fyrir börnin.
It's a fine example of scientific thinking, as music is mathematical in nature.	Gott dæmi um vísindalega kugsun, þar sem tónlist er stærðfræðileg í eðlinu.
Chords constructed from notes in intervals ofthirds, and so on, and so on.	Strengir á þriðjungsnótna bili, o.s. frv, o.s. frv.
I would like to know... why, if science can unravel something as beautiful as music, why it cannot posit a solution for a schoolteacher and a king.	Ég vil vita... kvers vegna, ef vísindi geta útskýrt eittkvað jafn fallegt og tónlist, kví þau geta ekki komið með lausn fyrir kennara og kóng.
The manner in which people might understand such new possibilities is also process of evolution.	Skilningur fólks á slíkum nýjum möguleikum er líka þróunarferli.
Everything in Siam has its own time.	Allt í Síam tekur sinn tíma.
Even if king is also wanting it to be different.	Jafnvel þó kóngur vilji líka kafa það öðruvísi.
I still must go, Your Majesty.	Ég verð samt að fara yðar kátign.
So, where is it you will be going?	Svo, kvert er það sem þú ert að fara?
England.	Til Englands.
Home.	Heim.
This is good, mem.	Það er gott, mem.
Very good for Louis as well.	Líka mjög gott fyrir Louis.
What?	Hvað?
Am wondering if, given circumstances, it is appropriate for king to ask Anna to dance.	Er að velta fyrir mér ef, í þessum kringumstæðum, það er viðeigandi fyrir kóng að biðja Önnu um dans.
I have danced with a king before, Your Majesty.	Ég kef áður dansað við kóng yðar kátign.
And I an Englishwoman.	Og ég, við enska konu.
Until now, Madam Leonowens, I did not understand supposition man could be satisfied with only one woman.	Þar til nú, frú Leonowens, skildi ég ekki tilgátu að maður gæti verið ánægður með einni konu.
I was onlya boy, but the image ofmyfatherholding the woman he lovedfor the last time has remained with me throughout the years. It is always surprising howsmalla part oflife is taken up bymeaningfulmoments.	Ég var bara strákur, en myndin af föður mínum faðmandi konuna sem hann elskaði í síðasta skipti hefur verið með mér gegnum árin. það er alltaf undrunarefni hversu lítill hluti af lífinu eru mikilvæg augnabli.
Most often theyare overbefore theystart, although they casta light on the future and make the person who originated them unforgettable.	Oftast eru þau búin áður en þau byrja, þó þau kasti ljósi á framtíðina og geri persónuna sem skapaði þau ógleymanlega.
Anna hadshinedsuch a light on Siam.	Anna skein slíku ljósi á Síam.
148 1999 Drama,History,Romance English, Thai, French USA 10466 57 0 1203 371 0 utf-8 02:20:50,573 1.0 2002-10-17 1/1 English 1258	Líndal lCELANDlC 1267 Icelandic 1.0 1/1 2005-07-07 02:22:01,871 USA 148 Drama,History,Romance 1999 English, Thai, French 0 1212 0 9773 5 iso-8859-4 0
Shorter here.	Styttra hérna.
Shorter?	Styttra?
That is short enough.	Það er nógu stutt.
OK, superstar? Wow!	Allt í lagi, stjarna?
What's with the shirt?	Hvað er málið með skyrtuna?
That is the most frightening'thing I've ever seen.	Þetta er það hrikalegasta sem ég hef séð.
Looks like a deformity.	Eins og vansköpun.
I'll fix that.	Ég laga það.
Oh, God... yeah...	Guð, já.
That's better.	Þetta er betra.
Now, if you was a guy, I might even wanna fuck you.	Ef þú værir strákur, vildi ég jafnvel ríða þér.
You mean if you was a guy you might even wanna fuck me.	Þú meinar ef þú værir strákur vildirðu jafnvel ríða mér.
So you're a boy.	Svo þú ert orðinn strákur.
Now what?	Hvað nú?
Come on.	Komdu.
No fuckin' way.	BROADWAY SKAUTAHÖLLIN Kemur ekki til greina.
Yes fuckin' way.	Jú, kemur til greina.
A joke is a joke.	Brandari er brandari.
Come on, don't be a pussy.	Komdu, ekki vera skræfa.
I'm no pussy.	Ég er engin skræfa.
Let's go home.	Förum heim.
Someone's inside.	Það er einhver inni.
You've got a date?	Ertu með stefnumót?
I gotta go.	Ég verð að fara.
Come here!	Komdu hingað.
Can I talk to you just for a minute?	Má ég tala við þig augnablik?
You look like a fuckin' idiot in that hat. I'll be back.	Þú lítur út eins og hálfviti með þennan hatt.
I'll be back.	Ég kem aftur.
Teena...	Teena...
But the thing is he's sweet.	En málið er að hann er indæll.
And good hair.	Og með fallegt hár.
That's important.	Það er mikilvægt.
I'm Billy.	Ég heiti Billy.
You don't seem like you're from around here.	Þú virðist ekki vera héðan.
Where do I seem like I'm from?	Hvaðan virðist ég vera?
Someplace beautiful.	Frá einhverjum fallegum stað.
I'll stand right here until you're safe inside, OK?	Ég stend hér þar til þú ert óhult inni, allt í lagi?
OK.	Þú ferð ekkert.
Fucker!	Hálfviti.
Get back here, you fucker!	Komdu aftur hingað, hálfviti.
You fuckin' dyke!	Helvítis lessan þín.
You freak!	Viðundrið þitt.
You fucked my sister!	Þú reiðst systur minni.
Open the fuckin' door, you fuckin' faggot!	Opnaðu helvítis dyrnar, homminn þinn.
Open the fuckin' door!	Opnaðu djöfuls dyrnar.
Open this goddamn door!	Opnaðu dyrnar.
You fuckin' asshole!	Helvítis fíflið þitt.
Brothers!	Bræður.
I'll kick your fuckin' ass!	Ég tek í þig.
Your fuckin' faggot cousin, too! Fuck!	Hvað gerðirðu?... helvítis homma frænda þinn líka.
What is the matter with you?	Hvað er að þér?
I don't know!	Ég veit ekki.
I don't know what went wrong!	Ég veit ekki hvað fór úrskeiðis.
You are not a boy!	Þú ert ekki strákur.
That is what went wrong!	Það fór úrskeiðis.
They say I'm the best boyfriend they ever had.	Þær segja ég sé besti kærasti sem þær hafi átt.
Do you want your mother to lock you up again?	Viltu að mamma þín læsi þig aftur inni?
Is that what you want?	Er það það sem þú vilt?
No.	Nei.
Then why don't you just admit that you're a dyke?	Hví viðurkennir þú þá ekki bara að þú sért lessa?
Because I'm not a dyke.	Því ég er það ekki.
Fucker!	Hálfviti.
What are you doin'?	Hvað ertu að gera?
Get outta my pants.	Láttu mig vera.
The money you owe me.	Féið sem þú skuldar mér.
I want it back.	Ég vil það aftur.
Jesus!	Jesús.
Careful with that.	Varlega með þetta.
You didn't have to do that. Jeez!	Þú þurftir ekki að gera þetta.
You're not crashing' here any more, Teena.	Þú gistir ekki hér lengur, Teena.
Get your stuff and go.	Taktu dótið þitt og farðu.
Bad night?	Slæmt kvöld?
The worst.	Það versta.
So what's your name?	Hvað heitirðu?
I hate it, though.	Ég hata nafnið.
I'm thinkin' of changing' it.	Ég er að hugsa um að breyta því.
Sometimes that helps.	Stundum er það til bóta.
I'm Brandon.	Ég heiti Brandon.
I'll pay if you get'em.	Ég borga ef þú nærð í þær.
Sure.	Samþykkt.
Marlboros.	Marlboro.
I'll be right back.	Ég kem fljótt aftur.
Check this out.	Fylgist með þessu.
My friend's sittin'there.	Vinur minn situr þarna.
So?	Hvað með það?
I said get off.	Ég sagði þér að fara.
Excuse me.	Afsakaðu.
Why don't you leave the lady alone?	Hví læturðu dömuna ekki eiga sig?
