Publication detail	Nánar um útgáfu
Such information shall only be used for research and organisation of tourism in general and/or the management of restaurants and accommodation establishments in particular as a profession.	Slíkar upplýsingar skulu einungis notaðar til könnunar og skipulagningar á ferðaþjónustunni almennt og/eða rekstri veitinga- og gistihúsa sérstaklega sem atvinnugreinar.
Every establishment that sells accommodation shall report monthly.	Allir þeir sem selja gistingu skulu færa gistiskýrslur mánaðarlega.
The reports shall have information on:	Á skýrslurnar skal færa upplýsingar um:
total number of arrivals and overnight stays by citizenship of guests	fjölda gesta og gistinátta sundurliðaðar eftir þjóðerni gesta
total number of rooms rented	fjölda útleigðra herbergja
total capacity; number of rooms and bed places	fjölda herbergja og rúma sem standa til boða
opening months of the establishment	Opnunartíma gististaðarins
The accommodation statistics give accurate and particularised information on capacity and occupancy, arrivals and overnight stays in accommodation establishments.	Gistináttatalningin gefur nákvæmar og sundurgreindar upplýsingar um gistirými og nýtingu þess, gestakomur og meðaldvalarlengd á gististað.
Undermentioned data can be found in the statistics:	Eftirtalin atriði má sjá í gistiskýrslum:
total number of overnight stays by type of accommodation, region and citizenship of guests	fjöldi gistinátta eftir tegund gistingar, landsvæðum og þjóðerni gesta
total number of arrivals by type of accommodation, region and citizenship of guests	fjöldi gestakoma eftir tegund gistingar, landsvæðum og þjóðerni gesta
room and bed occupancy rates in hotels and guesthouses by region	nýting herbergja og rúma á hótelum og gistiheimilum eftir landsvæðum
average length of stay by type of accommodation, region and citizenship of guests	meðaldvalarlengd eftir tegund gistingar, landsvæðum og þjóðerni gesta
Overnight stays: A night spent is each night that a guest actually spends in an accommodation establishment.	Gistinætur: Hver gestur sem gistir er talinn hverja einustu nótt sem hann er á staðnum.
Capacity: Total number of rooms and bed-places on offer each month.	Gistirými: Fjöldi herbergja og rúma sem standa til boða.
Occupancy rates: The use of rooms/bed-places in relation to capacity and number of days each month the establishment is open.	Nýting gistirýmis: Hve stórt hlutfall gistirýmisins hefur verið nýtt með tilliti til framboðs á gistirými og fjölda daga í mánuðinum sem hver gististaður er starfandi.
Data is collected every month and the data collection is continuous.	Gögnum er safnað fyrir hvern mánuð og er innsöfnunin stöðugt í gangi.
The data collection is continuous.	Vinna við gistináttatalninguna er stöðugt í gangi.
Accuracy and reliability of published statistics is determined by the response rate as well as by the quality of the in-sent data.	Nákvæmni gagnanna og áreiðanleiki ræðst af því hve margir skila skýrslum og hve vandað er til verka við gerð þeirra.
Estimations are made for all non responding establishments.	Því má segja að þeir sem helst nota niðurstöðurnar, þ.
Accommodation capacity has been mapped in detail and is known for all hotels and guesthouses, holiday centres, youth hostels and private home accommodation.	e. eigendur gististaða ráði mestu um gæði og áreiðanleika þar sem þeir útbúa gögnin sem byggt er á.
Response rates from private-home accommodation have been satisfactory.	Heimtur skýrslna frá heimagististöðum hafa verið viðunandi.
Potential sources of errors can be from:	Skekkjuvaldar í gögnum geta verið af ýmsum toga, nefna má:
errors in the reports made by reporters	skýrslur ranglega færðar
missing information - estimation errors	upplýsingar vantar og þá þarf að áætla gildi.
processing errors, ie. filing and classification errors	úrvinnsluskekkjur s.s skráningarskekkjur og skekkjur við flokkun gististaða.
Errors in the reports.	Skýrslur eru ranglega útfylltar.
When the reporter is phoned for more information and/or corrected reports.	Í þeim tilfellum er yfirleitt hringt í þann sem færði skýrsluna og hann beðinn nánari skýringa eða að senda skýrsluna aftur leiðrétta.
Missing information.	Upplýsingar vantar.
Owners/managers refuse to send in reports.	Eigendur gististaða neita eða gleyma að senda inn gistiskýrslur.
Processing errors.	Innsláttarvillur, þ.
Filing errors, i.e. figures could be wrongly filed into the database.	e. tölur gætu verið ranglega færðar í gagnagrunn.
Such errors are prevented and corrected as much as possible with error checks.	Reynt er að koma í veg fyrir villur og leiðrétta með villuprófunum.
However, in 1995 farm-holiday establishments were re-classified as either hotels/guesthouses with 8 rooms and/or 16 bed-places, or private-home accommodation.	Þó verður að geta þess að árið 1995 voru gististaðir með 8 herbergi og fleiri og/eða 16 rúm og fleiri færðir úr flokki bændagististaða í flokk hótela og gistiheimila.
In 1994, action was taken towards better response rates for private-home accommodation, which shows great increase in the number of overnight stays between 1994 and 1995.	Árið 1994 var gerð gangskör að betri innheimtu skýrslna í flokki heimagististaða sem skýrir mikla aukningu gistinátta milli áranna 1994 og 1995.
Before that estimations had not been made for the non-respondents in that category.	Áður hafði ekki verið áætlað á heimagististaði sem ekki skiluðu gistiskýrslum.
The accommodation statistics have been compared to data from the data collection on arrivals at borders.	Niðurstöður gistináttatalningar hafa verið bornar saman við tölur Útlendingaeftirlitsins um fjölda farþega til landsins.
The difference may be slightly more as regards to particular regions.	Meiri munur kann að verða á einstökum landsvæðum.
The paucity of accommodation establishments outside the capital region makes every establishment very important in the statistical data collection.	Fæð gististaða á landsbyggðinni gerir það að verkum að hver staður skiptir miklu máli.
As a result, preliminary data can be inaccurate when estimations have to be made for regions with few establishments and large establishments have not reported monthly data.	Oft er erfitt að áætla þegar stórir og mikilvægir staðir skila ekki skýrslum.
Number of employers and employees- Statistics Iceland	Fjöldi launagreiðenda og launþega - Hagstofa Íslands
Revision of statistics	Endurskoðun birtra hagtalna
Revision of statistics	Endurskoðun hagtalna
Data on the number of employers and employees have been revised.	Tölur um fjölda launagreiðenda og launþega hafa verið endurskoðaðar frá fyrri birtingu.
Activity	Atvinnugrein
Reference period	Viðmiðunartímabil
difference (percentage point)	mismunur (prósentustig)
Total economy	Allar atvinnugreinar
Business sectors (NACE no. 03-82, 95-96)	Viðskiptahagkerfið (ÍSAT nr. 03-82, 95-96)
Fisheries (NACE no. 031, 102)	Sjávarútvegur (ÍSAT nr. 031, 102)
Manufacturing except fish processing (NACE no. 10-33 except 102)	Framleiðsla án fiskvinnslu (ÍSAT nr. 10-33 án 102)
Manufacture of basic metals (NACE no. 24)	Framleiðsla málma (ÍSAT nr. 24)
Manufacture of fabricated metal products, except machinery and equipment (NACE no. 25)	Framleiðsla á málmvörum, að undanskildum vélum og búnaði (ÍSAT nr. 25)
Construction (NACE no. 41-43)	Byggingarstarfsemi og mannvirkjagerð (ÍSAT nr. 41-43)
Wholesale and retail trade; repair of motor vehicles and motorcycles (NACE no. 45-47)	Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (ÍSAT nr. 45-47)
Wholesale and retail trade and repair of motor vehicles and motorcycles (NACE no. 45)	Sala, viðgerðir og viðhald á vélknúnum ökutækjum og tengivögnum (ÍSAT nr. 45)
Wholesale trade, except of motor vehicles and motorcycles (NACE no. 46)	Heildverslun, að undanskildum vélknúnum ökutækjum (ÍSAT nr. 46)
Retail trade, except of motor vehicles and motorcycles (NACE no. 47)	Smásöluverslun, að undanskildum vélknúnum ökutækjum (ÍSAT nr. 47)
Accommodation (NACE no. 55)	Rekstur gististaða (ÍSAT nr. 55)
Food and beverage service activities (NACE no. 56)	Veitingasala og -þjónusta (ÍSAT nr. 56)
Financial and insurance activities (NACE no. 6466)	Fjármála- og vátryggingastarfsemi (ÍSAT nr. 6466)
difference (percentage point)	feb. (%)
Public administration, compulsory social security and education (NACE no. 84-85)	Fræðslustarfsemi og opinber stjórnsýsla (ÍSAT nr. 84-85)
Human health and social work activities (NACE no. 86-88)	Heilbrigðis- og umönnunarþjónusta (ÍSAT nr. 86-88)
High technology manufacturing and services (NACE no. 20, 254, 26-30, 325, 53, 58, 60-63, 72)	Tækni- og hugverkaiðnaður (ÍSAT nr. 20, 254, 26-30, 325, 53, 58, 60-63, 72)
October 2016 is divided into four weeks, from 3rd to 30th of October.	Október 2016 nær til fjögurra vikna, eða frá 3. til 30. október.
All numbers for the first two months in every quarter of the year are preliminary until the end of the quarter.	Allar tölur fyrir fyrstu tvo mánuði nýjasta ársfjórðungs eru bráðabrigðatölur þar til ársfjórðungi lýkur.
Labour market in Október - Original	Vinnumarkaður í október - mæling
Real wages, index	Kaupmáttur launa, vísitala
Index 2000=100.	Grunnur 2000 = 100.
Refers to the change in the wage index deflated by the CPI converted to mid-month figures.	Sýnir breytingu launavísitölu umfram breytingu á vísitölu neysluverðs sem umreiknuð er til mánaðarmeðaltals.
Labour force participation, %	Atvinnuþátttaka %
In the period 1991-2002 the LFS was carried out twice each year, in April and in November.	1991-2002 var rannsóknin gerð tvisvar á ári, í apríl og nóvember
Unemployment, %	Atvinnuleysi %
The number of unemployed as a proportion of the labour force.	Sýnir hlutfall atvinnulausra af vinnuafli.
Number of employed persons	Fjöldi starfandi
Ómar Harðarson	Guðjón Hauksson
At the beginning of the 19th Century bishops in Iceland were charged with the collection of annual records on still born children from midwifes.	Við upphaf 19. aldar var biskupum á Íslandi gert að safna árlegum skrám frá ljósmæðrum um andvana fædda.
Information on the number of still births is available from the year 1804.	Upplýsingar um fjölda andvana fæddra eru til frá og með árinu 1804.
The annual population count of parsons was discontinued with the founding of the National Register of Persons in 1952.	Árleg manntöl presta lögðust af með tilkomu Þjóðskrár 1952.
Information on still births has since been gathered from birth reports, which are included in the National Register of Persons.	Upplýsingar um andvana fædda hafa fengist síðan úr fæðingarskýrslum sem sendar eru Þjóðskrá.
Institutions, companies, organisations and individuals.	Stofnanir, fyrirtæki, félagasamtök og einstaklingar.
Regulation on the writing of death certificates, forensic autopsies and the notification of still births to Statistics Iceland, no. 248/2001	Reglugerð um ritun dánarvottorða, réttarlæknisfræðilega líkskoðun, réttarkrufningu og tilkynningu til Hagstofu Íslands um andvana fædd börn, nr. 248/2001.
From the National Register of Persons information is gathered on the total number of still born children to mothers domiciled in Iceland (according to Act no. 5 on domicile from 1990).	Úr fæðingarskýrslum eru unnar upplýsingar um heildarfjölda andvana fæddra barna þeirra foreldra sem eiga lögheimili á Íslandi (samkvæmt lögum nr. 5 um lögheimili frá 1990).
The following factors appear in published material:	Eftirtalin atriði koma fram í útgefnu efni:
Total number of still births and still births per 1,000 births.	Heildarfjöldi andvana fæddra og andvana fæddir af 1.000 fæddum
Still births by sex and marital status of parents.	Andvana fæddir eftir kyni og hjúskaparstöðu foreldra
Still born: In the tables of Statistics Iceland still born children are children born without life signs after at least 28 weeks of gestation.	Andvana fæddir: Í töflum Hagstofu Íslands eru andvana fædd börn þau börn sem koma í heiminn án lífsmarks eftir a.m.k. 28 vikna meðgöngu.
Shorter gestation counts as miscarriage.	Styttri meðganga telst vera fósturlát.
This is the definition usually employed in tables from international organisations such as the United Nations and Eurostat.	Þetta er það viðmið yfirleitt hefur verið notað í töflum alþjóðastofnana á borð við Sameinuðu þjóðirnar og Eurostat.
In the last few years the boundary between miscarriage and still birth has been changed to 22 weeks in some countries.	Á allra síðustu árum hafa mörkin milli fósturláts og andvana fæðinga verið færð niður í 22 vikur í sumum löndum.
In tables from these countries the reference point is either 22 weeks (domestic figures) or 28 weeks (international figures).	Í töflugerð þessara landa er ýmist miðað við 22 vikur (tölur á landsvísu) eða 28 vikur (alþjóðlegar tölur).
It should be noted that birth institutions in Iceland have since 1992 set the limit at 22 weeks gestation and 500 g weight.	Rétt er að geta þess að fæðingarstofnanir á Íslandi hafa allt frá árinu 1992 sett mörkin við 22 vikna meðgöngu og 500 g þyngd.
Process time is six months; from end of year until June.	Niðurstöður eru teknar saman árlega.
Internationally, data collection on still births has been considered rather poorly carried out.	Í alþjóðlegu ljósi hefur verið litið á upplýsingaöflun um andvana fæðingar sem fremur vandmeðfarinn málaflokk.
Definitions of still births have changed over time and in older data it can be difficult to distinguish between still births and miscarriages even though accurate definitions are available.	Skilgreiningar um andvana fæðingar hafa breyst í tímans rás og í eldri gögnum getur verið erfitt að greina á milli andvana fæðinga og fósturláta jafnvel þótt nákvæmar skilgreiningar liggi fyrir.
Today information on the length of gestation (based on ultrasound scan and latest period) is declared to Statistics Iceland and forms the basis of the compilation of tables.	Í dag berast upplýsingar um meðgöngulengd (samkvæmt ómskoðun og samkvæmt síðustu tíðum) til Hagstofu Íslands og liggja þær til grundvallar töflugerð Hagstofunnar.
Annual parish censuses were discontinued with the founding of the National Register of Persons in 1952, from which information on still births has been gathered since.	Árleg manntöl presta lögðust af með tilkomu þjóðskrárinnar 1952 og hafa upplýsingar um andvana fædda fengist úr henni allar götur síðan.
The definition of consensual union of parents in population reports was changed in 1986.	Skilgreiningu á óvígðri sambúð foreldra var breytt 1986 í mannfjöldaskýrslum.
Before this time reports on the subject relied on the National Register of Persons as well as birth reports; it was not considered consensual union unless parents were domiciled at the same address.	Fyrir þann tíma studdist skýrslugerð um þetta atriði við þjóðskrá auk fæðingarskýrslna og var þá ekki talið að um óvígða sambúð væri að ræða nema foreldrar hefðu sama lögheimili.
From 1986 reports on the consensual union of parents relies entirely on birth reports, where information on the subject is received directly from the mother.	Frá 1986 byggist skýrslugerð um sambúð foreldra eingöngu á fæðingarskýrslum og þeim upplýsingum sem þar eru hafðar eftir móður um það atriði.
No preliminary statistics are published for still births.	Engar bráðabirgðatölur eru gefnar út fyrir andvana fædda.
Income distribution more equal than before	Dreifing tekna jafnari en áður
Income in Iceland was more evenly distributed in 2014 than ever before in the European Survey of Income and Living Conditions (EU-SILC) but the survey was first collected in Iceland in 2004.	Árið 2014 dreifðust tekjur á Íslandi jafnar milli fólks en áður hefur sést í lífskjararannsókn Hagstofunnar en hún var fyrst framkvæmd árið 2004.
The quintile share ratio and the Gini coefficient are two indicators for income distribution and they have never been this low in the Icelandic EU-SILC.	Fimmtungastuðullinn og Gini-stuðullinn eru tvær mælingar sem eru notaðar til að mæla dreifingu tekna og hafa þessir stuðlar ekki mælst lægri í lífskjararannsókninni.
The quintile share ratio shows that the highest income quintile had 3.1 times the income of the lowest quintile but the difference peaked at 4.2 in 2009.	Fimmtungastuðullinn sýnir að tekjuhæsti fimmtungurinn var með 3,1 sinnum hærri tekjur en sá tekjulægsti en hæstur var stuðullinn 4,2 árið 2009.
The Gini coefficient would be 100 if one individual had all the income but 0 if everyone had equal income.	Gini-stuðullinn væri 100 ef einn einstaklingur hefði allar tekjur samfélagsins en 0 ef allir hefðu jafnar tekjur.
One of five key objectives of the EU 2020 targets is to lower the number of people in this group which are individuals who are at risk of poverty, have severe material deprevation, or live in households with very low work intensity.	Eitt af fimm lykilmarkmiðum 2020 áætlunar ESB er að fækka þeim sem sem falla í þennan hóp en það eru einstaklingar sem eru undir lágtekjumörkum, búa við verulegan skort á efnis¬legum gæðum eða búa á heimilum þar sem vinnuþátttaka er mjög lítil.
In 2013 this indicator was lowest in Iceland among European countries followed by Norway, the Czech Republic and the Netherlands.	Árið 2013 var þetta hlutfall lægst á Íslandi en næst komu Noregur, Tékkland og Holland.
The at-risk-of-poverty rate was 7.9, the same as it was in 2012 but it has never been lower.	Hlutfall þeirra sem voru undir lágtekjumörkum á Íslandi hefur ekki verið lægra eða 7,9% sem er sama hlutfall og árið 2012.
On the other hand the difference was less between those with basic education and those with upper secondary education.	Þegar lágtekjuhlutfallið er greint nánar sést að háskólamenntaðir voru ólíklegri til að vera fyrir neðan lágtekjumörk en þeir sem hafa minni menntun.
In other words, they eliminate the differences in price levelsbetween countries in the process of conversion.	Algengast að bera saman þjóðarframleiðslutölur á mann.
This means that agiven sum of money, when converted into diffrent currencies by meansof PPPs, will buy the same volume of goods and services in allcountries.	Í töflunni hafa þjóðarframleiðslutölurnar verið reiknaðar miðað við jafnvirðisgildi en með því fæst samanburður á magni.
The Department of National Accounts and Public Finance	Deild þjóðhagsreikninga og opinberra fjármála
e-mail: gudrun.jonsdottir@statice.is	netfang: gudrun.jonsdottir@hagstofa.is
The government sector comprises those activities in the economy that are mainly financed by tax revenue.	Fjármál hins opinbera ná fyrst og fremst til þeirrar starfsemi í hagkerfinu þar sem tekna er aflað með álagningu skatta.
One of the main purposes of keeping accounts of the general government is to give an overview of its revenue, expenditure, assets and liabilities and of its main balances, i.e. the operating balance and net lending / borrowing balance.	Tilgangur reikninga um fjármál hins opinbera er því að gefa yfirlit yfir tekjur, útgjöld, eignir og skuldir hins opinbera og sömuleiðis mikilvægustu jöfnuði í rekstri þess, s.s. rekstrar- og tekjujöfnuð.
The Ministry of Finance and the Central bank use government accounts for forecasting and in preparations of the budget.	Uppgjör á fjármálum hins opinbera eru grunnur að spám um líklega framvindu opinberra fjármála og eru notuð í því skyni meðal annars af fjármálaráðuneytinu og Seðlabanka.
The financial sector, labour and business organisations and other organisations use government accounts to analyse the developments of the government sector and its economic performance.	Bankar, launþega- og atvinnurekendasamtök og ýmis önnur samtök nota einnig slík uppgjör til að draga fram áhugaverðar upplýsingar varðandi einstaka tekju- og útgjaldaliði hins opinbera.
International organisations like UN, IMF, OECD and EU use the government accounts for analysing their economic impacts and to compare their developments with other nations.	Alþjóðasamtök eins og Sameinuðu þjóðirnar, OECD, IMF og Evrópusambandið nota uppgjör á fjármálum hins opinbera til að fylgjast með þróun opinberra fjármála og við samanburð á hagstærðum milli landa.
Among the most important sources are:	· Samantekt Sambands íslenskra sveitarfélaga á ársreikningum sveitarfélaga
The local government quarterly accounts are, on the other hand, based on a sample where a questionnaire is submitted to the largest municipalities.	Í viðauka reglugerðarinnar er að finna handbók með ítarlegum lýsingum á þeim aðferðum sem fylgja skal við gerð slíkra reikninga.
The government finances are meant to give a good overview of the general government sector, its revenue and expenditure and its economic impacts.	Fjármálum hins opinbera er ætlað af gefa góða yfirsýn yfir búskap hins opinbera, bæði varðandi tekjur og útgjöld og efnahagsleg áhrif.
The key indicators are total revenue, total expenditure, total liabilities, the operating balance and the net lending / net borrowing balance.	Lykilstærðir eru heildartekjur, heildarútgjöld, heildarskuldir, rekstrarjöfnuður og tekjujöfnuður, en sá síðarnefndi mælir þenslu- eða samdráttaráhrif opinberra fjármála.
Both revenue and expenditure are classified by economic type to show their economic impacts.	Tekjur og gjöld eru flokkuð eftir hagrænu eðli til að sýna hagræn áhrif þeirra í þjóðarbúskapnum.
The expenditure is as well classified by functions to give an overview of where money is spent.	Þá eru útgjöld flokkuð eftir málaflokkum með það í huga að sýna þátt hins opinbera á mismunandi málasviðum þess.
The revenue and expenditure are presented in nominal values at current prices as well as in various real terms to give a better indication of their developments.	Auk talna í fjárhæðum á verðlagi hvers árs hefur talnaefni verið sett fram með ýmsum hætti til að gefa gleggri vísbendingar um raunþróun bæði tekna og gjalda.
In that respect, they have been deflated by the price index of government final consumption and the consumer price index.	Þannig hafa bæði verðvísitölur samneyslunnar og verðvísitala neysluverðs verið notaðar á útgjalda- og tekjuliði til að nálgast raunbreytingar.
Thus the share of government expenditure of Gross Domestic Product (GDP) is calculated and its growth rate.	Sömuleiðis hefur hlutfall af landsframleiðslu verið reiknað til þess að fá mat á opinberum umsvifum í samhengi við umsvif í efnahagslífinu í heild.
Although most of the government statistics are based on administrative data, some data need to be estimated.	Við slíkt mat er leitast við að fara eftir uppgjörsaðferðum sem þróaðar hafa verið á alþjóðavettvangi.
The main characteristics of these accounts can be described as follows:	Helstu einkennum þessara reikninga má lýsa með eftirfarandi hætti:
The revenue account:	Tekjureikningur:
The following website of IMF gives a detailed description of the different types of revenue. http://www.imf.org/external/pubs/ft/gfs/manual/pdf/ch5.pdf.	Á eftirfarandi veffangi Alþjóðagjaldeyrissjóðsins er að finna ítarlegri skýringar á hinum mismunandi tekjustofnum http://www.imf.org/external/pubs/ft/gfs/manual/pdf/ch5.pdf.
Tax revenue is defined as those compulsory transfers from other sectors of the economy where the taxpayers receive nothing direct in return.	Skatttekjur: Skatttekjur eru skilgreindar sem þær tekjur hins opinbera sem lagðar eru á með þvingun og án þess að greiðandinn fái eitthvað beint í staðinn.
Social contributions, like tax revenue, are compulsory levies, but the payer receives certain protection (benefits and services) against certain social risks.	Tryggingagjöld: Tryggingagjöld eru lögð á með þvingun eins og skattar en gefa greiðandanum hins vegar rétt á bótagreiðslum eða tiltekinni þjónustu þegar ákveðnar aðstæður koma upp.
When measuring tax burden, social contributions are included.	Við mælingu á skattbyrði teljast tryggingagjöld með.
Grants comprise current and capital transfers from other subsectors of the general government and as well similar transfers from foreign governments and international organizations.	Fjárframlög: Fjárframlög ná til tekju- og fjármagnstilfærslna sem hið opinbera og undirgeirar þess fá hver frá öðrum, erlendum stjórnvöldum og alþjóðastofnunum.
The receiver pays nothing direct in return.	Móttakandinn lætur ekkert beint af hendi í staðinn.
The expense account:	Gjaldareikningur:
The general government expense is divided by economic type into eight main categories, but the net acquisition of nonfinancial assets is classified into capital account.	Gjöld hins opinbera skiptast niður á átta meginflokka eftir hagrænu eðli, en kaup og sala á efnislegum eignum flokkast undir fjárfestingareikning.
The expense categories are compensation of employees, use of goods and services, consumption of fixed capital, interest, subsidies, grants, social benefits and other expense.	Gjaldaflokkarnir eru laun og launatengd gjöld, kaup á vöru og þjónustu, afskriftir, vaxtagjöld, framleiðslustyrkir, fjárframlög, félagslegar tilfærslur til heimila og önnur útgjöld ót.a.s.
Each category has its particular economic impacts.	Hver flokkur hefur sín sérstöku hagrænu áhrif.
The following website of IMF describes further the different types of expense. http://www.imf.org/external/pubs/ft/gfs/manual/pdf/ch6.pdf	Frekari skýringar á gjaldaflokkum er að finna á eftirfarandi veffangi Alþjóðagjaldeyrissjóðsins: http://www.imf.org/external/pubs/ft/gfs/manual/pdf/ch6.pdf
Compensation of employees: Compensation of employees is the total remuneration, in cash or in kind, payable by the government as an employer to an employee in return for work done by the latter.	Laun og launatengd gjöld: Með launum og tengdum gjöldum er átt við greiðslur í peningum eða fríðu frá hinu opinbera sem atvinnurekandi greiðir launþega fyrir vinnuframlag.
Other expense: The expense that does not fall into above categories is classified here.	Einnig falla hér undir sektir, skaðabætur og skattgreiðslur svo dæmi séu nefnd.
Main balances:	Helstu jöfnuðir:
Various indicators are used to measure the government performance and its financial impacts.	Ýmsir mælikvarðar eru notaðir til að mæla afkomu hins opinbera.
The most common ones are the net operating balance, the net saving and the net lending / net borrowing balance.	Algengastir eru rekstrarjöfnuður, hreinn sparnaður og tekjujöfnuður.
The government net saving equals operating balance less net capital transfers.	Séu nettó fjármagnstilfærslur dregnar frá rekstrarjöfnuði fæst hreinn sparnaður.
The data are revised occasionally if necessary.	Þær tölur geta engu að síður tekið breytingum eftir því sem tilefni gefst.
Quarterly government accounts statistics are published 75 days after the end of the quarter.	Ársfjórðungstölur eru birtir 75 dögum eftir að ársfjórðungnum lýkur.
At the same time the previous quarters are revised.	Fyrri ársfjórðungar eru þá jafnframt endurskoðaðir.
Quarterly data is also revised according to revisions of annual data.	Ársfjórðungar taka einnig breytingum eftir því sem árstölur breytast.
In the beginning of 2007, the government accounts were published in line with GFSM 2001 framework, which is mainly based on SNA 93 (ESA 95) and emphasises the revenue and expenditure accounts which in a way resemble the accounting structure of business accounting.	Í byrjun árs 2007 voru fjármál hins opinbera birt í samræmi við GFSM 2001 staðal Alþjóðagjaldeyrissjóðsins sem byggir í meginatriðum á þjóðhagsreikningakerfi Sameinuðu þjóðanna, SNA 93 (ESA 95), en leggur áherslu á tekju- og útgjaldareikninga í samræmi við hefðbundið bókhaldsuppgjör opinberra fjármála.
The general government and its subsectors were revised back to 1998 in line with this new manual.	Af þessu tilefni voru fjármál hins opinbera og undirgeira þess endurskoðuð aftur til ársins 1998 með hliðsjón af hinum nýja staðli.
The revision back to 1998 gave a welcome opportunity for more thoroughly screening of each expense item than the previous working methods had allowed.	Við endurskoðun aftur til ársins 1998 gafst tækifæri á að fara ítarlegar yfir einstaka útgjaldaliði (fjárlagaliði) og niðurbrot þeirra en fyrri uppgjörsvenja gaf tilefni til.
Particularly, regarding the expenditure classification by economic type of the budgetary central government and also regarding some data areas concerning the local governments.	Átti þetta sérstaklega við hagræna flokkun ríkisútgjalda og sömuleiðis vissa þætti í uppgjöri sveitarfélaganna.
The consistency between years was also increased by using more advanced data processing technique.	Með aukinni rafrænni vinnslu gagna var einnig tryggt betra samræmi milli ára en áður var.
Some inaccuracy exists in the source data that affect the accuracy of the government accounts figures.	Nokkur ónákvæmni í gögnum setur visst mark á tölur um fjármál hins opinbera.
For example, the accounting data should be on an accrual basis in the government accounts as in the national accounts.	Má þar í fyrsta lagi nefna rekstrargrunnsfærslur opinberra fjármála, en í þjóðhagsreikningum er ætlast til að uppgjör hins opinbera sé á rekstrargrunni.
In this respect some inconsistency exists in the accounting systems of the governments, although most of the accounting figures are recorded on accrual basis.	Líklega er nokkur brestur á að bókhald opinberra aðila sé á hreinum rekstrargrunni, þó hann sé það að stærstum hluta.
Regarding the recording of tax revenues, it is recommended that only those tax revenues likely to be collected should be recorded.	Þá er nokkur ónákvæmni varðandi tekjufærslur ýmissa skatta, en reynt er að færa einungis til tekna þær skatttekjur sem líklega innheimtast yfir lengri tíma.
Tax coefficients are used to estimate the appropriate tax amounts that need to be recorded.	Hér þarf því að beita áætlunum (stuðlum).
Actuarial calculations are used for approaching these liabilities.	Við þessa gjaldfærslu er stuðst við tryggingafræðilega útreikninga.
It is a fundamental idea when compiling government accounts that the figures to the largest possible extent are comparable over time.	Ein af grunnhugmyndunum með uppgjöri hins opinbera er að fylgt skal samræmdum aðferðum frá ári til árs í því skyni að tímaraðir verði eins sambærilegar og kostur er.
In the recent years, the various institutions working with the government data at different levels have cooperated and tried to reconcile their data classifications and presentation.	Á undanförnum árum hefur átt sér stað mikil samræmingarvinna milli stofnana sem koma að gerð og vinnslu hagtalna fyrir hið opinbera og einstaka undirgeira þess.
This cooperation has resulted in harmonized and consistent revenue and expenditure classifications.	Sú vinna hefur skilað sér meðal annars í betri samræmdri flokkun tekna og útgjalda.
Therefore the comparability of the government statistics as presented by these institutions is adequate and discrepancies have been recorded.	Samanburðurinn við hagtölur annarra stofnana er því með ágætum að teknu tilliti til mismunandi aðferðafræði sem beitt er.
Internationally there is a high degree of comparability with the government accounts of other countries whereas the same standard is applied.	Samanburður við erlendar hagtölur er afar algengur og ætti að vera mjög marktækur fyrir þau lönd sem fylgja sama staðli við uppgjör á fjármálum hins opinbera.
The preliminary statistics for the government accounts are published within three months from the end of the reference period.	Bráðabirgðatölur fyrir hið opinbera birtast innan þriggja mánaða frá því að viðkomandi tímabili líkur.
· Statistics, categorised statistical web tables	Landshagir, árbók Hagstofu Íslands
Source data is stored at Statistics Iceland.	Grunngögn eru varðveitt á Hagstofunni.
Access to more detailed data than has already been published is granted on an individual basis.	Afstaða er tekin til þess hverju sinni hvort utanaðkomandi aðilar fái aðgang að ítarlegri sundurliðun gagna en birt eru.
In these cases the main principle is to uphold the confidentiality of the data in guidance with Statistics Iceland Rules of Procedure for Treating Confidential Data, which can be accessed on Statistics Iceland's website.	Í því sambandi er verndun trúnaðarupplýsinga höfð í fyrirrúmi og fylgt verklagsreglum Hagstofu Íslands um meðferð trúnaðargagna sem eru aðgengilegar á heimasíðu Hagstofunnar.
The main publications about methods used in compilation of government and national accounts in Iceland are:	Helstu skýrslur um aðferðafræði fjármála hins opinbera og þjóðhagsreikninga á Íslandi eru:
General Government Accounts (few issues), The National Economic Institute, Reykjavík	Búskapur hins opinbera (nokkur hefti), Þjóðhagsstofnun, Reykjavík.
Gross National Income Inventory (ESA95) Iceland, Statistics Iceland, from March 2004 is on Statistics Iceland's website.	Gross National Income Inventory (ESA95) Iceland; Statistics Iceland, March 2004; birt á heimasíðu Hagstofunnar.
A very detailed description of methods used for compilation of national accounts at current prices.	Hér er um að ræða ítarlega lýsingu á aðferðum við gerð þjóðhagsreikninga á verðlagi hvers árs.
This report is requested by Eurostat and the structure of it is laid down by Eurostat.	Skýrslan er tekin saman að kröfu Eurostat sem hefur ákveðið kaflaskiptingu og umfjöllunarefni innan hvers kafla.
Similar report exists for all the member states of European Economic Area.	Sambærilegar lýsingar eru til fyrir öll löndin á Evrópska efnahagssvæðinu.
National Accounts 1945-1992 (in Icelandic); National Economic Institute, Reykjavik August 1994.	Þjóðhagsreikningar 1945-1992; Þjóðhagsstofnun, Reykjavík Ágúst 1994
