Closing the Loop for ALMA	ALMA nær mikilvægum áfanga
This image was taken by the Wide Field Imager on the MPG/ESO 2.2-metre telescope at ESOs La Silla Observatory in northern Chile.	Myndin var tekin með Wide Field Imager á 2,2 metra MPG/ESO sjónaukanum í La Silla stjörnustöðinni í norðurhluta Chile.
Notes	Skýringar
[1] The alternative and evocative name for NGC 6705, the Wild Duck Cluster, came about in the 19th century.	[1] Hitt nafnið á NGC 6705, Villiandarþyrpingin, sem er mun skemmtilegra, varð til á 19. öld.
When the cluster was seen through a small telescope it was noticed that the brightest stars formed an open triangle pattern on the sky that resembled ducks flying in formation.	Þegar þyrpingin sást í gegnum lítinn sjónauka tóku menn eftir að björtustu stjörnurnar mynduðu opið þríhyrningslaga mynstur á himninum sem líktist fuglum á oddaflugi.
Two Families of Comets Found Around Nearby Star	Tvær fjölskyldur halastjarna fundnar í kringum nálæga stjörnu
Biggest census ever of exocomets around Beta Pictoris	Yfirgripsmesta rannsóknin til þessa á fjarhalastjörnum í kringum Beta Pictoris
The HARPS instrument at ESOs La Silla Observatory in Chile has been used to make the most complete census of comets around another star ever created.	Stjörnufræðingar hafa notað HARPS mælitækið í La Silla stjörnustöð ESO í Chile til að gera yfirgripsmestu rannsóknina hingað til af halastjörnum utan okkar sólkerfis.
A French team of astronomers has studied nearly 500 individual comets orbiting the star Beta Pictoris and has discovered that they belong to two distinct families of exocomets:	Hópur franskra stjarnvísindamanna rannsakaði hartnær 500 halastjörnur í kringum stjörnuna Beta Pictoris og komst að því að þær tilheyra tveimur mismunandi halastjörnufjölskyldum.
old exocomets that have made multiple passages near the star, and younger exocomets that probably came from the recent breakup of one or more larger objects.	Önnur fjölskyldan samanstendur af gömlum halastjörnum sem hafa oftsinnis komist í návígi við stjörnuna en hin fjölskyldan er úr yngri halastjörnum sem sennilega mynduðust við sundrun eins hnattar eða fleiri.
The new results will appear in the journal Nature on 23 October 2014.	Niðurstöðurnar verða birtar í tímaritinu Nature hinn 23. október 2014.
Beta Pictoris is a young star located about 63 light-years from the Sun.	Beta Pictoris er ung stjarna í um 63 ljósára fjarlægð frá sólinni.
It is only about 20 million years old and is surrounded by a huge disc of material - a very active young planetary system where gas and dust are produced by the evaporation of comets and the collisions of asteroids.	Hún er aðeins um 20 milljón ára gömul og umlukin mikilli efnisskífu þar sem ungt sólkerfi er að myndast úr gasi og ryki sem verður til við uppgufun halastjarna og smástirnaárekstra.
“Beta Pictoris is a very exciting target!	„Beta Pictoris er afar spennandi rannsóknarefni!
The detailed observations of its exocomets give us clues to help understand what processes occur in this kind of young planetary system.”	Nákvæmar mælingar á halastjörnum í þessu unga sólkerfi gefa okkur svipmynd af þeim ferlum sem eiga sér stað í ungu sólkerfi sem þessu,“ segir Flavien Kiefer (IAP/CNRS/UPMC), aðalhöfundur greinar um nýju rannsóknina.
For almost 30 years astronomers have seen subtle changes in the light from Beta Pictoris that were thought to be caused by the passage of comets in front of the star itself.	Í næstum 30 ár hafa stjörnufræðingar komið auga á örlitlar breytingar í ljósinu frá Beta Pictoris sem talið er að megi rekja til göngu halastjarna fyrir stjörnuna sjálfa.
Comets are small bodies of a few kilometres in size, but they are rich in ices, which evaporate when they approach their star, producing gigantic tails of gas and dust that can absorb some of the light passing through them.	Halastjörnur eru litlir íshnettir, aðeins örfáir kílómetrar að stærð, sem gufa upp þegar þeir nálgast móðurstjörnuna og myndast þá mikli gas- og rykhalar sem geta gleypt ljós sem berst í gegnum þá.
The dim light from the exocomets is swamped by the light of the brilliant star so they cannot be imaged directly from Earth.	Birta halastjarnanna er hins vegar hverfandi í samanburði við skært ljós stjörnunnar svo ekki er hægt að ná myndum af þeim frá jörðinni með beinum hætti.
To study the Beta Pictoris exocomets, the team analysed more than 1000 observations obtained between 2003 and 2011 with the HARPS instrument on the ESO 3.6-metre telescope at the La Silla Observatory in Chile.	Til að rannsaka halastjörnunar umhverfis Beta Pictoris skoðuðu stjörnufræðingarnir meira en 1000 mælingar sem gerðar voru með HARPS mælitækinu á 3,6 metra sjónaukanum í La Silla stjörnustöðinni í Chile milli áranna 2003 og 2011.
The researchers selected a sample of 493 different exocomets.	Stjörnufræðingarnir völdu 493 mismunandi halastjörnur í mælingunum.
Some exocomets were observed several times and for a few hours.	Sumar voru mældar nokkrum sinnum og í nokkrar klukkustundir í senn.
Careful analysis provided measurements of the speed and the size of the gas clouds. Some of the orbital properties of each of these exocomets, such as the shape and the orientation of the orbit and the distance to the star, could also be deduced.	Nákvæm greining á gögnunum sýndi hraða og stærðir gasskýjanna og gerðu ennfremur kleift að reikna út brautareiginleika halastjarnanna, svo sem lögun sporbrautanna, halla og fjarlægðina frá stjörnunni.
This analysis of several hundreds of exocomets in a single exo-planetary system is unique.	Þessi rannsókn á nokkur hundruð halastjörnum í öðru sólkerfi er einstök.
It revealed the presence of two distinct families of exocomets:	Hún leiddi í ljós tilvist tveggja aðskildra halastjörnuhópa:
one family of old exocomets whose orbits are controlled by a massive planet [1], and another family, probably arising from the recent breakdown of one or a few bigger objects.	Annar hópurinn er fjölskylda gamalla halastjarna á brautum sem stjórnast af þyngdartogi massamikillar reikistjörnu [1] en hinn hópurinn er ung fjölskylda sem varð til við sundrun eins hnattar eða fleiri.
Different families of comets also exist in the Solar System.	Í sólkerfinu okkar eru einnig mismunandi halastjörnufjölskyldur.
The exocomets of the first family have a variety of orbits and show a rather weak activity with low production rates of gas and dust.	Halastjörnurnar í fyrri fjölskyldunni eru á ýmiskonar brautum og fremur óvirkar með litla gas- og rykframleiðslu.
This suggests that these comets have exhausted their supplies of ices during their multiple passages close to Beta Pictoris [2].	Það bendir til að þær hafi komist ítrekað í návígi við Beta Pictoris [2] og við það farið langt með að klára ísforða sinn.
The exocomets of the second family are much more active and are also on nearly identical orbits [3].	Hin halastjörnufjölskyldan er mun virkari og eru allar á svipuðum sporbrautum [3].
This suggests that the members of the second family all arise from the same origin: probably the breakdown of a larger object whose fragments are on an orbit grazing the star Beta Pictoris.	Bendir það til þess að halastjörnunnar eigi allar sama uppruna, líklega eftir að stór hnöttur sundraðist og eru brotin úr honum nú á sveimi nálægt Beta Pictoris.
Flavien Kiefer concludes: “For the first time a statistical study has determined the physics and orbits for a large number of exocomets.	„Í fyrsta sinn hefur tölfræðileg rannsókn sýnt fram á eiginleika og brautir mikils fjölda halastjarna utan okkar sólkerfis.
This work provides a remarkable look at the mechanisms that were at work in the Solar System just after its formation 4.5 billion years ago.”	Rannsóknin gefur okkur einstaka sýn á ferlin sem voru að verki í sólkerfinu okkar rétt eftir að það myndaðist fyrir rúmum 4,5 milljörðum ára,“ segir Flavien Kiefer að lokum.
Notes	Skýringar
[1] A giant planet, Beta Pictoris b, has also been discovered in orbit at about a billion kilometres from the star and studied using high resolution images obtained with adaptive optics.	[1] Risareikistjarna, Beta Pictoris b, hefur einnig fundist á braut um stjörnuna, um milljarð km í burtu frá henni og hefur hún verið rannsökuð með myndum í hárri upplausn sem teknar voru með hjáp aðlögunarsjóntækja.
[2] Moreover, the orbits of these comets (eccentricity and orientation) are exactly as predicted for comets trapped in orbital resonance with a massive planet.	[2] Sporbrautir þessara halastjarna (miðskekkjan og brautarhallinn) eru nákvæmlega eins og spár um halastjörnu í brautarherma við massamikla reikistjörnu gerðu ráð fyrir.
The properties of the comets of the first family show that this planet in resonance must be at about 700 million kilometres from the star - close to where the planet Beta Pictoris b was discovered.	Eiginleikar halastjarnanna í fyrri fjölskyldunni sýna að reikistjarnan hlýtur að vera í um 700 milljón km fjarlægð frá stjörnunni, eða á svipuðum slóðum og reikistjarnan Beta Pictoris b fannst.
[3] This makes them similar to the comets of the Kreutz family in the Solar System, or the fragments of Comet Shoemaker-Levy 9, which impacted Jupiter in July 1994.	[3] Þetta gerir þær svipaðar Kreutz halastjörnuhópnum í sólkerfinu okkar, eða brotum halastjörnunnar Shoemaker-Levy 9 sem féll inn í Júpíter í júlí 1994.
Poland to Join the European Southern Observatory	Pólland gerist aðili að Stjörnustöð Evrópulanda á suðurhveli
Today Professor Lena Kolarska-Bobińska, the Polish Minister of Science and Higher Education, signed an agreement that will lead to the country joining the European Southern Observatory (ESO) - the worlds most productive ground-based observatory.	Í dag undirritaði prófessor Lena Kolarska-Bobińska, mennta- og vísindamálaráðherra Póllands, samþykkt um þátttöku landsins í Stjörnustöð Evrópulanda á suðurhveli (ESO) - öfugustu stjörnustöðvar heims á jörðu niðri.
ESO is looking forward to welcoming Poland as a Member State, following subsequent ratification of the accession agreement.	ESO hlakkar til að taka á móti Póllandi sem aðildarríki eftr að samningurinn hefur verið staðfestur.
Polands accession agreement was signed today in Warsaw, Poland, by Minister Kolarska-Bobińska and ESOs Director General Tim de Zeeuw, in the presence of other senior officials from Poland and ESO.	Þau Kolarska-Bobińska ráðherra og Tim de Zeeuw framkvæmdarstjóri ESO undirrituðu aðildarsamning Póllands í Varsjá í viðurvist annarra ráðamanna frá Póllandi og ESO.
Since this agreement means accession to an international treaty, it must now be submitted to the Polish Parliament for ratification [1].	Samningurinn felur í sér þáttöku í alþjóðlegu samstarfi svo pólska þingið þrf að staðfesta hann og fullgilda [1].
The signing of the agreement followed its unanimous approval by the ESO Council during an extraordinary meeting on 8 October 2014.	Samningurinn var undirritaður í kjölfar einróma samþykktar ESO ráðsins á fundi hinn 8. október 2014.
“Were very excited to have our membership of ESO on the horizon,” says Minister Kolarska-Bobińska.	„Við erum afar spennt fyrir því að aðild okkar að ESO sé í sjónmáli,“ sagði Kolarska-Bobińska ráðherra.
“This will open up many future opportunities for us, and drive Polish industry, science and technology forward.	„Aðildin felur í sér fjölmörg tækifæri fyrir okkur til framtíðar og mun drífa áfram iðnað, vísindi og tækni í Póllandi.
This will be the beginning of a fantastic partnership for European astronomy and will also strengthen our links with Chile, with whom we are already cooperating intensively, for instance, in the mining industry - another field where Chile's natural conditions are outstanding.”	Þetta markar upphafið af frábæru samstarfi við evrópska stjarnvísindasamfélagið og mun ennfremur efla tengsl okkar við Chlie, sem við eigu nú þegar náið samstarf við, til dæmis í námuvinnslu - öðru sviði þar sem náttúrugæði Chile eru framúrskarandi.“
The connection between ESO and Poland extends beyond their respective astronomical communities.	Tengls ESO og Póllands ná einnig út fyrir stjarnvísindasamfélagið sjálft.
For example, the most recent ESO Industry Day was hosted in Warsaw in January 2013.	Sem dæmi fór iðnaðardagur ESO fram í Varsjá í janúar 2013.
This event gave ESO the chance to inform Polish industry about ESO's current facilities and its future plans, including the construction of the European Extremely Large Telescope (E-ELT).	Þá gafst ESO færi á að kynna pólskum iðnaði stjörnustöðvar sínar og fyrirhuguð stórverkefni, þar á meðal smíði European Extremely Large Telescope (E-ELT).
“We are looking forward to having Poland as a member of our organisation,” says ESOs Director General, Tim de Zeeuw.	„Við hlökkum til að fá Pólland sem aðildarríki að samtökum okkar,“ segir Tim de Zeeuw framkvæmdarstjóri ESO.
“Poland will bring a strong astronomical community, which will strengthen the expertise across the ESO Member States, for example in the time-series astronomy.	„Póllandi fylgir sterkt stjarnvísindasamfélag sem mun styrkja sérfræðiþekkingu í aðildarríkjum ESO, til dæmis í tímarunumælingum.
Poland will gain access to some of the best telescopes and observatories in the world, including the Very Large Telescope on Paranal, ALMA at Chajnantor and, in the coming decade, also the European Extremely Large Telescope on Armazones which will be a tremendous step forward.	Pólland mun fá aðgang að bestu sjónaukum og stjörnustöðvum heims, þar á meðal Very Large Telescope á Paranal, ALMA á Chajnantor og einnig Extremely Large Telescope á Armazones á næsta áratug sem verður risaskref fram á við.
Poland can now be part of the E-ELT construction effort.”	Pólland getur nú verið hluti af uppbyggingu E-ELT.“
Poland, the homeland of Nicolaus Copernicus, the astronomer who proposed that the Sun and not the Earth is at the centre of the Solar System, has a rich tradition in astronomy extending to the present.	Í Póllandi, heimalandi Nikulásar Kópernikusar, stjörnufræðingsins sem setti fram þá tilgátu að sólin væri miðja sólkerfisins en ekki jörðin, er rík stjarnvísindahefð sem nær til okkar tíma.
“Polish astronomers have contributed greatly to astronomical research in recent years, and with our accession to ESO this will only continue to grow,” says Minister Kolarska-Bobińska.	„Pólskir stjörnufræðingar hafa lagt mikið af mörkum til stjarnvísinda undanfarin ár og með aðild okkar að ESO mun framlagið aðeins aukast,“ sagði Kolarska-Bobińska ráðherra.
Notes	Skýringar
[1] After ratification of Polands membership of ESO, the ESO Member States will be Austria, Belgium, Brazil (pending ratification), the Czech Republic, Denmark, France, Finland, Germany, Italy, the Netherlands, Poland, Portugal, Spain, Sweden, Switzerland and the United Kingdom.	[1] Eftir fullgildingu á aðildarsamningi Póllands við ESO verða aðildarríki ESO Austurríki, Belgía, Brasilía (eftir fullgildingu), Tékkland, Danmörk, Frakkland, Finnland, Þýskaland, Ítalía, Holland, Pólland, Portúgal, Spánn, Svíþjóð og Bretland.
Planet-forming Lifeline Discovered in a Binary Star System	Flæði úr ytri efnisskífu í innri finnst í tvístirnakerfi
ALMA Examines Ezekiel-like “Wheel in a Wheel” of Dust and Gas	ALMA rannsakar tvær gas- og rykskífur í sama kerfi
For the first time, researchers using ALMA have detected a streamer of gas flowing from a massive outer disc toward the inner reaches of a binary star system.	Stjarnvísindamenn sem notuðu ALMA hafa í fyrsta sinn fundið gas- og rykstraum sem flæðir úr efnismikilli ytri skífu yfir í innri svæði tvístirnakerfis.
This never-before-seen feature may be responsible for sustaining a second, smaller disc of planet-forming material that otherwise would have disappeared long ago.	Fyrirbæri af þessu tagi hefur aldrei sést áður og gæti átt stóran þátt í að viðhalda annarri, minni efnisskífu, sem gæti verið að mynda reikistjörnur og hefði ella horfið fyrir löngu.
Half of Sun-like stars are born in binary systems, meaning that these findings will have major consequences for the hunt for exoplanets.	Helmingur stjarna á borð við sólina okkar verða til í tvístirnakerfum en það þýðir að þessi uppgötvun mun hafa töluverð áhrif á leitina að reikistjörnum utan okkar sólkerfis.
The results are published in the journal Nature on 30 October 2014.	Niðurstöðurnar eru birtar í tímaritinu Nature hinn 30. október 2014.
A research group led by Anne Dutrey from the Laboratory of Astrophysics of Bordeaux, France and CNRS used the Atacama Large Millimeter/submillimeter Array (ALMA) to observe the distribution of dust and gas in a multiple-star system called GG Tau-A [1].	Hópur stjarnvísindamanna undir forystu Anne Dutrey við Laboratory of Astrophysics of Bordeaux í Frakklandi og CNRS notaði Atacama Large Millimeter/submillimeter Array (ALMA) til að rannsaka dreifingu gass og ryks í fjölstirnakerfi sem kallast GG Tau-A [1].
This object is only a few million years old and lies about 450 light-years from Earth in the constellation of Taurus (The Bull).	Þetta kerfi er aðeins nokkurra milljóna ára gamalt og í um 450 ljósára fjarlægð frá Jörðinni í stjörnumerkinu Nautinu.
Like a wheel in a wheel, GG Tau-A contains a large, outer disc encircling the entire system as well as an inner disc around the main central star.	GG Tau-A er á margan hátt eins og skífa innan í skífu.
This second inner disc has a mass roughly equivalent to that of Jupiter.	Stór ytri efnisskífa umlykur kerfið allt en í kringum aðalstjörnuna í miðjunni er önnur innri skífa sem er álíka efnismikil og Júpíter.
Its presence has been an intriguing mystery for astronomers since it is losing material to its central star at a rate that should have depleted it long ago.	Tilvist innri skífunnar hefur valdið stjörnufræðingum nokkrum heilabrotum því efni streymir úr henni í stjörnuna í miðjunni með slíkum krafti að hún ætti að hafa eyðst fyrir löngu.
While observing these structures with ALMA, the team made the exciting discovery of gas clumps in the region between the two discs.	Þegar stjörnufræðingarnir rannsökuðu skífurnar með ALMA uppgötvuðu þeir forvitnilega gas- og rykkekki milli efnisskífanna.
The new observations suggest that material is being transferred from the outer to the inner disc, creating a sustaining lifeline between the two [2].	Mælingarnar benda til þess að efni flytjist úr ytri skífunni yfir í þá innri og myndar nokkurs konar líflínu sem viðheldur innri skífunni [2].
“Material flowing through the cavity was predicted by computer simulations but has not been imaged before.	„Tölvulíkön spáðu fyrir um tilvist efnisins sem streymir milli skífanna en ekki hafði tekist að ná mynd af því.
Detecting these clumps indicates that material is moving between the discs, allowing one to feed off the other,” explains Dutrey.	Kekkirnir benda til að efni sé að færast á milli skífanna, svo önnur skífan nærist á hinni,“ segir Dutrey.
“These observations demonstrate that material from the outer disc can sustain the inner disc for a long time.	„Athuganirnar sýna að efnið úr ytri skífunni getur viðhaldið innri skífunni í langan tíma.
This has major consequences for potential planet formation.”	Þetta hefur nokkrar mikilvægar afleiðingar í för með sér fyrir hugsanlega myndun reikistjarna.“
Planets are born from the material left over from star birth.	Reikistjörnur verða til úr afgangsefninu eftir myndun stjarna.
This is a slow process, meaning that an enduring disc is a prerequisite for planet formation.	Ferlið er hægt svo varanleg efnisksífa er forsenda fyrir myndun reikistjarna.
If the feeding process into the inner disc now seen with ALMA occurs in other multiple-star systems the findings introduce a vast number of new potential locations to find exoplanets in the future.	Ef sama flæðiferli í innri efnisskífu og ALMA fann í þessu tilviki á sér stað í öðrum fjölstirnakerfum, bendir það til þess að mögulegt sé að finna mun fleiri fjarreikistjörnur í framtíðinni.
The first phase of exoplanet searches was directed at single-host stars like the Sun [3].	Í fyrstu var leitinni að fjarreikistjörnum beint að stökum stjörnum eins og sólinni [3].
More recently it has been shown that a large fraction of giant planets orbit binary-star systems.	Stutt er síðan sýnt var fram á að stór hluti risareikistjarna eru á braut um tvístirni.
Now, researchers have begun to take an even closer look and investigate the possibility of planets orbiting the individual stars of multiple-star systems.	Nú eru vísindamenn byrjaðir að skoða betur og kanna möguleikann á reikistjörnum í fjölstirnakerfum.
The new discovery supports the possible existence of such planets, giving exoplanet discoverers new happy hunting grounds. Emmanuel Di Folco, co-author of the paper, concludes:	Þessi nýja uppgötvun ALMA rennir stoðum undir að slíkar reikistjörnur séu til og færir stjarnvísindamönnum nýja og spennandi leitarstaði.
“Almost half the Sun-like stars were born in binary systems.	„Næstum helmingur stjarna á borð við sólina okkar eru í tvístirnakerfum.
This means that we have found a mechanism to sustain planet formation that applies to a significant number of stars in the Milky Way.	Þessi nýja uppgötvun sýnir að við höfum fundið ferli sem gæti viðhaldið myndun reikistjarna í kringum aragrúa stjarna í Vetrarbrautinni okkar.
Our observations are a big step forward in truly understanding planet formation.”	Mælingar okkar marka stórt skref fram á við í skilningi okkar á myndun reikistjarna,“ segir Emmanuel Di Folco, meðhöfundur greinarinnar um uppgötvunina.
Notes	Skýringar
[1] GG Tau-A is part of a more complex multiple-star system called GG Tauri.	[1] GG Tau-A er hluti af flóknu fjölstirnakerfi sem kallast GG Tauri.
Recent observations of GG Tau-A using the VLTI have revealed that one of the stars - GG Tau Ab, the one not surrounded by a disc - is itself a close binary, consisting of GG Tau-Ab1 and GG Tau-Ab2.	Nýlegar athuganir VLTI á GG Tau-A hafa leitt í ljós að ein stjarnan - GG Tau Ab, sú sem ekk er umvafin skífu - er sjálf þétt tvístirni sem samanstendur af GG Tau-Ab1 og GG-Tau Ab2.
This introduced a fifth component to the GG Tau system.	Þar með eru fimm stjörnur í GG Tau kerfinu.
[2] An earlier result with ALMA showed an example of a single star with material flowing inwards from the outer part of its disc.	[2] Önnur uppgötvun ALMA er dæmi um staka stjörnu þar sem efni flæðir inn á við úr ytri efnisskífu.
[3] Because orbits in binary stars are more complex and less stable, it was believed that forming planets in these systems would be more challenging than around single stars.	[3] Sporbrautir í tvístirnakerfum eru flóknar og ekki eins stöðugar. Því var lengi talið að erfiðara væri fyrir reikistjörnur að myndast í slíkum kerfum, fremur en í kringum stakar stjörnur.
VLTI Detects Exozodiacal Light	VLTI sér sverðbjarma í öðrum sólkerfum
New challenge for direct imaging of exo-Earths	Steinn í götu ljósmyndunar á öðrum jörðum
By using the full power of the Very Large Telescope Interferometer an international team of astronomers has discovered exozodiacal light close to the habitable zones around nine nearby stars.	Með því að nota víxlmælinn Very Large Telescope Interferometer hefur alþjóðlegur hópur stjarnvísindamanna uppgötvað sverðbjarma nálægt lífbeltum níu nálægra stjarna.
This light is starlight reflected from dust created as the result of collisions between asteroids, and the evaporation of comets.	Sverðbjarmi er ljós frá stjörnu sem endurvarpast af ryki sem myndast við árekstra smástirna og uppgufun halastjarna í sólkerfi.
The presence of such large amounts of dust in the inner regions around some stars may pose an obstacle to the direct imaging of Earth-like planets in the future.	Tilurð svo mikils ryks á innstu svæðunum í kringum sumar stjörnur gæti komið í veg fyrir að ljósmyndir næðust af reikistjörnum á borð við Jörðina í náinni framtíð.
Using the Very Large Telescope Interferometer (VLTI) in near-infrared light [1], the team of astronomers observed 92 nearby stars to probe exozodiacal light from hot dust close to their habitable zones and combined the new data with earlier observations [2].	Alþjóðlegur hópur stjarnvísindamanna gerði nýverið nær-innrauðar mælingar með Very Large Telescope Interferometer (VLTI) [1] og blandaði þeim saman við eldri mælingar [2] á 92 nálægum stjörnum í leit að sverðbjarma í öðrum sólkerfum.
Bright exozodiacal light, created by the glowing grains of hot exozodiacal dust, or the reflection of starlight off these grains, was observed around nine of the targeted stars.	Bjartur sverðbjarmi, sem stafar af glóandi heitum rykögnum eða endurvarpi ljóss af köldum rykögnum, fannst umhverfis níu stjörnur.
From dark clear sites on Earth, zodiacal light looks like a faint diffuse white glow seen in the night sky after the end of twilight, or before dawn.	Frá dimmum stöðum á Jörðinni birtist sverðbjarmi sem daufur og útbreiddur ljósbjarmi á næturhimninum skömmu eftir sólsetur eða rétt fyrir birtingu.
It is created by sunlight reflected off tiny particles and appears to extend up from the vicinity of the Sun.	Bjarminn verður til þegar sólarljós endurvarpast af örlitlum ís- og rykögnum sem virðast liggja í grennd við sólina.
This reflected light is not just observed from Earth but can be observed from everywhere in the Solar System.	Bjarminn sést ekki aðeins frá Jörðinni, heldur alls staðar í sólkerfinu.
The glow being observed in this new study is a much more extreme version of the same phenomenon.	Bjarminn sem kannaður var í þessari rannsókn var mun stærri útgáfa af sama fyrirbæri.
While this exozodiacal light - zodiacal light around other star systems - had been previously detected, this is the first large systematic study of this phenomenon around nearby stars.	Þótt sverðbjarmar í öðrum sólkerfum hafi sést áður var þetta í fyrsta sinn sem stór kerfisbundin rannsókn var gerð á þessu fyrirbæri í kringum nálægar stjörnur.
In contrast to earlier observations the team did not observe dust that will later form into planets, but dust created in collisions between small planets of a few kilometres in size - objects called planetesimals that are similar to the asteroids and comets of the Solar System.	Öfugt við eldri athuganir rannsökuðu stjörnufræðingarnir í þessu tilviki ekki ryk sem síðar verður að reikistjörnum, heldur ryk sem til verður við árekstra lítilla hnatta sem eru nokkrir kílómetrar að stærð - hnetti sem kallaðir eru reikistirni og líkjast smástirnum og halastjörnum í sólkerfinu okkar.
Dust of this kind is also the origin of the zodiacal light in the Solar System.	Ryk af þessu tagi er einnig uppruni sverðbjarmans í sólkerfinu okkar.
“If we want to study the evolution of Earth-like planets close to the habitable zone, we need to observe the zodiacal dust in this region around other stars,” said Steve Ertel, lead author of the paper, from ESO and the University of Grenoble in France.	„Viljum við rannsaka þróun reikistjarna á borð við Jörðina okkar við lífbelti annarra stjarna, þurfum við einnig að rannsaka sverðbjarma á svipuðum slóðum umhverfis aðrar stjörnur,“ sagði Steve Ertel hjá ESO og Grenobleháskóla í Frakklandi, aðalhöfundur greinar um rannsóknina.
“Detecting and characterising this kind of dust around other stars is a way to study the architecture and evolution of planetary systems.”	„Að nema og rannsaka þetta ryk við aðrar stjörnur er ein leið til að kanna uppbyggingu og þróun sólkerfa.“.
Detecting faint dust close to the dazzling central star requires high resolution observations with high contrast.	Mælingar á daufu ryki í kringum bjarta stjörnur þurfa bæði háa upplausn og mikla skerpu.
Interferometry - combining light collected at the exact same time at several different telescopes - performed in infrared light is, so far, the only technique that allows this kind of system to be discovered and studied.	Enn sem komið er eru víxlmælingar - sú aðferð að skeyta saman ljósinu sem nokkrir sjónaukar safna saman samtímis - í innrauðu ljósi eina tæknin sem gerir okkur klefit að rannsaka þetta ryk í öðrum sólkerfum.
By using the power of the VLTI and pushing the instrument to its limits in terms of accuracy and efficiency, the team was able to reach a performance level about ten times better than other available instruments in the world.	Stjörnufræðingarnir nýttu sér afköst, næmni og greinigæði VLTI til hins ýtrasta og náði tíu sinnum betri mælingum en hægt yrði að gera með öðrum sjónaukum í heiminum.
For each of the stars the team used the 1.8-metre Auxiliary Telescopes to feed light to the VLTI.	Fyrir hverja stjörnu sem könnuð var notaði hópurinn 1,8 metra hjálparsjónaukana til að beina ljósinu inn í VLTI.
Where strong exozodiacal light was present they were able to fully resolve the extended discs of dust, and separate their faint glow from the dominant light of the star [3].	Þar sem sverðbjarminn var nógu bjartur, gátu stjörnufræðingarnir greint að fullu bjarmann frá rykinu og skilið hann í sundur frá skærri stjörnunni [3].
By analysing the properties of the stars surrounded by a disc of exozodiacal dust, the team found that most of the dust was detected around older stars.	Stjörnufræðingarnir rannsökuðu eiginleika stjarnanna sem sveipaðar voru sverðbjarmaryki og komust að því að mestur hluti ryksins var í kringum eldri stjörnur.
This result was very surprising and raises some questions for our understanding of planetary systems.	Þessar niðurstöður koma mjög á óvart og vekja nokkrar spurningar um skilning okkar á sólkerfum.
Any known dust production caused by collisions of planetesimals should diminish over time, as the number of planetesimals is reduced as they are destroyed.	Draga ætti úr rykmyndun af völdum árekstra reikistirna með tímanum, því fjöldi fer minnkandi samhliða eyðingu þeirra.
The sample of observed objects also included 14 stars for which the detection of exoplanets has been reported.	Í rannsókninni voru einnig skoðaðar 14 stjörnur sem vitað var að hefðu fjarreikistjörnur.
All of these planets are in the same region of the system as the dust in the systems showing exozodiacal light.	Allar reikistjörnurnar eru á sama svæði í sólkerfinu sínu og rykið í sólkerfum með sverðbjarma.
The presence of exozodiacal light in systems with planets may create a problem for further astronomical studies of exoplanets.	Sverðbjarmi í öðrum sólkerfum gæti því orðið vandamál þegar kemur að leit að fjarreikistjörnum í framtíðinni.
Exozodiacal dust emission, even at low levels, makes it significantly harder to detect Earth-like planets with direct imaging.	Þótt birtan frá sverðbjarma sé alla jafna fremur lítil, gerir tilvist hennar mun erfiðara að taka myndir af reikistjörnum á borð við Jörðina í öðrum sólkerfum.
The exozodiacal light detected in this survey is a factor of 1000 times brighter than the zodiacal light seen around the Sun.	Sverðbjarmarnir sem fundust í þessari rannsókn eru 1000 sinnum bjartari en sverðbjarminn í sólkerfinu okkar.
The number of stars containing zodiacal light at the level of the Solar System is most likely much higher than the numbers found in the survey.	Líklega eru mun fleiri stjörnur með álíka bjartan sverðbjarma og sólkerfið okkar en fundust í þessari rannsókn.
These observations are therefore only a first step towards more detailed studies of exozodiacal light.	Mælingarnar eru því aðeins fyrsta skrefið í átt að ítarlegri rannsóknum á sverðbjarma.
“The high detection rate found at this bright level suggests that there must be a significant number of systems containing fainter dust, undetectable in our survey, but still much brighter than the Solar Systems zodiacal dust,” explains Olivier Absil, co-author of the paper, from the University of Liège.	„Það hve við fundum marga bjarta sverðbjarma bendir til þess að það hljóti að vera til umtalsverður fjöldi sólkerfa með daufari bjarma sem við gátum ekki mælt í rannsókninni okkar, en eru samt mun bjartari en sverðbjarminn í sólkerfinu okkar,“ sagði Olivier Absil við Liègeháskóla meðhöfundur greinarinnar.
“The presence of such dust in so many systems could therefore become an obstacle for future observations, which aim to make direct images of Earth-like exoplanets.”	„Tilvist slíks ryks í svo mörgum sólkerfum gæti þar af leiðandi lagt stein í götu þess að taka myndir af fjarreikistjörnum á borð við Jörðina okkar í framtíðinni.“
Notes	Skýringar
[1] The team used the VLTI visitor instrument PIONIER, which is able to interferometrically connect all four Auxiliary Telescopes or all four Unit Telescopes of the VLT at the Paranal Observatory.	[1] Stjörnufræðingarnir notuðu mælitæki á VLTI sem kallast PIONIER en það getur tengt saman alla hjálparsjónaukana fjóra eða alla fjóra VLT sjónaukana í Paranal stjörnustöðinni.
This led to not only extremely high resolution of the targets but also allowed for a high observing efficiency.	Fyrir vikið voru mælingarnar ekki aðeins í gríðarmikilli upplausn, heldur urðu afköstin betri.
