No more murders!	Ekki fleiri morð!
History prefers legends to men.	Fyrsta Mósebók 17: 5 Sagan tekur goðsagnir fram yfir menn.
It prefers nobility to brutality.	Hún tekur göfuglyndi fram yfir grimmd.
Soaring speeches to quiet deeds.	Háværar ræður fram yfir verk í kyrrþey.
History remembers the battle and forgets the blood.	Sagan minnist bardagans en gleymir blóðinu.
Whatever history remembers of me, if it remembers anything at all... it shall only be a fraction of the truth.	Hvernig sem sagan mun minnast mín ef hún minnist mín yfirleitt, verður sú minning aðeins brot af sannleikanum.
For whatever else I am, a husband, a lawyer... a president... I shall always think of myself as a man who struggled against darkness.	Því hvað sem ég er, eiginmaður, lögmaður... forseti, þá mun ég alltaf telja mig mann sem barðist gegn myrkrinu.
I leave in your trusted hands, my dear friend Henry... this record that begins when I was just a boy.	Ég fel í þínar tryggu hendur, Henry minn kæri vinur, þessa frásögn sem hefst þegar ég var ungur drengur.
Get on down there.	Í bátinn með þig.
Hurry it up!	Fljótur!
Please, sir, no.	Gerðu þetta ekki.
There's been some kind of mistake.	Það hafa orðið mistök.
I ain't no slave.	Ég er ekki þræll.
Let them go!	Slepptu þeim!
Will! Quiet!	Þegiðu!
He's my friend!	Hann er vinur minn!
Look away, Abraham.	Líttu undan, Abraham.
It's not our place.	Þetta kemur okkur ekki við.
Look away.	Líttu undan.
Abraham!	Abraham!
Thomas, help them!	Thomas, hjálpaðu þeim!
Leave him alone!	Láttu þá vera!
Are you all right?	Ertu ómeiddur?
Did you strike my friend here?	Slóstu vin minn hér?
He was beating my son!	Hann barði son minn!
Did you strike him, Lincoln?	Slóstu hann, Lincoln?
They're not slaves, and you know it.	Þú veist að þeir eru ekki þrælar.
I suggest you get back to your work before you find yourself led away in chains.	Þú ættir að fara aftur að vinna svo þú endir ekki í hlekkjum.
Until every man is free, we are all slaves.	Þar til allir menn eru frjálsir erum við öll þrælar.
Very well, then.	Gott og vel.
Since you're all so concerned with freedom... you may consider yourself free from the burden of my employ.	Fyrst ykkur er svona umhugað um frelsið eruð þið hér með frjáls undan okinu af störfunum hjá mér.
And the debt you've been working off... I 'd like it paid in full with interest. Now, please.	Og skuldina sem þið vinnið af ykkur vil ég fá greidda að fullu með vöxtum.
If you get one more penny from me, Mr. Barts... it will come with a fist wrapped around it.	Ef þú færð annan eyri frá mér, herra Barts verður hann umvafinn krepptum hnefa.
All right, Mr. Lincoln.	Gott og vel, herra Lincoln.
There are other ways to collect a debt. No!	Það finnast aðrar leiðir til að innheimta skuldir.
What's happening to her, Father?	Hvað er að henni, faðir?
Please help her! Please, I beg of you.	Hjálpaðu henni, ég grátbið þig.
You've got to do something, Father.	Þú verður að gera eitthvað.
Easy, child.	Róleg, barn.
I've never seen anything like this.	Ég hef aldrei séð neitt þessu líkt.
Strange.	Undarlegt.
You promise me.	Þú gafst mér loforð.
Let's step outside.	Við skulum fara fram.
I'm sorry, I don't know what ails her.	Ég veit ekki hvað hrjáir hana.
Abraham.	Abraham.
Come and lie next to me.	Komdu og leggstu hérna.
Days are swift as an Indian arrow... "Flying like a shooting star. "The present day is here... "And then slides away in haste... "That we can never say is ours... "But only say... "Is passed."	Ég hef skrifað, mamma., Dagarnir fljúga hjá eins og ör úr boga indíána sem þýtur eins og stjörnuhrap. ", Nútíðin er hér og hverfur svo í hasti á braut sem við getum aldrei eignað okkur en aðeins sagt... að sé liðin hjá."
Mother? Mother?	Móðir mín?
Mama once told me that I hadn't cried when I was born.	Mamma sagði mér að ég hefði ekki grátið þegar ég fæddist.
That I 'd simply opened my eyes... looked at her smiling face... and smiled back.	Ég opnaði bara augun, sá brosandi andlit hennar og brosti á móti.
My light was gone.	Ljósið mitt var horfið.
I don't know how he did it...	Ég veit ekki hvernig hann gerði það...
Abraham... you promise me...	Lofaðu mér...
You promise me you won't go and do anything foolish.	Lofaðu að fremja engin heimskupör.
Nine years later, my father joined her in death.	Níu árum síðar fór faðir minn til hennar.
No longer bound by my promise... I tried to fortify the nerve to pursue my vengeance.	Ég var ekki lengur bundinn af loforði mínu og reyndi að safna kjarki til að koma fram hefndum.
Haven't you had enough?	Ertu ekki búinn að drekka nóg?
A boy only gets this drunk when he wants to kiss a girl... or kill a man.	Svona ölvaðir verða piltar bara þegar þá langar að kyssa stúlku eða drepa mann.
Adam, let me explain.	Má ég útskýra það, Adam.
Last one, Barts.	Í síðasta sinn, Barts.
I'm not coming up here to clean up your messes anymore. Yes, sir.	Ég kem ekki oftar hingað til að bjarga þér úr klandri.
I promise.	Ég lofa að þú þarft þess ekki.
Every so often, I think about what it would be like to be in the South.	Stundum hugsa ég um hvernig það væri að vera fyrir sunnan.
Yes, sir.	Hvar er Henry?
We've been looking all over, sir.	Við höfum leitað um allt.
Searching high and low.	Við höfum leitað hátt og lágt.
Low is more likely.	Lágt er vænlegra.
Just find him, Barts.	Finndu hann, Barts.
Oh, and send a fresh crop south.	Og sendu ferskt blóð suður.
We have a lot of mouths to feed.	Við þurfum að fæða marga munna.
Yes, sir."	Já, herra.
Yes, sir, no, sir.	J BARTS FLUTNINGAR, Já, herra, nei, herra.
High, sir, low, sir."	Hátt og lágt, herra."
For my mother.	Fyrir móður mína.
Don't much like chasing chickens.	Ég nenni ekki að eltast við skræfur.
Little boy, all grown up.	Lilti strákurinn orðinn að manni.
Come to avenge his dear momma.	Kominn að hefna elsku mömmu.
There are two kinds of men, Mr. Lincoln.	Það eru tvær gerðir af mönnum, herra Lincoln.
Those that have the guts to pull the trigger... and those who do not.	Þeir sem þora að taka í gikkinn og þeir sem þora því ekki.
Powder, patch, ball.	Púður, klútur, kúla.
Don't mess it up.	Ekki klúðra því.
You weren't asleep that night.	Þú varst ekki sofandi um nóttina.
Were you?	Er það?
You dropped the ball, Mr. Lincoln.	Þú misstir kúluna.
Your mama's blood was sickening sweet.	Blóðið hennar mömmu þinnar var sjúklega sætt.
I hope yours tastes better!	Vonandi bragðast þitt betur.
Might I suggest that we begin by closing the door?	Má ég leggja til að við byrjum á... að loka dyrunum?
Yeah, I'm sorry.	Já, fyrirgefðu.
I didn't see anything!	Ég sá ekki neitt!
Should we dive right in?	Eigum við að vinda okkur í það?
Or are you finding Gabrielle's egress too distracting?	Eða truflar útganga Gabrielle þig?
I'm sorry, sir, but who are you?	Fyrirgefðu, hver ert þú?
Who I am is Henry Sturges.	Ég er Henry Sturges.
And where you are is my home.	Þú ert heima hjá mér.
And what happened...	Og það sem gerðist...
I saved your life... during your rather pathetic attempt at taking another's.	Ég bjargaði lífi þínu þegar þú gerðir auma tilraun til að fremja morð.
What were you doing there, and... how did you know I would try to kill Barts?	Hvað varstu að gera þar? Og hvernig vissirðu að ég myndi reyna að myrða Barts?
How?	Hvernig?
He's not a promising recruit."	Hann er ekki vænlegur liðsmaður.
He is just a selfish boy with his heart set on vengeance."	Hann er bara eigingjarn drengur í hefndarhug."
And I realized, "This boy is a goddamned idiot!"	Og mér varð ljóst að drengurinn var hálfviti!
"I doubt he even knew his target was a vampire."	SÓLARVÖRN Ég efaði að hann vissi að markið hans væri blóðsuga.
A vampire?	Blóðsuga?
Yes.	Já.
Immortal, blood-sucking demons.	Ódauðlegir, blóðsjúgandi djöflar.
Fortunately for you, Mr. Lincoln... hunting them is something of a hobby.	En þú ert svo heppinn að veiðar á þeim er eins konar dægradvöl.
But vampires are just myths.	En blóðsugur eru bara goðsögn.
Myths don't beat you senseless after you've put a bullet in their brain.	Goðsögn rotar þig ekki eftir að þú sendir kúlu í hausinn á henni.
Thank you.	Takk fyrir.
No, Mr. Lincoln, vampires are real.	Nei, blóðsugur eru raunverulegar.
They exist in every city and every state... in the Union.	Þær er að finna í hverri borg og hverju fylki Bandaríkjanna.
If what you say is true, you could help me kill him.	Ef þetta er satt geturðu hjálpað mér að drepa hann.
I could pay you to kill him!	Ég gæti borgað þér fyrir það.
My services are not for sale.	Ég falbýð ekki þjónustu mína.
And the word you are looking for is "Destroy."	Og það kallast að, tortíma ".
It is quite a feat to kill that which is already dead.	Það er erfitt að drepa það sem þegar er dautt.
But you don't understand.	Þú skilur þetta ekki.
My mother was murdered.	Móðir mín var myrt.
And if I teach you how to murder her murderer... so what?	Og ef ég kenni þér að myrða morðingjann hvað þá?
How will that honor her memory?	Hvernig heiðrar það minningu hennar?
How will that benefit the next boy whose mother is taken?	Hvernig kemur það til góða næsta dreng sem lendir í því sama?
If vengeance is all you seek... seek it elsewhere.	Ef þú leitar bara hefnda leitaðu þá annars staðar.
Teach me to fight as you do.	Kenndu mér að berjast eins og þú.
Please, I'll do anything you say.	Ég skal gera hvað sem er.
You promise to cast aside all notions of vengeance... and commit to the life of a hunter?	Lofarðu að gleyma allri hefnd og helga þig lífi veiðimannsins?
You will have no friends... no family.	Þú munt ekki eiga neina vini, enga fjölskyldu.
I told him what he wanted to hear... but all I cared about was killing the monster that took my mother.	Ég sagði það sem hann vildi heyra en ég hugsaði bara um að drepa óvættinn sem tók móður mína.
I'm in.	Til er ég.
Scottish Highland pistol.	Byssa frá skosku hálöndunum.
And if one barrel isn't enough... seven should do you.	Og ef eitt hlaup nægir ekki ættu sjö að duga þér.
I would like you to chop this tree down with a single swing.	Ég vil sjá þig höggva þetta tré með einu höggi.
That tree?	Þetta tré?
It's got to be more than a foot across.	Það er 30 sentímetra breitt.
That's impossible.	Það er ekki hægt.
But it isn't a tree. It's what you hate most in the world.	En það er ekki tré heldur það sem þú hatar mest af öllu.
So, tell me, Mr. Lincoln... what do you hate?	Segðu mér, herra Lincoln, hvað hatarðu?
I hate Jack Barts.	Ég hata Jack Barts.
Then strike him down.	Höggðu hann þá.
Well, clearly you don't hate him that much.	Þú hatar hann greinilega ekki mjög mikið.
Tell me what you hate.	Segðu mér hvað þú þolir ekki.
I hate that my mother was taken away.	Að móðir mín var tekin frá mér.
Inadequate.	Ekki nóg.
I hate that we were afraid.	Ég þoli ekki að við séum hrædd.
And?	Og?
That my mother and father, everyone that we knew lived in fear.	Að foreldrar mínir og allir sem við þekktum lifðu í ótta.
Too weak.	Of aumur.
Yes.	Já.
And that you failed to protect her.	Og að þér tókst ekki að vernda hana.
Yes!	Já!
And that you let her die.	Og að þú lést hana deyja.
Power, Lincoln... real power... comes not from hate, but from truth.	Kraftur, raunverulegur kraftur á ekki upptök sín í hatri heldur sannleikanum.
Before you protect others from darkness... you must first be able to protect yourself.	Til að vernda aðra frá myrkri verðurðu að geta varið sjálfan þig.
Your enemies have the power to render themselves invisible.	Óvinir þínir geta gert sig ósýnilega.
You must have the ability to fight blind.	Þú verður að geta barist blindandi.
To see, without seeing.	Að sjá án þess að horfa.
Again.	Aftur.
In the weeks that followed... Henry endeavored to impart a lifetime of vampire-hunting secrets.	Næstu vikurnar deildi Henry með mér öllum sínum leyndarmálum um blóðsuguveiðar.
Their ability to adapt to sunlight.	Hæfileika þeirra til að laga sig að sólskini.
Their power to render themselves invisible.	Að gera sig ósýnilegar.
But most of all, he taught me how to destroy them.	En aðallega kenndi hann mér að tortíma þeim.
When Judas betrayed Jesus... his reward was 30 pieces of silver.	Þegar Júdas sveik Jesú fékk hann 30 silfurpeninga að launum.
At that moment, those pieces became a symbol of betraying God.	Við það urðu þessir silfurpeningar tákn um svik við Drottin.
Of evil.	Tákn um illsku.
And silver became a curse... upon the cursed.	Og silfur varð bölvun fyrir hina bölvuðu.
You will never see a vampire with silver on his person.	Þú hittir aldrei blóðsugu sem ber silfur á sér.
Nor see them reflected in mirrors.	Eða sérð mynd þeirra í spegli.
The one thing God placed beyond the reach of a vampire.	Guð svipti blóðsugurnar spegilmyndinni.
The one thing he can never possess. Barts...	Hana geta þær aldrei fengið. Barts...
And the only thing that renders him powerless.	Og hún er það eina sem gerir þær hjálparvana.
Henry, Jack Barts!	Henry, Jack Barts.
I give you the targets.	Ég læt þig fá skotmörkin.
That was our deal.	Við sömdum um það.
This is not only about Jack Barts.	Þetta varðar ekki eingöngu Jack Barts.
Vadoma, a ruthless enforcer.	Vadoma bruggar grimmileg ráð.
And her brother.	Og bróðir hennar líka.
I've seen him before.	Ég hef séð hann áður.
I saw him with Jack Barts.	Ég sá hann með Jack Barts.
They call him Adam.	Þau kalla hann Adam.
He, from whom all others are made.	Þann sem allir hinir voru getnir af.
Vampires have been in the New World for centuries.	Blóðsugur hafa verið í Nýja heiminum öldum saman.
Slaughtering native tribes and early settlers.	Þær slátruðu innfæddum og fyrstu landnemunum.
But when the Europeans arrived with their slaves... the dead saw a sinister opportunity.	En þegar Evrópubúar komu með þræla sína sáu hinir dauðu ljótan leik á borði.
What we do, we do not for one man... but for the good of all mankind.	Við vinnum ekki okkar starf fyrir einn mann heldur mannkynið allt.
Henry sent me off into the world with a reminder.	Henry sendi mig á braut með áminningu.
No attachments.	Engin bönd.
No distractions.	Engar truflanir.
No friends or family.	Engir vinir eða fjölskylda.
Besides, who could I trust?	Og hverjum gat ég svo sem treyst.
Anyone in this well-mannered city might very well be one of them.	Hver sem er í þessari siðprúðu borg gæti verið einn af þeim.
Son of a bitch!	Tíkarsonurinn þinn!
I ever see you here again, I will have your balls as a coin purse!	Ef þú lætur sjá þig hér aftur hef ég punginn á þér fyrir pyngju!
Good afternoon, sir.	Komdu sæll.
Joshua Speed at your service.	Joshua Speed, get ég aðstoðað?
Abraham... Lincoln.	Abraham Lincoln.
I need a bit of help. All right.	Mig vantar svolitla hjálp.
Well, a friend in need, is a friend of Speed.	Vinur í þörf má treysta á mín störf.
What can I get for you?	Hvað get ég útvegað þér?
I don't suppose you know of any rooms for rent, Mr. Speed?	Veistu nokkuð um herbergi til leigu?
What sort of room are you looking for, Mr. Lincoln?	Hvers konar herbergi vantar þig? Ódýrt herbergi.
I don't think you'll find such a room in Springfield.	Ég efa að þú finnir slíkt herbergi hér í Springfield.
People here are strangely accustomed to being compensated.	Fólk hefur þann undarlega sið að vilja fá greitt.
Good day.	Vertu sæll.
There is one room, Mr. Lincoln.	Það er að vísu eitt herbergi.
I was recently forced to part ways with a thieving prick of an associate... and am, therefore, in need of a replacement.	Ég þurfti nýlega að slíta samstarfi við mann sem reyndist vera þjófur. Og vantar því mann í hans stað.
There's a room upstairs.	Það er herbergi uppi.
It isn't much, but I suppose it could be had on credit... if the tenant were willing to work here in return.	Það er enginn munaður en það mætti víst fá það upp á krít ef leigjandinn vildi vinna hér í staðinn.
Dear Henry... life in Springfield is less than desirous.	Kæri Henry. Lífið hér í Springfield er ekki mjög ánægjulegt.
Fear not.	Hafðu engar áhyggjur.
My pittance of a salary doesn't allow me to deviate from your rules...	Hýran mín leyfir ekki að ég víki frá reglum þínum.
No friends, no family.	Engir vinir, engin fjölskylda.
And certainly, no woman would find me, and my existence, enticing.	Og það er útilokað að nokkurri konu geti fundist tilvera mín aðlaðandi.
Excuse me.	Afsakið.
Excuse me, I'll be needing these.	Mig vantar þetta sem er á listanum.
Just one second, ma 'am.	Augnablik, fröken.
Well, you needn't call me ma 'am, as if I'm some haggard spinster...	Þú þarft ekki að ávarpa mig eins og ég sé gömul piparjónka.
I'm sorry, ma 'am.	Fyrirgefðu, fröken.
Madam... I mean, miss.	Ég meina, ungfrú.
I'm Abraham... Lincoln.	Ég heiti Abraham Lincoln.
Mary Todd.	Mary Todd.
Darling. There you are.	Elskan mín. Þarna ertu.
Well, perhaps if you didn't stop to jaw with every gentleman in Springfield...	Ef þú stansaðir ekki til að spjalla við alla herramenn...
I could say the same for you.	Sama gæti ég sagt um þig.
Stephen Douglas. How do you do?	Stephen Douglas, komdu sæll.
Abraham...	Abraham Lincoln.
Lincoln. Are you a voting man, Mr. Lincoln? I...	Fylgistu með pólitík?
How do you feel about keeping slavery out of Illinois?	Hvað finnst þér um að afnema þrælahald í Illinois?
I'm running for the legislature.	Ég er í framboði til löggjafarþings.
I'm sure he 'd love to hear your campaign speech... but Mr. Lincoln was just about to attend to my list.	Hann langar örugglega að heyra framboðsræðuna en Lincoln ætlaði að afgreiða listann minn.
We were talking, dear.	Við erum að tala, vina.
Slavery, it's a complicated issue.	Þrælahald er flókið mál.
I couldn't disagree with you more, Mr. Douglas. Mr. Douglas, Miss Todd.	Ég er innilega ósammála, herra Douglas.
You have met my new associate, Abraham.	Ég sé að þið hafið hitt nýja samstarfsmanninn minn.
A letter came for you.	Það kom bréf til þín.
Dear Abe.	Kæri Abe.
Your prescription awaits you at the local pharmacy.	Lyfseðillinn þinn er tilbúinn í lyfjaverslun bæjarins.
Ask for Aaron Stibel, Junior.	Spurðu eftir Aaron Stibel yngri.
Mr. Lincoln?	Herra Lincoln?
I'm so sorry.	Fyrirgefðu.
Good day of work, Abraham.	Þú stóðst þig vel í dag.
Thank you.	Þakka þér fyrir.
But don't forget... always have a contingency plan.	En gleymdu ekki að hafa ávallt varaáætlun.
Aaron Stibel Junior?	SÓLARVARNARSMYRSL TIL AĐ GRÆĐA SÓLBRUNA Aaron Stibel yngri?
Yes?	Já?
That's it.	Svona já.
Oh, that's tight.	Nú er þetta þétt.
Don't worry. It will only hurt for a second or two.	Rólegur, það er bara sárt í eina eða tvær sekúndur.
Did you eat today?	Hefurðu borðað í dag?
I had killed a monster.	Ég hafði drepið óvætt.
And I would kill again.	Og ég mundi drepa aftur.
But no amount of death could make me forget.	En engin dráp gætu hjálpað mér að gleyma.
Merciful Christ, Lincoln, what happened to your face?	Guð á himnum, hvað kom fyrir andlitið á þér?
Don't worry, I'll still be able to work.	Engar áhyggjur, ég get samt unnið.
Work?	Unnið?
To hell with work.	Fjandinn hafi vinnuna.
We got invited to a ball.	Okkur er boðið á dansleik.
It could be your chance to save Mary Todd from a life of boredom.	Þú gætir fengið tækifæri til að bjarga Mary Todd frá eilífum leiðindum.
This suit makes me look ridiculous.	Ég er fáránlegur í þessum fötum.
Nonsense.	Vitleysa.
But that hat makes you look ridiculous.	En þetta gerir þig fáránlegan.
Come on.	Komdu nú.
Come on, come on. Look, there she is.	Sjáðu, þarna er hún.
Pleasure to see you.	Gaman að sjá þig.
Mary, you look lovely.	Mary, þú ert falleg í kvöld.
He's still missing.	Hann er enn ófundinn.
Who's that?	Hver er þetta?
Aaron Stibel.	Aaron Stibel. Yngri eða eldri?
Junior or Senior?	Yngri.
Who is that man?	Hvaða maður er þetta?
I don't know.	Ég veit það ekki.
Mr. Douglas, you know Senator Nolan, of course.	Herra Douglas, þú þekkir víst Nolan þingmann.
Yes, Stephen.	Já, Stephen.
Good to see you.	Gaman að sjá þig.
Have you heard this news?	Hefurðu heyrt fréttina?
Yes, we're looking into it.	Já, við erum að skoða málið.
Rest assured, this kind of lawlessness... won't stand in the noble state of Illinois.	Þú mátt treysta því að svona lögleysa verður ekki liðin í því góða Illinois.
It's called a dance.	Það kallast dansleikur.
If we were meant to sit alone, they would've called it something else.	Ef við ættum að sitja ein myndi það kallast annað.
Yes, I suppose they would have.	Já, ég býst við því.
Come, Mr. Lincoln.	Komdu, herra Lincoln.
You'll ruin the upholstery if you sit there any longer.	Þú eyðileggur áklæðið ef þú situr svona lengi.
I came to Springfield looking for someone different.	Ég kom til Springfield í leit að ólíkum manni.
Someone whose life was a bit more adventurous, and well...	Manni sem lifði dálítið ævintýralegra lífi og...
My apologies, I'm never this...	Fyrirgefðu, ég er aldrei svona...
Honest? Rude.	Ókurteis.
Miss Todd, may I speak candidly?	Má ég tala opinskátt?
I, too, came here to better myself.	Ég kom líka hingað til að bæta mig.
That's why I've taken an interest in the law... and why, if I may be so bold, I have taken an interest in you.	Þess vegna hef ég áhuga á lögum og líka, ef ég má vera svo djarfur, áhuga á þér.
And as for the adventure that you seek... I suspect that few men could ever hope to provide that for you.	Hvað ævintýralífið varðar þá grunar mig að fáir menn geti vonast til að veita þér það.
Least of all your fiancé, Stephen Douglas.	Síst af öllum unnusti þinn, Stephen Douglas.
Mr. Lincoln, you are full of surprises.	Herra Lincoln, þú kemur sífellt á óvart.
Miss Todd, you have no idea.	Ungfrú Todd, þú veist minnst um það.
Dear Abraham.	Kæri Abraham.
I've made a deposit at the local bank.	Ég hef lagt peninga inn á bankann í bænum.
Be careful, it can quickly disappear.	Vertu gætinn, þeir geta horfið snögglega.
Henry, there are more than I ever thought possible.	Henry, þær eru fleiri en ég hélt að væri mögulegt.
Pharmacists, innkeepers, pastors.	Lyfsalar, kráareigendur, prestar.
It's more than a man can bear.	Þetta er viðameira en maður fær þolað.
Well, I see I'm such interesting company.	Ég sé að félagsskapur minn er spennandi.
I'm sorry.	Fyrirgefðu.
I've been working nights.	Ég hef unnið um nætur.
Is that true?	Er það satt?
Do you really want to know the truth, Mary?	Viltu vita sannleikann, Mary?
Each and every night... I go out... hunting vampires.	Hverja einustu nótt fer ég út að veiða blóðsugur.
Well, how do you hunt these vampires?	Hvernig veiðirðu blóðsugurnar?
With an axe.	Með exi.
A special silver axe, of course.	Sérstakri silfurexi auðvitað.
Of course.	Auðvitað.
And how many would you reckon you've killed?	Og hve margar telst þér til að þú hafir drepið?
Five.	Fimm.
No... six.	Nei, sex.
I have killed six vampires.	Ég hef drepið sex blóðsugur.
My goodness!	Hamingjan góða!
Abe!	Abe!
Here I thought you were an honest man. Really!	Og ég sem hélt að þú værir heiðarlegur maður.
Well, I had a wonderful day, Abe.	Ég skemmti mér innilega í dag.
As did I, Mary.	Ég sömuleiðis.
Miss Todd, you are a woman of ravishing resourcefulness.	Ungfrú Todd, þú ert einstaklega ráðagóð kona.
Mr. Lincoln, you have no idea.	Herra Lincoln, þú veist minnst um það.
You will have no friends, no family.	Þú munt ekki eiga neina vini, enga fjölskyldu.
I... should be going.	Ég þarf að fara.
It's late.	Það er áliðið.
How could I bring her into this world?	Hvernig gat ég flækt henni í þessa veröld?
A world of demons, of danger.	Veröld fulla af djöflum, af hættu.
Good night, then, Lincoln.	Góða nótt, Lincoln.
They say he's a madman.	Það er sagt að hann sé brjálaður.
I can't wait to meet him.	Ég er spenntur að hitta hann.
A stock boy, reading a law book. What?	Lagerstrákur að lesa lagabók.
You studying to be a lawyer?	Ertu að læra lögfræði?
As a matter of fact, I am.	Já, reyndar.
All right, what about a little test?	Hvað segirðu um smá próf?
What's the law for free slaves in the North?	Hvaða lög gilda um frjálsa þræla á norðurlandi?
According to the Fugitive Slave Act of 1793... enforcing Article four, section two, of the United States Constitution... "All runaway slaves must be returned to their owners."	Samkvæmt lögum um strokuþræla frá 1793 sem taka til 4. greinar, 2. málsgreinar í stjórnarskrá Bandaríkjanna, ber að skila öllum strokuþrælum til eigenda sinna.
However, personal liberty laws state that... "Anyone who is born free... "Cannot be taken under this act."	En lög um friðhelgi einkalífsins segja að hver sá sem sé borinn frjáls heyri ekki undir þessa grein.
I heard a good woman once say... "Until all men are free... "We're all slaves."	Eitt sinn heyrði ég góða konu segja:, Þar til allir menn eru frjálsir erum við öll þrælar."
Will?	Will?
Will Johnson!	Will Johnson!
How did you...?	Hvernig tókst þér?
I was back home... and heard you moved here.	Ég fór heim og frétti að þú hefðir flutt hingað.
Studying to be a lawyer.	Að þú værir að læra lögfræði.
That's good.	Það er gott.
I'm in need of a good lawyer.	Mig vantar góðan lögfræðing.
What, are you in some kind of trouble?	Ertu í einhverri klípu?
I was freeing slaves down South on the railroad... hoping to find my brother down there.	Ég frelsaði þræla í járnbrautarvinnu fyrir sunnan í von um að finna bróður minn þar.
Some bounty hunters got after me.	Hausaveiðarar fóru að elta mig.
Said I was a runaway.	Sögðu að ég væri strokuþræll.
I need a writ, Abe... saying I was born free.	Mig vantar tilskipun sem segir að ég hafi fæðst frjáls.
You know, Will...	Veistu hvað...
Come on.	Komdu með mér.
Speed, this is Will Johnson.	Speed, þetta er Will Johnson.
Will Johnson, my oldest friend in the world.	Elsti vinur minn í heiminum.
The store isn't going to run itself, Abe.	Verslunin rekur sig ekki sjálf.
I'll have him back as soon as possible, Mr. Speed. I promise.	Ég lofa að skila honum eins fljótt og hægt er, herra Speed.
You're getting tall, Abe.	Það hefur tognað úr þér, Abe.
Look like you still don't eat much, either.	En mér sýnist þú borða lítið ennþá.
You still afraid of the dark, too?	Ertu líka ennþá myrkfælinn?
Not so much anymore.	Ekki svo mjög.
That's him, Abe.	Þetta er hann.
That's the guy that's been chasing me.	Þetta er náunginn sem eltir mig.
Gentlemen, gentlemen, gentlemen...	Herrar mínir...
I'm sure we can work this out.	Við getum örugglega komist að samkomulagi.
Now I suggest you walk away, son.	Ég legg til að þú farir, piltur minn.
No, sir, I suggest you do.	Nei, ég legg til að þú farir.
I've sent word to Senator Nolan.	Ég sendi Nolan þingmanni boð.
He'll have you out soon.	Hann losar ykkur héðan fljótlega.
You're far too kind, Miss Todd.	Þú ert allt of góð, ungfrú Todd.
And he's far too ugly to have a woman like you.	Og hann er allt of ljótur fyrir konu eins og þig.
I think common-looking people are the best in the world.	Ég held að venjulega útlítandi fólk sé best allra.
That's why the Lord makes so many of them.	Þess vegna skapaði Drottinn svo mikið af því.
I just thank God he was there.	Ég þakka Guði fyrir að hann var þar.
But I won't always be there.	En ég verð ekki alltaf þar.
Mary... what if something was going on, something terrible... and you knew that there was no way on earth that one man could stop it?	Hvað ef eitthvað skelfilegt væri að gerast og þú vissir að það væri engin leið að einn maður gæti stöðvað það?
What would you do?	Hvað myndirðu gera?
Well... I wouldn't back away from what's right just because it's hard.	Ég myndi ekki hörfa frá því sem rétt er bara af því það væri erfitt.
My father used to say, "Plant your feet and stand firm."	Faðir minn var vanur að segja:, Taktu þér stöðu og vertu staðföst.
The only question is where to put your feet."	Eina spurningin er hvar á að taka sér stöðu."
We may fail in this fight.	Við gætum fallið í þessum bardaga.
We may only shatter the tranquil veil of oppression... but we must not be deterred!	Við náum kannski bara að splundra hinu stillta yfirborði kúgunar en við megum ekki láta bugast!
For ours is a just and noble cause.	Því málstaður okkar er réttlátur og göfugur.
The cause of freedom.	Málstaður frelsis.
The very cause upon which our founding fathers built... this great nation!	Sami málstaður og okkar fyrstu leiðtogar byggðu á við stofnun þessarar miklu þjóðar!
A voice like that is too strong to be stuck keeping shop.	Rödd sem þessi er of kröftug til að festast í búðarvinnu.
I'm actually studying to be a lawyer.	Ég er reyndar að læra lögfræði.
Well, Mr. Lincoln, maybe it's time you thought about politics.	Það er kannski tímabært að þú farir að hugsa um pólitík.
I can connect you with the right people.	Ég get kynnt þig fyrir rétta fólkinu. Þakka þér fyrir.
A pleasure young man.	Mín er ánægjan.
The same.	Sömuleiðis.
You're on your way, Mr. Lincoln.	Þú ert efnilegur, herra Lincoln.
I sent you to Springfield to hunt vampires... not to chase votes.	Ég sendi þig til að veiða blóðsugur, ekki að eltast við atkvæði.
Lesson one, always have a contingency plan.	Fyrsta lexía: Ávallt að hafa varaáætlun.
If vampire hunting doesn't pan out... I need a career to fall back on. I'm being serious.	Ef blóðsuguveiðarnar ganga ekki þarf ég að hafa annan feril.
So am I, Henry.	Mér er alvara. Mér líka, Henry.
I have done everything you've asked of me.	Ég hef gert allt sem þú hefur beðið um.
Every letter, every name... but never the letter I wait for, and never the name I want most.	Sérhvert bréf, sérhvert nafn, en aldrei bréfið sem ég beið eftir og nafnið sem ég þrái mest.
When do I get to kill Jack Barts?	Hvenær fæ ég að drepa Jack Barts?
Barts knows about Mary.	Barts veit um Mary.
It's time.	Tíminn bíður ekki eftir neinum.
Abraham...	Það er komið að því.
Be careful.	Farðu varlega.
Abraham-fucking-Linc...	Fjandans Abraham Lincoln.
Missed again!	Skotið geigaði aftur!
I hope you're better with an axe than you were with a gun.	Vonandi ertu leiknari með exi en byssu.
Come on, Lincoln!	Fljótur nú, Lincoln!
Catch me before I get to Mary.	Gríptu mig áður en ég næ Mary!
Catch me if you can, boy!	Gríptu mig ef þú getur, strákur!
There's thousands of us here.	Við erum hér í þúsundatali.
He won't stop until this whole country is ours.	Hann hættir ekki fyrr en landið allt er okkar.
And they be coming for you now.	Og nú koma þeir að taka þig.
