Step aside.	Farið frá.
Their livers shut down after six weeks.	Lifrin í Þeim varð ónýt eftir sex vikur.
Well, he's fine.	Hann er við góða heilsu.
He was on a placebo.	Hann var á gervilyfjum.
He was part of the control group.	Hann er úr samanburðarhópnum.
He was getting nothing but sugar pills.	Hann fékk ekkert annað en sykurpillur.
If he was taking the actual medicine, he 'd be dead right now.	Ef hann hefði fengið lyfið væri hann dauður núna. það er útilokað. - þú vissir að Það væri möguleiki á að hann lenti í samanburðarhópnum.
But, that's not possible.	En boðefni miðtaugakerfis?
Yes, but his biomarkers, his serotonin levels- Scientifically- Never underestimate the power of the placebo effect.	Vísindalega.. - það á aldrei að vanmeta áhrif gervilyfja.
People have cured themselves from every disease known to science. Eradicated tumors, for christ's sakes.	Fólk hefur læknað sig af öllum mögulegum sjúkdómum, t.d. upprætt krabbameinsæxli.
But as you're aware, Eventually the placebo effect dies.	En eins og þú veist þá hverfa áhrif gervilyfja.
I need a drink.	Ég Þarf að fá mér drykk.
Anybody want a drink?	Vill einhver drykk?
Michael, is he still in the house?	Michael, er hann enn í húsinu?
Uh, no, he's- He's outside.	Nei, hann er úti.
He crapped all over the floor.	Hann skeit á gólfið.
I think he's got worms. So I'm keeping him outside.	Ég held að hann sé ormaveikur. þess vegna hef ég hann úti.
Does he still have a gun?	Er hann enn með byssu? Nei.
No. But, I think the vet should check him out.	En ég held að dýralæknirinn ætti að rannsaka hann.
He'll be ready when you get here.	Hann verður tilbúinn Þegar þú kemur.
I'm calling the police.	Ég hringi á lögregluna. Allt í lagi.
Okay, I gotta go now. I'm expecting a work call.	Ég verð að kveðja núna.
Okay, bye. That was barbara.	Ég á von á símtali. þetta var Barbara.
I call her whenever the dog's sick. You know how she is.	Ég hringi í hana Þegar hundurinn veikist. þú veist hvernig hún er.
You still seeing her?	Hittirðu hana enn?
I always liked barbara. No, no, we- - we just share custody of the dog.	Nei, við höfum sameiginlegt forræði yfir hundinum.
You sure you don't want a drink, 'cause I need one.	Ertu viss um að Þú viljir ekki drykk?
Yeah, maybe I will have a drink. shit!	Ég hef Þörf fyrir einn.
You can get yourself killed for doing this. Nobody's gonna get killed.	Kannski ég þiggi drykk. þú veist að það má drepa Þig fyrir að gera þetta. það verður enginn drepinn.
I'm gonna get you to the airport, put you on the next flight out.	Ég keyri þig á flugvöllinn og Þú ferð með næsta flugi.
I don't have enough pills.	Ég hef ekki nóg af pillum.
What happens when these run out? You don't need any pills.	Hvað gerist þegar Þessar eru búnar? þú þarft engar pillur. þetta voru bara sykurpillur.
No. I've never lied to you, and I'm not lying to you now.	Ég hef aldrei logið að Þér og ég lýg ekki núna.
He's headed for the lake.	Hann stefnir að vatninu.
We got him. You knew this the whole time?	Við náðum honum. þú veist hvað á að gera.
No, it would've affected how I treated you.	Vissirðu Þetta allan tímann? Nei, það hefði haft áhrif á hvernig ég meðhöndlaði þig.
I just found out tonight, I swear.	Ég komst að Þessu í kvöld.
You knew the whole time that these weren't real? They were real to you, and that's what matters.	Vissirðu allan tímann að Þetta væri ekki í alvöru? þetta var alvara fyrir Þér. það er það sem skiptir máli.
You okay? Yeah.	Ertu ómeiddur?
You gotta get out of here.	Já. þú verður að komast héðan.
Get to the airport any way you can. Here's some money. Just go.	Farðu á flugvöllinn hvernig sem Þú getur.
Disappear. Go. Hurry.	Hérna eru peningar.
It was you, doc. What?	Láttu þig bara hverfa. þetta varst þú, læknir.
You're the reason why I got got better, not any drug.	Hvað? þú ert ástæðan fyrir Því að mér batnaði. það voru engin lyf.
No, you changed yourself.	Nei, Þú breyttir þér sjálfur.
Now hurry.	Flýttu Þér nú.
Go! Go!	Farðu!
Okay. No! You gotta go.	Nei! þú verður að fara.
It's okay. Let's have a look outside.	Hvernig líst þér á? Vel.
Oh, beautiful.	Allt í lagi.
Wayne, this is Michael.	Wayne, Þetta er Michael.
How you doing, Wayne?	Hvernig gengur, Wayne?
Okay.	Vel.
You wanna meet the other guys?	Viltu hitta hina strákana?
Yeah.	Já.
Come on. All right, Rhonda, time to play a real master.	Jæja, Rhonda, nú spilum við eins og meistarar.
I want you to meet Wayne. 20 11 1498 9935 71 1 windows-1252 English 2011-07-21 1/1 1.0 1226 01:36:00,048 English 2004 Aruba, USA 104 Crime,Sci-Fi,Thriller	Íslenskur texti: Ólöf Inga Klemensdóttir 930 Icelandic 1.0 1/1 2005-03-01 01:37:41,000 Aruba, USA 104 Crime,Sci-Fi,Thriller 2004 English 1 1146 0 8034 0 iso-8859-4 0
When I was born, the world was a far simpler place.	Heimurinn var mun einfaldari þegar ég fæddist.
It was all just cops and robbers.	Þá snerist allt bara um löggur og ræningja.
Fucking get down!	Niður með ykkur!
And you!	Leggist!
Stay down! Stay down!	Og hreyfið ykkur ekki!
But it wasn't for me.	En það var ekki fyrir mig.
Then came the Summer of Love.	Svo kom sumar ástarinnar.
We're in the wrong fucking game.	Við erum á rangri hillu.
Drugs changed everything.	Dópið breytti öllu.
Good times today, stupor tomorrow.	Skemmtun í dag, rænuleysi á morgun.
But this is now.	En þetta er nútíminn.
So, until prohibition ends, make hay while the sun shines.	Svo meðan bannið gildir er best að grípa gæsina.
I'm not a gangster.	Ég er ekki bófi.
Now they're my biggest clients.	Nú eru þeir mínir bestu viðskiptavinir.
This is Clarkie.	Þetta er Clarkie.
Double first at Cambridge in industrial Chemistry.	Ågætiseinkunn í efnafræði í Cambridge.
Well, he's gotta pay off his student loan somehow.	Einhvern veginn verður hann að borga námslánin.
Today, I only deal in kilos. Depending which tariff you use... that'll cost you either 28 grand or 15 years in prison... which is more time than a rapist.	Nú sel ég bara í kílóavís sem kosta annað hvort 28 þúsund eða 15 ára dóm, sem er þyngri dómur en fyrir nauðgun.
C 'est la vie.	Svona er lífið.
It is vital that we work to a few golden rules.	Það er áríðandi að virða nokkrar gullnar reglur.
Always work in a small team.	Vinna alltaf í litlum hópi.
Keep a very low profile.	Láta lítið á sér bera.
Only deal with people who come recommended.	Skipta aðeins við menn sem mælt er með.
It's like selling anything: Washing machines, handmade shoes, blowjobs.	Þetta er eins og að selja hvern annan varning, þvottavélar, handsaumaða skó eða tott.
As long as you don't take the piss, people will come back for more.	Ef maður klúðrar ekki koma menn alltaf aftur.
That's not to say we don't weave that magic that makes two kilos three... but never be too greedy.	Það útilokar ekki að við spinnum töfravefinn sem gerir 2 kíló að 3 en maður má aldrei vera of gráðugur.
Know and respect your enemy.	Maður skyldi þekkja óvininn og virða hann.
It is only very, very stupid people who think the law is stupid.	Aðeins heimskir menn halda að lögin séu heimskuleg.
And avoid like the fucking plague... loud, attention-seeking wannabe gangsters... in it for the glory, to be a face, to be a name.	Forðastu alltaf eins og heitan eldinn hávaðasama, athyglissjúka og upprennandi bófa í leit að frægð og frama.
Hello, Slavo.	Slavo?
Yeah, it's the Duke.	Þetta er Duke.
Everything's sweet.	Allt í himnalagi.
When can we meet?	Hvenær getum við hist?
They don't mean to fuck up. They just do.	Þeir ætla ekki klúðra hlutunum þeim verður bara á.
Forgive me for stating the obvious, but stay away from the end-user.	Það er óþarft að taka það fram en forðist neytendurna.
They are guaranteed to bring you trouble.	Þeir eru alltaf til vandræða.
As do guns. I hate guns.	Sama er að segja um byssur.
And violence.	Ég þoli ekki byssur og ofbeldi.
But as some Roman general once said: "If you seek peace, plan for war."	En eins og rómverskur hershöfðingi sagði, ef þú leitar friðar, búðu þig undir stríð.
Morty and his assistant Terry, they watch my back. Morty learnt caution the hard way.	Morty og aðstoðarmaður hans, Terry, gæta mín. Morty lærði af eigin raun.
He did 10 years inside.	Hann sat inni í 10 ár.
He's my bridge to the criminal world... and he ensures that the traffic is one-way.	Hann er tengiliður minn við glæpaheiminn og sér til þess að viðskiptin séu á eina leið.
Look, there's Amsterdam, and there's Oofdorfe... dorfe.	Þarna er Amsterdam og þarna Ofdorfe... dorfe.
Not a fucking clue.	Ég skil ekkert.
None of them speak English.	Þeir tala ekki ensku.
Get in the car.	Inn í bílinn.
I'm sure it's that way.	Ég er viss um að þetta er leiðin.
Move up. I bet you it's that way.	Ég þori að veðja að það er í þessa átt.
We've already been that way.	Við fórum þangað.
Yeah, but we're gonna go that way again.	Við förum þangað aftur.
Give us the map.	Komdu með kortið.
Oh, don't start, the pair of you.	Byrjið nú ekki!
It's like being out with a pair of kids.	Þið eruð eins og smákrakkar.
All day you've been moaning.	Þið hafið kvartað í allan dag.
It can't be that difficult.	Þetta getur ekki verið flókið.
How many fucking greenhouses can there be?	Hvað eru mörg gróðurhús hér?
Morty.	Morty.
Terence.	Terence.
Clarkie.	Clarkie.
Very, very important: pay your supplier prompt.	Það er mjög áríðandi að borga vöruna strax.
In our case, that's Mr. Jimmy Price.	Okkar maður er Jimmy Price.
He's the top of the pyramid. Pay him.	Hann trónir efst á pýramídanum.
Where the fuck is Gene?	Hvar er Gene?
I don't know.	Ég veit það ekki.
Ask me one on sport.	Spurðu mig um íþróttir.
What time does your watch tell?	Hvað er klukkan þín?
The same as yours.	Líklega sama og þín.
He's never late.	Hann mætir aldrei of seint.
All the drugs and cash go through Gene.	Allt dópið og peningarnir fara um hendur Genes.
Jimmy trusts him with his life.	Jimmy treystir honum fyrir lífi sínu.
Maybe he's grateful.	Kannski er hann þakklátur.
He fucking should be.	Hann ætti að vera það.
See you at Stoke Park at 1.	Sjáumst klukkan eitt á Stoke Park.
This is just so beautiful.	Þetta er svo fallegt.
We need to get in and out of here sharpish.	Við verðum að vera snöggir.
Paul and the tide ain't gonna wait.	Paul og aðfallið bíður ekki.
Looks good on the self-assessment.	Það lítur vel út á skattframtalinu.
But I've always said, have a plan and stick to it.	En ég segi alltaf, gerðu áætlun og haltu þig við hana.
Quit while you're ahead.	Hættu meðan vel gengur.
So barring any fuck-ups, I'm leaving it all behind.	Svo ef engin óhöpp verða segi ég skilið við þetta allt.
No, we got the parcel.	Nei, við erum með pakkann.
Yeah, better than expected, actually.	Já, raunar betur en við var búist.
It's just that things have gone a little bit slightly turbo this end.	Þetta er bara orðið dálítið geggjað hérna megin.
You're being paid to get my cargo home. Come on, babe.	Þú færð ekki borgað fyrir að kvarta, Paul, heldur fyrir að koma farminum mínum heim.
You all right?	Er allt í lagi, elskan?
Careful here, it's a bit wobbly.	Varlega, þetta er óstöðugt.
Life is so fucking good, I can taste it in my spit.	Þetta er svo gott líf að ég finn bragðið af því.
I'll treat tomorrow's lunch like the Last Supper, feign interest in his tales.	Ég lít á hádegismatinn á morgun eins og síðustu kvöldmáltíðina.
This is pure class.	Þetta er glæsilegt.
Please, follow me, gentlemen.	Fylgið mér, herrar mínir.
Your guests, Mr. Price.	Gestirnir eru komnir, herra Price.
Thanks, Angelo.	Takk, Angelo.
Welcome.	Velkomnir.
We all have to do our bit.	Þurfum við ekki allir að borga okkar skerf?
Say hello from me next time you see him.	Berðu honum kveðju næst þegar þú hittir hann.
You hungry?	Ertu svangur?
Don't ask me.	Ekki spyrja mig.
I ain't fucking touching them.	Ég snerti þær ekki.
You are a miserable bastard, you really are. Brian. What?	Þú ert aumur fantur.
Sit down, mate.	Brian.
Got a little treat for you.	Fáðu þér sæti.
Help yourself.	Bjargaðu þér.
A little privacy, please, Angelo.	Ég vil enga truflun, Angelo.
What do you want, son?	Hvað viltu, piltur minn?
Excuse me?	Hvað þá?
In life.	Í lífinu.
Well, I don't know, Mr. Price.	Ég er ekki viss, herra Price.
That's a very expansive question.	Þetta er víðtæk spurning.
Right, expansive.	Víðtæk.
Good answer.	Gott svar.
Years ago, people would've thought you were a homosexual... using a word like "expansive."	Hér á árum áður hefðu menn haldið að þú værir hýr fyrir að nota slíkt orð.
You're not a homosexual, are you?	Ertu nokkuð hýr?
No. Not behind with the rent? No.	Ekki verið gerður afturreka?
No, I didn't think you were.	Nei, ég hélt ekki.
No harm in it, I suppose.	Það er víst meinlaust.
Times change.	Tímarnir breytast.
You know why people like you can't leave this business?	Veistu af hverju þínir líkar geta ekki hætt þessum viðskiptum?
Because you make too much money for people like me.	Af því þið græðið of mikið fé fyrir mína líka.
Anyway, I'll get to the point.	Ég skal koma mér að efninu.
I need a favor.	Ég þarf að biðja um greiða.
I need someone who's a bit cute, a smooth operator. Not a two-a-penny loudmouth.	Mig vantar slyngan mann og frambærilegan, engan kjaftagleiðan rudda.
Too many grasses around.	Of margar rottur á sveimi.
It would be a pleasure, Mr. Price.	Mín er ánægjan, herra Price.
Jimmy.	Kallaðu mig Jimmy.
You can call me Jimmy. Now, this favor. It's not for me, truth be told.	Greiðinn er ekki fyrir mig, ef satt skal segja, heldur góðan vin.
Like a blood brother.	Eins og fóstbróðir.
I'll give you a clue.	Ég skal gefa þér vísbendingu.
Eddie Temple.	Eddie Temple.
Does that name mean anything to you?	Kannastu við nafnið?
I know who you mean.	Ég veit hver hann er.
Now, Eddie's got a daughter.	Eddie á dóttur, Charlie.
Charlie, bless her.	Guð blessi hana.
But she ain't behaving like a lady.	En hún hagar sér ekki eins og dama.
She's hooked on the white powder and loves a wrong one.	Hún er háð hvíta duftinu og sækir í vandræðagemsa.
This is where you come in, right?	Og þar kemur að þér.
You're gonna find her.	Þú átt að finna hana.
Find her?	Finna hana?
She's gone missing.	Hún er týnd.
Well, you should get a private detective.	Þú ættir að ráða einkaspæjara.
Oh, right. Some nosy ex-policeman, still on the Scotland Yard payroll?	Meinarðu fyrrverandi löggu með nefið niðri í öllu og enn á launum hjá Scotland Yard?
She's done a runner from a drug rehabilitation unit in the West Country.	Hún strauk af meðferðarstofnun á vesturlandi.
Rehab. She got loved up in there with some lowlife crackhead called Kinky.	Hún varð ástfangin þar af krakkhaus og ræfli sem er kallaður Kinky.
I reckon they've gone back to London.	Þau hafa víst flúið til London.
I wouldn't know where to begin.	Ég veit ekki hvar ég á að hefjast handa.
Now and then we're asked to do something beyond the call of duty.	Stundum er maður beðinn um að gera meira en skyldu sína.
It's called sacrifice, son.	Það kallast að fórna sér.
Ask Gene.	Spurðu Gene.
Ask Morty.	Spurðu Morty.
I'll do my best.	Ég skal gera mitt besta.
You do your best and find her.	Gerðu það og finndu hana.
Keep Mr. McGuire posted.	Segðu herra McGuire af gangi mála.
I've also got a little business more in your usual line.	Ég er líka með verk sem er meira í þínum anda.
Gene will fill you in.	Gene upplýsir þig um smáatriðin.
Just tell me when they're done.	"Ég vil engin smáatriði, segðu mér þegar þeim er lokið."
Who said that, son?	Hver sagði það?
Close.	Þú ert heitur.
No, I said it.	Nei, ég sagði það.
James Lionel Price.	James Lionel Price.
Good boy.	Duglegur strákur.
I'll see you at the yard tomorrow. Say, 4: 00.	Hittumst á skipasmíðastöðinni á morgun klukkan 4.
Tell you about that bit of business.	Ég segi ykkur frá verkinu.
I've set up a meet for 5 with the Duke. What's with him?	Ég ákvað fund með Duke klukkan 5. Hvað er að honum?
He's just had one of these.	Hann tók eina af þessum pillum.
These are super Es.	Þetta eru rosalegar E-töflur.
We'll make millions!	Við græðum milljónir.
I don't care.	Mér er sama.
This is my boatyard.	Þetta er mín skipasmíðastöð.
I want those pills and that fucking idiot out of here now.	Komdu þessum pillum og bjánanum héðan út.
I can't afford to get nicked.	Ég hef ekki efni á að vera gripinn.
Paul.	Rólegur, maður.
Calm down, mate.	Hvað er að?
I've got Gene coming down with a buyer.	Gene er að koma með kaupanda.
You'll be in your whack.	Þú færð þinn hlut.
Here, chill.	Slakaðu á.
Have a pill.	Fáðu þér töflu.
Gene, why are we doing business with the Duke?	Af hverju skiptirðu við Duke?
Yeah, why are we dealing with this joker?	Já, hvað ertu að versla við þennan asna?
He's a fucking maniac, a relic, a throwback, belongs to the Dark Ages.	Hann er snarbrjálaður. Hann er forngripur frá miðöldum.
Will you just shut the fuck up?	Viltu halda þér saman?
We're dealing with him because he has 1 million Ecstasy pills... of very high levels of MDMA, okay?	Við verslum við Duke af því hann á milljón E-töflur með miklu magni af amfetamíni.
One million?	Heila milljón?
Calm down. You'll feel better once you've got your money.	Þið verðið rólegri þegar þið fáið peningana.
Who?	Hver?
Me?	Ég?
Don't you fucking talk to me like I'm some kind of mug.	Talaðu ekki við mig eins og einhvern aula!
Duke, don't take this personally.	Ekki taka þetta persónulega.
It's business.	Þetta eru viðskipti.
They're not. We've gotta find a buyer.	Við verðum að finna kaupanda og svo verður að skipta þeim í pakka með 100 þúsund.
Who has got the readies lying around to pay for a million Es?	Og hver hefur handbært fé til að borga milljón E-töflur?
This is fucking bollocks!	Þetta er kjaftæði.
Slasher, shut the fuck up!	Sasha, haltu þér saman!
Duke, we all want a good deal. Mate, mate, mate.	Við viljum allir fá góðan hlut.
Mate, look, that parcel of pills has got to be worth 5 million easy.	Þessi töflupakki hlýtur að vera fimm milljóna virði.
Five pound each, yeah!	Fimm milljónir á mann.
You are fucking joking.	Þú ert að grínast!
It doesn't work like that!	Það virkar ekki þannig!
Don't keep fucking saying that to me!	Hættu að segja þetta!
I've got some samples.	Ég er með prufur.
I'll stay in touch through Gene, okay?	Ég verð í sambandi við Gene.
You wouldn't be so fucking flash if you didn't have him behind you.	Þú værir ekki svona brattur ef þú hefðir hann ekki.
Yeah, well, he fucking has, ain't he?	Já, en hann hefur mig.
Where did these monkeys get a million Es?	Hvar fengu þessir apar milljón E-töflur?
Don't worry about that.	Fástu ekki um það.
Can you place them? We know someone up north who'll buy.	Við þekkjum mann fyrir norðan sem getur keypt þær.
Morty, set up a meeting with Trevor and Shanks in Liverpool.	Morty settu saman fund með Trevor og Shanks í Liverpool.
What's really bothering me is what color to get the Aston.	Ég hef mestar áhyggjur af hvernig Astoninn eigi að vera á litinn.
As you're driving it yourself, probably green. Green? Yeah.	Þar sem þú ekur sjálfur ættirðu að fá þér grænan.
That's a trifle dull, I thought.	Grænan? Það er óspennandi.
What do you think, girls?	Hvað finnst ykkur, stelpur?
Black.	Svartan.
Yeah, black. Black's the color for a hearse or a taxi.	Það er litur fyrir líkvagna og leigubíla.
Don't be so conservative.	Vertu ekki svona íhaldssamur.
Black's a splendid idea.	Mér finnst það góð hugmynd.
Hello. Look who it is.	Sjáðu hver er kominn.
Sit down.	Sestu hjá okkur.
Can we have a word?	Megum við tala við þig?
Our dreary broker has arrived.	Leiðinlegi verðbréfasalinn okkar er kominn.
Hugo, follow me.	Hugo, komdu með mér.
Don't go anywhere.	Ekki fara, við komum aftur.
Drink some more champagne.	Drekkið meira kampavín.
Especially you.	Sérstaklega þú.
I like it when you're drunk.	Ég kann vel við þig fulla.
What are you up to?	Þú ert meistarinn.
We're doing the number on these American birds.	Við erum að fleka þessar bandarísku stelpur.
Who am I today?	Hver er ég núna?
The Earl of Oxford.	Raunar ertu jarlinn af Oxford.
The Earl of Oxford.	Fjandinn sjálfur.
What's this business, then?	Hvaða viðskipti eru þetta?
It's a bit strange.	Þau eru dálítið undarleg.
Can you find somebody for me really quickly?	Getið þið útvegað einhvern fljótt?
How quickly?	Hve fljótt?
Twenty grand quickly.	Það er 20 þúsund punda virði.
You've got our attention.	Þá það. Við hlustum.
Oh, very nice.	Mjög flott.
I suppose this is the boyfriend?	Og er þetta kærastinn?
It's a bit unusual for you.	Þetta er óvanalegt fyrir þig.
What's going on?	Hvað er á seyði?
It doesn't matter.	Það skiptir engu.
Can you do it? Yeah.	Getið þið það?
Should be a doddle.	Það ætti að vera létt verk.
All the same, junkies and crackheads.	En eru þetta ekki krakkhausar?
Chuck them a few quid, they'll cough.	Maður gefur þeim nokkur pund og fær allt sem maður vill.
Is there anything else?	Er það nokkuð fleira?
No.	Nei.
We must get back to work, old boy. Look.	Við þurfum að koma okkur aftur að verki.
All right, mate.	Er allt í lagi með þig?
I'm the Duke's nephew.	Ég er frændi Dukes.
Remember me? Sidney.	Manstu eftir mér?
Sidney.	Sidney.
Yes.	Já.
Hello, mate. How are you?	Blessaður, Sidney.
I'm just off.	Ég er að fara.
Have a nice night.	Skemmtu þér vel.
How you doing? What you doing here?	Hvað ertu að gera hér?
I hear you're doing business with my uncle, the Duke.	Ég frétti að þú starfaðir með frænda mínum.
Why don't you tell the whole fucking room?	Viltu ekki bara segja öllum salnum það?
This is Tammy.	Þetta er Tammy.
Who's your mate, Sidney?	Hver er þetta?
He's a good mate of my uncle's, the Duke.	Hann er vinur Duke frænda.
He was just going.	Hann er að fara.
Yeah, all right.	Gott og vel.
I got VIP down here.	Ég nýt forréttinda hér.
Nice little booth.	Ég hef notalegan bás.
Charisma, he's fucking got it.	Hann hefur persónutöfra.
I know he's my uncle and all that, but you can't deny it.	Hann er frændi minn en því verður ekki neitað.
If you want anything, just tell me... because I got them straightened out in here.	Segðu til ef þú vilt eitthvað. Þeir snúast í kringum mig.
If you want any running about, I'm your man...	Ef þú þarft að láta sendast er ég rétti maðurinn.
Line?	Viltu línu?
What?	Hvað?
I said do you want a line?	Ég spurði hvort þú vildir línu.
No, mate.	Nei, maður.
You knock yourself out.	Góða skemmtun.
Lovely, isn't she?	Er hún ekki falleg?
Isn't she a darling?	Er hún ekki yndisleg?
Siddy, baby, I could do with a livener.	Elskan, ég þarf að fá aðra línu.
Ring me.	Hringdu.
Sidney, it's been great.	Þetta var gaman.
I'll see you, man.	Sjáumst seinna.
Thanks for the champagne.	Takk fyrir kampavínið.
You let me know when you're happy, Mr. Lucky.	Segðu til þegar þú ert sáttur, Lucky.
Too warm down your way?	Er mikið að gera fyrir sunnan?
We're kept busy, Trevor.	Það er alveg nóg.
Everyone wants a slice as well.	Allir vilja líka fá hlut.
Well, not you lot, but... that team down your end.	Ekki þið en... liðið ykkar.
Like you don't know.	Eins og þið vitið það ekki?
No offense, but what the fuck are you talking about?	Taktu því ekki illa en um hvern fjandann ertu að tala?
You really surprise me, do you know that?	Nú er ég hissa.
Do you know something we don't?	Veistu eitthvað sem við vitum ekki?
Don't be giving it the big fucking innocent, pal.	Láttu ekki eins og þú sért blásaklaus.
Because I am not a fucking prick.	Því ég er enginn asni.
I never said you were, Shanks.	Það sagði ég aldrei.
Cool it.	Rólegur, Shanks.
They really don't know.	Þeir vita það ekki.
Explain.	Útskýrðu það.
I was over in Amsterdam. Last weekend, right?	Ég var í Amsterdam um síðustu helgi.
The whole place is alight with a rumor... about how this hooligan outfit from down your end... run by this joker called the Duke...	Þar voru allir að tala um bófagengi á ykkar slóðum sem rekið er af einhverjum bjána sem er kallaður Duke...
Gazza, go and find them fucking pills.	Gazza, farðu og finndu fjandans töflurnar.
You're the first person ever to be foolish enough to steal from me.	Herra Duke, þú ert fyrsti maðurinn sem er nógur heimskur til að reyna að stela frá mér.
Shut up.	Þegiðu.
But you're not the first to point a gun at me.	En ekki fyrsti fjandmaðurinn sem miðar á mig byssu.
Shut up or I'll be the last.	Þegiðu eða ég verð sá síðasti.
This will not be the end of this, Mr. Duke, believe me.	Þessu er ekki lokið, herra Duke.
Gazza, go and load them pills.	Settu töflurnar í bílinn.
But he got unlucky because this lot are wanted for fucking war crimes.	En hann var óheppinn því þetta lið var eftirlýst fyrir stríðsglæpi!
Mass murder, ethnic cleansing.	Fjöldamorð, þjóðarmorð.
They're lunatics.	Þeir eru óðir.
They're wanted by the United-fucking-Nations.	Þeir eru eftirlýstir af Sameinuðu þjóðunum.
Think about that.	Hugsaðu um það.
Let's get this clear.	Fáum þetta á hreint.
Duke has absolutely sweet fuck-all to do with us, understand?	Duke hefur alls ekkert með okkur að gera.
Everyone in Amsterdam believes that he has.	Í Amsterdam eru menn á öðru máli.
Bandied your names about.	Hann talar um ykkur.
What?	Hvað?
Word on the straat is they've unleashed their top boy.	Finndu þann sem á sökina og færðu mér höfuð hans.
His name is...	HÖFUĐ HANS!
Okay, we accept that.	Við samþykkjum það.
But with you lot up here punting this shipment, how does it look?	En hvernig lítur það út þegar þið verslið með sendinguna?
Bad.	Illa.
You do know that we're only talking pennies an article?	Þú veist víst að hver tafla er bara nokkurra pennía virði.
Stolen goods.	Þetta er stolin vara.
You won't want them, then.	Þið viljið hana þá ekki.
Sit down, lah.	Fáðu þér sæti.
Let's not be too hasty.	Við skulum ekki vera fljótfærir.
Me and him need to have a little think.	Við þurfum aðeins að hugsa málið.
That prick Duke's made us look a bunch of fucking amateurs.	Fíflið hann Duke lætur okkur líta út eins og aula.
I told you he was trouble.	Sagði ég ekki að hann yrði til vandræða?
But he ain't gonna drag me down with him.	En hann dregur mig ekki í svaðið með sér.
Try Gene again.	Reyndu aftur að ná í Gene.
What a fucking show-up!	Þetta er meira klúðrið.
He's not answering, Mort.	Hann svarar ekki.
Try Jimmy at home.	Reyndu heimasímann hans Jimmys.
You sure?	Ertu viss?
Will you fucking ring him?	Hringdu í hann!
Where are we going, Morty?	Hvert förum við við?
Back to that boatyard.	Aftur í skipasmíðastöðina.
Somebody's about to get a fucking slap.	Nú fær einhver að kenna á því.
Yes, Morty. About fucking time.	Það er tími til kominn.
Paul?	Paul?
Find out where the Duke's holed up.	Kannaðu hvar Duke felur sig.
We're gonna need an insurance policy.	Við þurfum tryggingu.
What's the idea of phoning me at home and leaving messages, prick!	Hvað ertu að hringja heim og skilja eftir skilaboð, auli?
Jimmy, it was an emergency.	Það var neyðartilfelli, Jimmy.
Don't fucking call me Jimmy!	Kallaðu mig ekki Jimmy, skíthællinn þinn.
And what's the idea of telling Duke those pills ain't worth shit?	Og hvað á að þýða að segja Duke að töflurnar séu einskis virði?
You don't know the problems you've caused.	Þú veist ekki hvað þú hefur valdið miklum vandræðum.
And don't be leaving it to that pair of ponces, Cody and Tiptoes... to find that bitch Charlie.	Og eftirláttu það ekki þessum pempíum, Cody og Tiptoes að finna tæfuna hana Charlie.
I fucking told you to do it!	Ég sagði þér að gera það!
Are you listening?	Ertu að hlusta?
Find a buyer for those pills.	Finndu kaupanda að töflunum.
The person moving those pills met a nasty end.	Sá sem átti að selja þær lenti í slæmu slysi.
That was quick.	Þetta gekk vel.
The gaff is rotten in there.	Ég vara þig við, ástandið er ljótt þarna inni.
Kinky's still here, isn't he?	Er Kinky ekki hérna ennþá?
Didn't Tiptoes tell you?	Sagði Tiptoes þér það ekki?
Tell me what?	Hvað?
Have you let him go?	Slepptirðu honum?
No, I haven't.	Nei.
He's in here.	Hann er hérna inni.
Kinky.	Kinky.
I still wanna be paid.	Ég vil fá borgað.
So, if I'm correct, you three gearheads are gonna be clucking very soon.	Ef ég skil ástandið rétt, sem ég held ég geri, þá farið þið dóphausarnir bráðum að fá skjálfta.
In fact, you're gonna be climbing the walls any minute, aren't you?	Raunar sýnist mér þið vera farnir að skjálfa. Farið þið ekki bráðum að klifra upp veggi?
But I'm prepared to do you a favor.	En ég skal gera ykkur greiða.
We can do this one of two ways.	Það er um tvær leiðir að velja.
We can do it the nice way, which I think you'll prefer.	Við getum valið góðu leiðina, sem ég býst við að þið kjósið.
Because the other way is my friend takes you... and puts your head through the window!	Því hin er sú að vinur minn hér tekur ykkur einn af öðrum og rekur hausinn á ykkur í gegnum gluggarúðuna.
Right, so was Charlie here with Kinky?	Var Charlie hér með Kinky?
Yeah, she was here for a couple days.	Já, í nokkra daga.
Kinky turned up with 5 grand.	Kinky birtist með fimm þúsund.
Who's giving Kinky 5 grand?	Hver gefur Kinky fimm þúsund?
We don't know.	Ég veit það ekki.
They kept arguing.	Þau rifust.
She was saying, "Do you think it's that easy... taking the 5 grand?"	Hún sagði... heldurðu að það sé svona auðvelt að taka fimm þúsundin og svíkja hann?
But she was still caning the rocks.	En hún var samt að troða í sig krakkinu og svæla hassið.
Where is she now?	Hvar er hún núna?
Brighton.	Í Brighton.
He's a nutter.	Hann er bilaður.
Shut the fuck up.	Haltu kjafti!
And you, fucking tell him now.	Þú.
What geezer?	Segðu honum hver náunginn var?
I don't know.	Ég veit það ekki.
I goofed out myself.	Ég var í rosavímu.
The next morning, she's gone and Kinky's dead.	Daginn eftir var hún farin og Kinky dauður.
You're telling me that somebody's topped Kinky?	Ertu að segja að einhver hafi myrt Kinky?
