No, a different one.	Ég á við aðra.
She got married here under an awning.	Hún giftist hér undir sóltjaldi.
So did I. It's the Cape Canaveral with shitty marriages.	Ég líka. Þetta er Canaveral-höfði ömurlegra hjónabanda.
Well, it's the garden for it.	Þetta er garðurinn fyrir það.
So what was it like in prison?	Hvernig var í fangelsinu?
One day I wondered what a shot of me dead would be worth.	Dag einn velti ég fyrir mér hvers virði mynd af mér dauðri yrði.
They pay big for morgue photos.	Þeir borga vel fyrir líkhúsmyndir.
PHOTOGRAPHER 1: Charlotte, you filthy slag!	Hommatittur!
PHOTOGRAPHER 2: Is that your new fuck buddy, Charlotte?	Er þetta nýi reiðfélaginn þinn, Charlotte?
PHOTOGRAPHER 1: What are you running away for?	Af hverju hleypurðu burt!
PHOTOGRAPHER 2: Charlotte, suck his cock!	Charlotte, tottaðu hann!
I went to RADA.	Ég gekk í Konunglega leiklistarskólann.
Have I seen you in anything, Jordan?	Hef ég séð þig í einhverju, Jordan?
Well, I was on a kids'show.	Ja, ég var í barnaþætti.
Then I was on methadone.	Svo var ég á metadóni.
Then I was a producer.	Svo var ég framleiðandi.
Seriously.	Í alvöru.
Listen, Jordan, I think you should consider a bit more security.	Heyrðu, Jordan. Þú ættir að íhuga að bæta öryggis.
Burglar lights.	Þjófaljós.
Basically everywhere.	Nánast alls staðar.
And the house isn't wired all that well.	Og húsið er illa tengt.
You 'd be the expert.	Þú ert sérfræðingurinn.
How you finding the place?	Hvernig er staðurinn?
You comfortable?	Fer vel um þig?
No, I'm talking to someone else.	Nei, ég er að tala við annan.
Fucking hurt him.	Ekki meiða hann.
Yeah. What is it with you?	Já, hvað varðar þig um það?
Yeah.	Já.
Bye, bye, bye, bye.	Bless, bless, bless, bless.
You haven't got a mobile, have you?	Þú ert ekki með farsíma.
Get him a mobile.	Látið hann fá farsíma.
One with an answering machine so we can keep in touch.	Einhvern með talhólfi svo við getum verið í sambandi.
( MOUTHING ) Do you read books?	Lestu bækur?
Yeah.	Já.
Ah, just finished reading a book.	Ég var að klára bók.
The jury's still out whether we're noble savages orjust fucking savages.	Enn er óráðið hvort þeir voru göfugur villimenn eða bara helvítis villimenn.
All them years on an inquiry, they still don't fucking know.	Öll þessi ár af... vangaveltum og ég veit það ekki enn.
What do you think?	Hvað heldur þú?
Some were noble, some were savages. Uh-huh.	Sumir voru göfugir, sumir voru villimenn.
Fucking savages.	Helvítis villimenn.
That was good what you done in Brixton.	Þú stóðst þig vel í Brixton.
Took a lot of heart to stand up half a dozen mechanical Islamics.	Það þurfti kjark til að bjóða hálfri tylft óðra íslamista byrginn.
Fuck me. Who knows what them cunts get up to.	Hver veit það þeir ræflar eiga til með að gera.
There was four of them.	Þeir voru fjórir.
Yeah. What it took was stupidity.	Það þurfti bara heimsku.
GANT: This cunt...	Þessi ræfill...
What is this cunt doing?	Hvað er þessi ræfill að gera?
No, no, no.	Nei, nei, nei.
That's not stupidity, you see.	Þetta var ekki heimska.
No. Stupidity runs away like a cunt, and then a bigger cunt, he comes back to me and tells me that he fucking run away.	Nei, heimska er að flýja eins og ræfill og svo kemur ræfillinn til mín og segist hafa flúið.
See, a man like you, you send a message.	Maður eins og þú sendir skilaboð.
What?	Hver?
That I can take a beating?	Að ég þoli barsmíð?
I'm only alive because they saw me hit Billy.	Ég er á lífi af því þeir sáu mig slá Billy.
Yeah, well.	Já, jæja.
They were very decent Zulus.	Þeir voru heiðvirðir blámenn.
Decent no more.	Heiðvirðir, ekkert annað.
They don't know who's behind Billy. Right.	Þeir vita ekki hver er á bak við Billy.
You have to be very careful about that, you see?	Maður þarf að fara varlega í slíkt.
Cunts like Billy, they've always got someone behind them. Am I right?	Ræflar eins og Billy... hafa alltaf einhvern á bak við sig, ekki satt?
Need a bit of discipline there, you know, been one or two boom-boom incidents.	Það þarf aga þar. Það hafa verið eitt eða tvö... átakatilfelli.
The natives are restless and all out of bollocks.	Hinir innfæddu eru órólegir og snarruglaðir.
I see.	Ég skil.
I'm very honoured.	Þetta er mikill heiður.
But I'm still learning the ropes.	En ég er enn að læra á hnútana.
That's old Navy talk.	Þetta er gamalt sjóaramál.
In case you don't quite understand what that means, it means you have to learn the ropes before you become an able seaman.	Ef þú veist það ekki þá þýðir það að þú þarft að læra á hnútana áður en þú verður fullfær sjómaður.
You understand that?	Skilurðu það?
Specialised business, isn't it? Hmm.	Sérhæfður bransi, er það ekki?
So I think I should hold off.	Svo ég held ég ætti að bíða.
Well, if you want to tag along with that cunt a little bit longer, then that's up to you.	Ef þú vilt hanga í skottinu á þessum ræfli aðeins lengur þá er það undir þér komið.
Oh, fuck me.	Æ, fjandinn.
Bit early for that.	Fullsnemmt fyrir þetta.
( GROANS ) Oh, I got a little surprise for you Thursday night.	Ég verð með dálítinn glaðning handa þér á fimmtudagskvöld.
Yeah?	Jæja?
Yeah.	Já.
He'll pick you up.	Hann sækir þig.
If he's still about.	Ef hann verður enn hér.
Good night, sweetheart.	Góða nótt, ljúfur.
She in there or what?	Er hún inni eða hvað?
She's not here.	Hún er ekki hér.
PHOTOGRAPHER 2: Oh, come on, she must be in there, yeah?	Hún hlýtur að vera inni!
Who's giving her one?	Hver ríður henni?
You must know who's giving her one.	Þú hlýtur að vita það!
Give us something, mate, I've got kids to feed.	Gefðu okkur eitthvað, ég hef börn á framfæri!
PHOTOGRAPHER 2: What's your name, yeah?	Hvað heitirðu?
PHOTOGRAPHER 1: Come on!	Ekki láta svona!
PHOTOGRAPHER 2: Come on, who are you?	Hver ertu? Ríðurðu henni?
You doing her, yeah? - ( DOOR CLOSES ) - ( REPORTERS SHOUTING ) Her husband crashed a car in Spain and incinerated a fucking viscount.	Eiginmaðurinn klessukeyrði bíl á Spáni og grillaði helvítis greifa.
Lovely.	Huggulegt.
Now I have a dental situation.	Núna er ég í tannvandræðum.
She wants to know if you can drive.	Hún vill vita hvort þú getir ekið.
Can you drive?	Geturðu ekið?
( REPORTERS CLAMOURING ) So, you're not a criminal.	Svo þú ert ekki glæpamaður.
You're just like anybody who might have gotten pinched for hitting someone in a bar.	Þú ert eins og hver sem er sem gæti verið nappaður fyrir að lemja einhvern á krá.
There was more to it than that.	Það er á bak við það.
Was or is?	Var eða er?
So what do you want out of life, Mitch?	Hvað viltu fá út úr lífinu?
Out of all this worthless shit?	Úr öllum þessum verðlausa skít.
Enough to eat, a bed to lie in.	Nóg til að borða, rúm til að liggja í.
So I can think.	Svo ég geti hugsað.
You had that in jail.	Þú hafðir það í fangelsinu.
CHARLOTTE: Could you get me a drink?	Geturðu fært mér drykk?
A scotch.	Skota.
( SNIFFS ) This place is a mausoleum.	Þessi staður er grafhýsi.
I didn't offer you one.	Ég bauð þér ekki.
It's all right.	Það er í lagi.
No, it isn't.	Nei.
Listen, what you are, it's not what everybody is.	Hvað sem þú ert þá er það ekki það sem allir eru.
It's all right to have trouble with the basics.	Það er í lagi að eiga erfitt með grunn - atriðin.
It would be odd if you didn't.	Annað væri undarlegt fyrir þig.
Where would you be if you were me?	Hvar værirðu ef þú værir ég?
Los Angeles.	Los Angeles.
There's no milk and mice shat in the sugar.	Það er engin mjólk og mýsnar skitu í sykurinn.
I suppose a biscuit's out of the question.	Líklega kemur kexkaka ekki til greina.
Fuck off.	Bíttu í þig.
What we here for?	Hvað erum við að gera hér?
To pack.	Pakka niður.
Billy Norton is a cunt.	Nei, Billy Norton er ræfill.
Fuck Billy Norton.	Til fjandans með Billy Norton.
You go down to my property again and take my money off my boys and you'll end up in there.	Ef þú ferð aftur... að minni eign og tekur mína peninga af mönnum mínum... þá endarðu þarna úti í.
Is that clear?	Er það ljóst?
Lovely.	Indælt.
Fuck off.	Hunskastu burt.
Go on.	Farðu.
You can't seriously advise me that what I've been doing is worth anything.	Þú getur ekki í alvöru sagt mér... að það sem ég hef verið að gera sé einhvers virði.
Yes, I can.	Jú.
I just did.	Ég var að því.
( LAUGHS ) Do you know what a woman's for in film?	Veistu til hvers kona er í kvikmynd? Konur?
What this job is that I'm supposed to want?	Hvaða starf er þetta sem ég á að vilja?
I'm listening. A woman is there to get the hero to talk about himself.	Kona er þar til að fá... hetjuna til að tala um sjálfa sig.
About his hopes. About his fears.	Um vonir hans Um ótta hans.
Maybe even about his fascinating fucking childhood. - ( LAUGHS ) But I can't...	Jafnvel um heillandi... andskotans æsku hans.
I can't do it.	Ég get það ekki.
( CHUCKLES ) Either you're getting your kit off, opening up the trousers or brains of an idiot in a piece of shit.	Get ekki gert það. Annað hvort ertu að klæða þig úr, opna buxur eða... heila hálfvita í skítamynd.
Or you're shooting MOS in Genoa with some geriatric Italian pervert who really artistically needs the hero to stick his thumb up your arsehole in the 17th sex scene.	Eða þú ert að mynda án hljóðs í Genúa með einhverjum elliærum, ítölskum perra sem listrænt þarf að fá hetjuna til að setja þumalinn í rassgatið á þér í sautjándu kynlífssenunni.
( CHUCKLES ) Right.	Einmitt.
And I thought that I was going to die.	Ég hélt ég myndi deyja.
So I thought I'll just go home and I'll have a week for myself.	Svo ég hugsaði: Ég fer bara heim og tek viku fyrir mig.
I'll have a week for myself.	Ég tek viku fyrir mig."
A bath.	Bað..."
But then I couldn't go out again and now it's all this.	Og svo gat ég ekki farið aftur út... og núna er það allt þetta.
You ever had it since?	Hefurðu fundið fyrir því eftir það?
Fear?	Ótta?
Um... Thanks for coming on, for taking the job.	Takk fyrir að koma og... taka starfið að þér.
I haven't taken the job.	Ég hef ekki þegið starfið.
Good night.	Góða nótt.
The man who did this, did the White House.	Maðurinn sem gerði þetta málaði Hvíta húsið.
Seriously, went to America, as one does when things go wrong.	Í alvöru, fór til Bandaríkjanna líkt og menn gera þegar illa fer.
I've heard of that.	Ég hef heyrt það.
You spent the night with her?	Eyddirðu nóttinni með henni?
I'm going to pretend you didn't ask the question.	Ég ætla að láta eins og þú hafir ekki spurt að því.
Did she tell you why she quit working?	Sagði hún þér af hverju hún hætti að vinna?
She doesn't like it.	Henni líkar það ekki.
Doesn't see the point.	Hún sér ekki tilganginn.
She didn't tell you why she quit?	Sagði hún þér ekki af hverju hún hætti?
She was raped in Italy.	Henni var nauðgað á Ítalíu.
There were no police involved, no newspapers.	Lögreglan flæktist ekki í málið. Né blöðin.
She can't really report things.	Hún getur ekki kært svona lagað.
What happened to the man who did it?	Hvað varð um manninn sem gerði það?
Well, it's an interesting story.	Það er áhugaverð saga.
Turns out there were Quaaludes dissolved in his Adescian Chianti.	Smjörsýrutöflur voru leystar upp í rauðvíninu hans.
A fucking lot of Quaaludes.	Hellingur af smjörsýrutöflum.
He's on a machine in Barnet.	Hann er tengdur við öndunarvél á Barnet.
You're late.	Þú ert seinn.
You knew about it.	Þú vissir af þessu.
What's the surprise, Billy?	Hvað er þetta óvænta, Billy?
You'll see, won't you?	Það kemur í ljós.
Good of you to turn up, Mitchel.	Gott af þér að koma, Mitchel.
Was this cunt late?	Var þessi ræfill seinn?
You know Mr Beaumont and Mr Fletcher.	Þú þekkir herra Beaumont og Fletcher.
He's not one of them.	Hann er ekki einn af þeim.
He's not one of them?	Er hann ekki einn af þeim?
He's not one of them, Billy.	Hann er ekki einn af þeim, Billy.
He's got a fucking foreskin, mate!	Hann er með forhúð, lagsi!
I got done by the Nation of Islam!	Meðlimir Íslamsþjóðar réðust á mig!
And even if he was one of them...	Og þótt hann væri einn af þeim...
And even if he was, what?	Og þótt hann væri það? Hvað?
What, you go down there, Bill, and pick up the first black boy you saw?	Fórstu þangað niður eftir, Bill... og greipst fyrsta svarta drenginn sem þú sást?
Example, you said.	Fordæmi, sagðir þú.
Even if it wasn't him, which it is him.	Þótt þetta væri ekki hann... en þetta er hann...
Well, it fucking is now.	Þetta er hann ekki núna.
You know when I was a kid, I was underprivileged, yeah?	Þegar ég var krakki var ég afskiptur.
My mother, don't get me wrong, she kept a nice place and that.	Ekki misskilja, mamma stóð sig vel, rétt eftir stríðið.
Just after the war, weren't a lot of money about.	Það var úr litlu að moða. En veistu hvað?
But you know what, I remember driving my girlfriend to Bermondsey, so she could go to a party with another boy.	Ég man að ég ók kærustunni minni til Bermondsey svo hún gæti farið í partí með öðrum pilti.
Well, she didn't think I knew.	Hún hélt að ég tæki ekki eftir því.
But I did.	Ég ég gerði það.
I fucking knew.	Ég vissi betur.
She made me feel like a right cunt.	Hún lét mér líða eins og ræfli.
What's that got to do with me?	Hvað hefur það með mig að gera?
Fuck!	Fjandinn!
Fuck me.	Fjandinn.
Look at that.	Líttu á.
Right in the heart.	Beint í hjartað.
You're an accessory now.	Þú ert núna samsekur.
It's a bit like being married, you know. It's for life.	Það er eins og hjónaband, þú veist, til lífstíðar.
Now, men that take it to the next level, they can do anything they fucking want, Mitchel.	Menn sem fara á næsta stig geta gert hvað sem þeir vilja.
Except keeping a guy like Billy from fucking up.	Nema komið í veg fyrir að náungi eins og Billy klúðri málunum.
That could be difficult, Mr Gant.	Það væri erfitt, herra Gant.
Oh, really?	Jæja?
( EXCLAIMING ) Take that cunt down the fucking estate. Make the other fucking Zulus see it.	Farðu með það í helvítis hverfið... þar sem blámennirnir finna það!
Or I'll fucking bury you, cunt!	Annars gref ég þig, ræfill!
Now I 'd invite you for a drink, but I'm running a bit bad at the moment.	Ég byði þér upp á drykk en ég er seinn fyrir.
You should ask a man before you put him under this sort of contract.	Þú ættir að spyrja mann áður en þú gerir hann bundinn þér á þennan hátt.
Let's have a word.	Spjöllum saman.
I didn't ask to know your business.	Ég bað ekki um að kynnast þínum málum.
I don't want to know your fucking business!	Ég vil ekki kynnast þínum málum!
Well, now you know my fucking business.	Núna þekkirðu mín mál.
What you want and what you don't want are two different fucking things.	Það sem þú vilt eða vilt ekki er tvennt ólíkt!
Now are we still friends?	Núna erum við enn vinir.
You're safe, if that's what you mean.	Þú ert óhultur ef þú átt við það.
As houses. Now, I know you. And I know that cunt.	Ég þekki þig og ég þekki þennan ræfil.
You want me to kill him?	Viltu að ég drepi ræfilinn?
That's what you said.	Ég sagði það ekki.
You said it.	Jú, þú sagðir það.
You said exactly that.	Þú sagðir nákvæmlega...
You fucking said it!	Þú sagðir það!
You know what the most powerful fucking thing is?	Veistu hvað færir mest völd?
Yeah, knowing what can go wrong.	Já, að vita hvað getur farið úrskeiðis!
For anybody, at any fucking time.	Fyrir hvern sem er, hvenær sem er!
Do you know that?	Veistu það?
( PANTING ) Well...	Jæja... af hverju erum við að öskra?
Look, what we shouting for? Why...	Af hverju öskrum við?
Like fucking men! Cunt.	Eins og helvítis menn!
Fucking cunt.	Ræfill.
CHARLOTTE: What do you think?	Hvað finnst þér?
MITCHEL: I want to live there.	Ég vil búa þarna.
When I was a kid, I imagined a big fuck-off house in London, this house.	Þegar ég var krakki ímyndaði ég mér risastórt hús í London, þetta hús.
But it's his house.	Þetta er húsið hans.
You have money of your own, right?	Áttu ekki sjálf peninga?
You ever had much money?	Hefurðu átt mikla peninga?
On and off.	Stundum.
Not freedom.	Ekki frelsi.
What's that? What?	Hvað er það?
I'm not being a fucking existentialist with a Gauloise, I'm just asking a question.	Ég er ekki tilvistarstefnu - fræðingur með sígarettu. Ég er bara að spyrja spurningar.
Ask another one. - ( LAUGHS ) How would you feel about going to a restaurant?	Spyrðu annarrar. Hvernig þætti þér að fara á veitingahús?
Like people?	Eins og fólk?
You would be sitting in a restaurant with a man who just got out of Pentonville, after doing three years for GBH.	Þú sætir þá á veitingahúsi með manni nýsloppnum úr fangelsi eftir að hafa afplánað þrjú ár fyrir alvarlega líkamsárás.
As much as I love the idea, I think it's the worst thing I could possibly do to you.	Þótt mér líki hugmyndin væri þetta það versta sem ég gæti gert þér.
Yeah, you 'd be ripped apart.	Já, þú yrðir rifinn í tætlur.
I wouldn't want that. © P @ rM!	Ég myndi ekki vilja það.
NdeR M @ nkÖÖ ™ Okay, I'm going to be very brave here.	Ég ætla að sýna mikinn kjark.
I'm going to be very bold and very brave.	Mikið hugrekki og kjark.
If I fell a little in love with you in the countryside, what would you do about it?	Ef ég varð pínulítið ástfangin af þér í sveitinni... hvað myndirðu gera?
Anything.	Hvað sem er.
Everything.	Allt.
I was talking shit earlier about going to a restaurant.	Ég var að bulla með að fara á veitingahús.
I can't. I mean, I can't even...	Ég get ekki... get ekki einu sinni...
I know.	Ég veit.
I know.	Ég veit.
PHOTOGRAPHER 1: Is she in there, mate!	Er hún inni, lagsi?
PHOTOGRAPHER 2: Oi, where's the cunt with the long hair?	Hvað heitirðu, lagsi?
Are you fucking her?	Ertu að ríða henni?
( LAUGHING ) ( GRUNTING ) I want you to organise collections, Streatham, Clapham and Kennington.	Ég vil að þú skipuleggir innheimtu í Streatham... Clapham og Kennington.
Don't know about that, Mr Gant.	Ég veit ekki með það, herra Gant.
Call me Rob.	Kallaðu mig Rob.
I'm not expecting you to go door to door, not in that suit.	Ég vænti þess ekki að þú gangir hús úr húsi jakkafataklæddur.
Fuck me, have a look at you.	Fjandinn, líttu á þig.
You know you could be anything you want to be.	Þú gætir orðið hvað sem þú vilt.
That's what I've always heard."	Ég hef alltaf heyrt það.
You could do anything."	Maður getur gert hvað sem er.
He couldn't run a firm, he couldn't even bring me the right spade.	Hann gat ekki einu sinni fært mér rétta surtinn.
( EXHALES ) I can recommend the lemon sole, it's blinding.	Ég mæli með sítrónusólflúrunni. Skuggalega góð.
Start with bottle of Sancerre and a bottle of Haut-Brion.	Byrjaðu á flösku af Sancerre... og flösku af Haut-Brion.
And a glass for each one.	Og glas fyrir hvorn okkar.
One glass, the right fucking glass.	Rétta helvítis glasið.
Sir?	Herra?
Send me the sommelier.	Sendu mér vínþjóninn.
You know, the wine geezer.	Þú veist, víngaurinn.
You're looking for two Kennington kids who bashed up some old wino.	Þú leitar að tveimur Kennington-strákum. Sem börðu gamlan róna?
Also, it's the love for the game.	Einnig ann ég leiknum.
Well, he's the belle of the ball.	En gaman.
Right.	Hann er balldrottningin. Einmitt.
No one's going to put him in a frame, Mitch.	Enginn gengur í skrokk á honum, Mitch.
You like this gaff?	Líkar þér þetta?
You like the life, yeah?	Líkar þér lífið?
Jerusalem.	Jerúsalem.
( CHUCKLING ) You're a fucking gangster.	Þú ert helvítis bófi.
You're part of my firm.	Þú ert hluti af fyrirtækinu mínu.
Well, there are times when a gangster is something to be.	Á stundum er eftirsóknarvert að vera bófi.
And when is that?	Og hvenær er það?
You're not gonna come and work for me, that's obvious.	Þú ætlar ekki að vinna fyrir mig, það er augljóst.
So when the fuck is it?	Svo hvenær í fjandanum er það?
You saw me shoot that fucking spade.	Þú sást mig skjóta surtinn.
Eh? You really think I'm going to let you walk free around this fucking planet? It ain't gonna happen.	Ef þú heldur að ég leyfi þér að ganga um frjálsum á þessari plánetu þá gerist það ekki.
See what you have to understand is that if I was a gangster, Rob, - you 'd be the first to fucking die. Huh.	Þú þarft að skilja að ef ég væri bófi, Rob, yrðir þú fyrstur til að deyja.
I wouldn't work for you.	Ég myndi ekki vinna fyrir þig, ég dræpi þig og hirti allt sem þú átt.
Oh.	Jæja?
If I were a gangster.	Ef ég væri bófi.
That's why you don't want me to be a gangster.	Þess vegna viltu ekki að ég sé bófi.
That's why nobody wants me to be a gangster, 'cause I could not stop if I started.	Þess vegna vill enginn að ég sé bófi því ég gæti ekki hætt ef ég byrjaði.
Do you get it?	Skilurðu það?
Don't ask again.	Ekki biðja aftur.
That's for the steak.	Þetta er fyrir steikina.
( COUGHING ) Welcome.	Velkominn.
I was just getting very high.	Ég var rétt að verða vel skakkur.
Of course you are. It's 6: 00 a.m.	Auðvitað ertu það, klukkan er sex að morgni.
You haven't been paid yet.	Þér hefur ekki enn verið borgað.
Rent on the flat.	Leiga fyrir íbúðina.
I'm not taking the job.	Ég tek ekki starfið.
( GRUNTING ) You all right?	Er allt í lagi með þig?
Well, I wasn't expecting you, but you'll do.	Ég átti ekki von á þér en þú dugar.
Mr Fletcher, Mr Beaumont. All right? Yeah.	Þetta eru vinir mínir, Fletcher og Beaumont.
So what are you doing here?	Hvað ertu að gera hér?
I thought the place would be empty.	Ég hélt að það væri mannlaust hér.
I came to collect some things of mine.	Ég kom til að sækja nokkrar eigur mínar.
Of yours?	Þínar?
When I had to leave.	Hluti sem ég skildi eftir þegar ég varð að fara.
You had to get your things in my flat?	Þurftirðu að sækja eigur þínar í íbúðinni minni?
( CHUCKLES ) It sounds silly, but it used to be mine.	Þetta hljómar kjánalega en hún var áður mín...
What?	Hvað?
When I was a kid I used to love going to the seaside with my uncle.	Þegar ég var krakki naut ég þess að fara til strandarinnar.
Well, he wasn't my uncle.	Ja, hann var ekki frændi minn.
He was with my mum.	Hann var með mömmu minni.
She had me, but he wasn't my uncle.	Hún átti mig.
He used to do things to me.	Hann var ekki frændi minn.
You know how that made me feel?	Veistu hvernig mér leið þá?
No.	Nei.
Go fuck yourself, Danny.	Éttu skít, Danny.
Everyone knows who I'm looking for and no one's bringing him to me.	Allir vita að hverjum ég leita og enginn færir mér hann.
I don't like that, Danny.	Mér mislíkar það, Danny.
All right, but you didn't hear it from me.	Þá það, en þú heyrðir það ekki frá mér.
What's his name and where is he?	Hvað heitir hann og hvar er hann?
Not in England.	Aldrei.
I don't want them to take your photograph.	Ég vil ekki að þeir taki mynd af þér.
No need for that, Mitch!	Þetta er óþarfi, Mitch!
Shall we go for a ride, Billy, you and me?	Eigum við að fara í bíltúr, Billy?
Or are you gonna get the hell out of here?	Eða ætlarðu að drulla þér héðan?
You're fucked, mate.	Þú ert búinn að vera.
How's that, Billy?	Hvernig þá, Billy?
Gant's got a hard-on for you.	Gant girnist þig.
Your head's all fucked up.	Þú ert snarruglaður.
Eh? It's all fucked up in your head.	Alveg snarruglaður í kollinum.
He said you owe him, you owe him.	Hann sagði að þú skuldaðir honum...
I don't owe him anything.	Ég skulda honum ekki neitt.
Get out of here, Billy.	Hypjaðu þig héðan, Billy.
Give us me some fucking keys then.	Láttu mig þá fá fjandans lyklana.
One last thing.	Eitt að lokum.
Three years ago when I did that guy, how did your hands look afterwards?	Fyrir þremur árum þegar ég rústaði gaurnum... hvernig litur hendurnar á þér út eftir á?
How did your hands look, Billy?	Hvernig litu þær út, Billy, líkt og ég viti það ekki!
You think I didn't fucking know?	Heldurðu að ég viti það ekki?
You're gone! You're gone, man!	Þú ert snarklikkaður!
I'm talking to a zero!	Ég er að tala við algjört núll!
Don't come around here again!	Ekki koma hingað aftur!
Gant wants that motor.	Gant vill fá bílinn.
Wants it!	Vill fá hann!
Next time, he'll come!	Næst kemur hann!
PHOTOGRAPHER 1: Hey, hey, hey!	Hver heldurðu að þetta sé?
Woah. Have a word.	Einhver ræfill.
How do you feel about guns, Jordan?	Hvað finnst þér um byssur, Jordan?
My dear boy, I'm a trained actor.	Kæri drengur, ég er lærður leikari.
I can feel anything about anything.	Mér getur fundist hvað sem er um hvað sem er.
You took it from a passing philosopher, I imagine.	Þú hefur líklega tekið hana heimspekingi sem átti leið hjá?
( SCOFFS ) You got somewhere to put it?	Veistu um stað til að geyma hana á?
I do.	Já.
I need to borrow a car.	Ég þarf að fá lánaðan bíl.
Why fuck around?	Til hvers að vera með hálfkák?
Hello, Billy.	Halló, Billy.
( GROANING ) Fuckin' A!	Andskotinn!
Get up!	Stattu upp!
Get up! Don't!	Komdu hingað!
Fuck! Fuck!	Fjandinn!
Come here! Come here! ( GROANING ) We can...	Við getum ráðið fram úr þessu!
We can work it out!	Þú meiðir mig!
You were in my house, Billy, where I fucking live!	Þú varst í húsinu þar sem ég bý!
He told me to go.	Hann sagði mér að fara...
What happened to the owner of my old place, Billy?	Hvað varð um eiganda gamla staðarins, Billy?
Huh?	Ha?
It was...	Ég...
The fuck it isn't.	Hvar í fjandanum er hann?
That fucking stupid bastard, he went in and he tried to get in to get some fucking clothes. Who? I don't know.	Helvítis hálfvitinn fór inn og reyndi að sækja föt...
I don't know.	Ég veit það ekki!
Yeah. So, Gant lost it!	Gant missti stjórn á sér!
Yeah, you know like he done that night with the fucking spade!	Líkt og þarna um kvöldið með surtinn!
He fucking lost it.	Hann gjörsamlega trylltist!
Yeah, so he took the cunt down to fucking Brighton.	Svo hann fór með ræfilinn niður til Brighton.
He took him down, he fucked him up the fucking arse and he cut his fucking head off, man!	Hann fór með hann, reið honum í rass og skar af honum hausinn!
I swear, Gant will kill everybody!	Gant vill drepa alla sem tengjast þér!
Does he know about my sister?	Veit hann um systur mína?
Everybody knows about your sister.	Allir vita um systur þína.
Come here!	Komdu hingað!
Look at me, you cunt!	Ræfillinn þinn!
Mitch!	Mitch!
All the fucking money is mine!	Allir gelvítis peningarnir tilheyra mér!
Give me that money. I'll give you my own fucking money.	Ég skal láta þig fá peningana mína!
Stay there!	Vertu kyrr þarna!
I'll give you my own fucking money.	Ég læt þig fá peningana mína!
What have you done to me?	Hvað hefurðu gert mér!
GANT: Is he all done and dusted?	Er allt frágengið með hann?
It's Mitchel.	Þetta er Mitchel.
And what physical condition is that Billy in?	Og í hvaða líkamsástandi er Billy?
Can we talk a little business, Rob?	Getum við rætt biðskipti, Rob?
I don't feel we got too much more to say.	Við eigum ósköp lítið vantalað.
Any more out of you and I'll be paying you a fucking visit and I'll cut your fucking throat!	Ef ég heyri aftur frá þér heimsæki ég þig ef sker þig á háls!
My friend owns it.	Vinur minn á hann.
Alfons!	Alfonze!
This is my sibling, Mitchel.	Þetta er bróðir minn. Mitchel.
Mitchel, this is Alfons.	Mitchel, þetta er Alfonze.
A pleasure.	Sönn ánægja.
I shall order for you both.	Ég skal panta fyrir ykkur bæði.
Yeah, all right, but nothing nasty.	Allt í lagi, en ekkert ógeðslegt.
( BOTH CHUCKLING ) That's Alfons.	Þetta er Alfonze.
Without a doubt.	Án efa.
Have you been drinking?	Hefurðu verið að drekka?
Can we not talk about anything important for a change?	Getum við sleppt því að tala um mikilvæga hluti?
Like the fact I've left Dr Raju.	Eins og það að ég fór frá Raju lækni.
Money, money, money, it's all you ever talk about.	Þú talar bara um peninga.
Your tie's undone.	Bindið er laust.
Yeah, it's been a long day.	Já, þetta hefur verið langur dagur.
Listen.	Heyrðu.
There are some people after me.	Það er fólk á eftir mér.
And they might try and hurt you. Ooh! Yeah. Ooh!	Þeir gæti reynt að meiða þig.
Very much so.	Ó. Já.
So I want you out of the country until I settle something.	Ég vil að þú farir úr landi þar til ég útkljái málið.
Well, the world's got an infinite number of places, could be anywhere.	Heimurinn hefur óendanlega margar staði, gæti verið hvar sem er.
Yeah, one of them's Paris.	Já, einn þeirra er París.
Here, a train ticket.	Hérna. Lestarmiði.
Ooh, Paris!	Ó, París.
Alfons, can we get...	Alfonze getum við fengið...
What should we have...	Hvað eigum við að fá okkur?
Two triple Sambucas on fire.	Tvo þrefalda, logandi Sambuca.
Briony. Make sure they're on fire.	Hafðu þá örugglega logandi.
( LAUGHING ) I like it when you take care of me.	Mér líkar þegar þú annast mig. Ég ann þér.
Don't miss the train.	Ekki missa af lestinni.
What?	Hvað?
Mitchel, I'm not going to drink, I promise I won't drink.	Mitchel, ég ætla ekki að drekka, ég lofa því.
I promise I won't drink!	Ég drekk ekki!
( CHUCKLES ) Yeah, it doesn't suit me.	Ég verð að fara til L.A. Já, það hentar mér ekki.
Right.	Einmitt.
Will you come with me?	Viltu koma með mér?
There's something I have to do first.	Það er dálítið sem ég þarf að gera fyrst.
But you'll come to America?	En kemurðu til Bandaríkjanna?
Yeah, I will.	Já, ég geri það.
Heard of the Chateau Marmont?	Kannastu við Chateau Marmont?
Yeah.	Já.
They have a list, it doesn't exist.	Þeir eru með lista sem er ekki til.
Your name will be on it.	Nafn þitt verður á honum.
( DOOR CLOSING ) You have a visitor.	Það er gestur til þín.
I'm not sure how to say this, but it's the sort of thing a celebrity really cannot afford to have in the newspapers.	Ég veit ekki hvernig ég á að orða þetta, en svona lagað má stjarna ekki við að fari í blöðin.
What are we going to do with him?	Hvað gerirðu við hann?
