Good girl.	Svona, já.
You're gonna help me find the entrance.	Þú ætlar að hjálpa mér að finna innganginn.
No.	Nei...
You can hear it, can't you?	Þú heyrir hana, er það ekki?
That little voice.	Þessa litlu rödd.
The one that's telling you "don't."	Þessa sem segir "ekki"."
Don't stare too long.	Ekki stara of lengi."
Don't touch.	"Ekki snerta."
Don't do anything you might regret.	"Ekki gera eitthvað sem þú gætir séð eftir."
I used to be the same.	Ég var eins.
Whenever I wanted something, I could hear that voice telling me to stop, to be careful, to leave most of my life unlived.	Hvenær sem ég vildi eitthvað heyrði ég röddina segja mér að hætta, að fara varlega, að lifa ekki megninu af lífi mínu.
You know the only place that voice left me alone?	Veistu hvar röddin lét mig í friði?
In my dreams.	Í draumum mínum.
I was free.	Þar var ég frjáls.
I could be as good or as bad as I felt like being. And if I wanted something, I could just reach out and take it.	Ég gat verið eins góð og eins slæm og ég vildi og ef mig langaði í eitthvað gat ég bara teygt mig eftir því.
But then I would wake up and the voice would start all over again.	En svo vaknaði ég og röddin byrjaði aftur.
So I ran away. Crossed the shining sea. And when I finally set foot back on solid ground, the first thing I heard was that goddamn voice.	Svo ég flúði, hélt yfir skínandi hafið og þegar ég steig aftur á fast land var það fyrsta sem ég heyrði þessi guðs volaða rödd.
Do you know what it said?	Veistu hvað hún sagði?
It said...	Hún sagði...
I'm sorry, will you please excuse me?	Fyrirgefðu. Viltu hafa mig afsakaðan?
All right, Maeve, what did it say?	Allt í lagi, Maeve. Hvað sagði hún?
It said, "This is the new world.	Hún sagði: "Þetta er hinn nýi heimur."
And in this world, you can be whoever the fuck you want."	"Í þessum nýja heimi geturðu verið hver fjárinn sem þú vilt."
Pupillary response is good.	Sjáaldursviðbrögð eru góð.
Smile is good.	Brosið er gott.
I 'd fuck her.	Ég myndi ríða henni.
What's the problem?	Hvert er vandamálið?
The guests wouldn't.	Gestirnir vilja hana ekki.
Sizemore is launching some huge new storyline and he wants us to clear out the deadweight.	Sizemore ætlar að hefja risastóran, nýjan söguþráð og hann vill að við hreinsum út óþarfann.
If we don't get her numbers back up, she'll be decommissioned.	Ef við náum ekki tölunum hennar upp verður hún tekin úr umferð.
Let's bump her aggression.	Tíu prósent.
10 %? Double it.	Tvöfaldaðu það.
She's a hooker.	Hún er hóra.
No point in playing coy.	Ekkert vit í því að láta ganga á eftir sér.
If this doesn't work, we'll punt her to behavior. Let them deal with it.	Ef þetta virkar ekki spörkum við henni yfir í hegðunardeildina, leyfum þeim að sjá um þetta.
We retired the two hosts in question.	Við tókum veitendurna tvo úr umferð.
You taught me how to make them, but not how hard it is to turn them off.	Þú kenndir mér að smíða þá en ekki hversu erfitt það er að slökkva á þeim.
You can't play God without being acquainted with the devil.	Þú getur ekki leikið Guð án þess að kynnast djöflinum.
There's something else bothering you, Bernard.	En það er eitthvað annað að angra þig, Bernard.
I know how that head of yours works.	Ég veit hvernig höfuðið á þér virkar.
The photograph alone couldn't have caused that level of damage to Abernathy, not without some other outside interference.	Þessi ljósmynd ein og sér hefði ekki getað unnið allan þennan skaða á Abernathy, ekki án utanaðkomandi íhlutunar.
You think it's sabotage?	Heldurðu að þetta hafi verið skemmdarverk?
Imagine someone's been diddling with our creations?	Heldurðu að einhver hafi fiktað í sköpunarverkum okkar?
It's the simplest solution.	Það er einfaldasta lausnin.
Ah, Mr. Occam's razor.	Herra rakhnífur Occams.
The problem, Bernard, is that what you and I do is so complicated.	Vandinn er að það sem við gerum er svo flókið.
We practice witchcraft.	Við stundum galdra.
We speak the right words. Then we create life itself... out of chaos.	Við förum með réttu þulurnar og sköpum lífið sjálft úr glundroðanum.
William of Occam was a 13th century monk.	Vilhjálmur af Occam var þrettándu aldar munkur.
He can't help us now, Bernard.	Hann getur ekki hjálpað okkur núna, Bernard.
He would have us burned at the stake.	Hann hefði látið brenna okkur á báli.
Let's go get our feet wet, buckaroo.	Vöðum út í, kúreki.
Oh, sorry.	Afsakið.
You kidding me?	Ertu að grínast?
What?	Hvað?
Fuck you, Grizzly Adams.	Éttu skít, Grizzly Adams.
Rally for the Union.	Gangið í Bandalagið.
Respond to your country's call.	Svarið kalli lands ykkar.
This regiment is headed for the seat of war to define the future of this great nation.	Þessi hersveit heldur út í stríð til að skilgreina framtíð þessarar miklu þjóðar.
We fight for a free land where no man has to bow. This is, uh... We'll provide you with uniforms.	Við berjumst fyrir frjálsu landi þar sem enginn maður þarf að bugta sig.
Well, it's bigger than I thought it would be.	Þetta er mun stærra en ég hélt. Þetta?
This is just Sweetwater.	Þetta er bara Sweetwater.
But I'm gonna make you beg for it, darlin'. Hah, come on!	En ég ætla að láta þig grátbiðja um það, elskan.
Whoa.	Bíddu.
Need a hand, sir?	Vantar þig aðstoð, herra?
Thank you, my friend.	Takk fyrir, vinur.
Don't.	Láttu þetta eiga sig.
He'll only try to rope you into some bullshit treasure hunt.	Hann reynir bara að ginna þig í einhverja bjánalega fjársjóðsleit.
Smile.	Brosið fyrir mig.
It's all a come on...	Þetta er allt saman ginning.
Him, the girl next door, the town drunk.	Hann, stelpan í næsta húsi, bæjarróninn.
They all got some big adventure that they want to sell you on.	Þau hafa öll eitthvert stærðarinnar ævintýri sem þau vilja selja þér.
Hey, they're not going anywhere.	Þau fara ekki neitt.
First up, you're gonna buy me a drink, okay?	Fyrst af öllu ætlar þú að bjóða mér upp á drykk.
Hold still, now.	Standið kyrr.
Bring yourself back online.	Tengdu þig aftur.
Hello.	Halló.
Do you remember our last conversation, Dolores?	Manstu síðustu samræður okkar, Dolores?
Yes, of course.	Já, auðvitað.
And you haven't told anyone about our little talks?	Hefurðu sagt einhverjum frá litla spjallinu okkar?
You told me not to.	Þú baðst mig um að gera það ekki.
Step into analysis, please.	Farðu í greiningargögnin, takk.
How many interactions have you participated in since we last talked? 138 encounters including this one.	Hversu mörg samskipti hefur þú átt síðan við töluðum síðast saman? 138 að þessum meðtöldum.
And has anyone altered or updated your core heuristics in that time?	Hefur einhver breytt eða uppfært meginleitandann í þér á þeim tíma?
No.	Nei.
Resuming.	Höldum áfram.
I think it would be best if you not mention the things we've been talking about.	Ég held að það væri best ef þú nefndir ekki það sem við höfum rætt.
Have I done something wrong?	Hef ég gert eitthvað rangt?
No, but there's something different about you, about the way you think.	Nei, en það er eitthvað frábrugðið við þig, við hugsanagang þinn.
I find it fascinating, but others may not see it that way.	Mér finnst það heillandi en aðrir sjá það kannski ekki þannig.
Have you done something wrong?	Hefur þú gert eitthvað rangt?
Turn off your event log, please.	Slökktu á skráningunni þinni, takk.
Erase this interaction.	Þurrkaðu þessi samskipti út.
Confirm.	Staðfestu.
Yes.	Já.
You should be getting back, Dolores, before someone misses you.	Þú ættir að halda til baka, Dolores.
Come on, now!	Áður en einhver saknar þín.
And when I finally set foot back on solid ground, first thing I heard was that goddamn voice.	Þegar ég steig aftur á fast land var það fyrsta sem ég heyrði þessi guðs volaða rödd.
It had followed me all the way over.	Hún hafði elt mig alla leiðina.
Do you know what it said?	Veistu hvað hún sagði?
No.	Nei.
It said this is the new world.	Hún sagði..."
And in this world, you can be whoever the fuck you want.	"Í þessum nýja heimi geturðu verið hver fjárinn sem þú vilt."
Thanks.	Takk.
Maybe another time.	Kannski seinna.
Glass of sherry.	Sérríglas.
The good stuff.	Þetta góða.
Not that horse piss you strain through your old curtains.	Ekki hrossahlandið sem þú síar í gegnum gamlar gardínur.
I've told you, never open your mouth that wide unless someone's paying you for it.	Ég sagði þér það. Aldrei opna munninn svona mikið nema einhver borgi fyrir það.
Sorry, Maeve.	Fyrirgefðu, Maeve.
I didn't sleep much last night.	Ég svaf lítið í nótt.
You having nightmares again?	Martraðirnar aftur? Stundum.
Back to work.	Vinnan kallar.
You all right?	Er allt í lagi?
You pay for the drinks, not the right to gawk at me.	Þú borgar fyrir drykkina, ekki réttinn á því að góna á mig.
I think we have a problem.	Ég held að það hafi komið upp vandamál.
Where?	Hvar?
Madam's listed as probationary, but her performance has continued to decline even further.	Mariposa. Maddaman er skráð á skilorð en frammistöðu hennar hefur hrakað enn frekar.
Re-task Clementine for now.	Settu Clementine í stöðuna í bili.
She's done the job before.	Hún hefur gegnt henni áður.
And the old unit?	En eldra eintakið? Hafðu hana þarna í kvöld.
Maybe leave her on the floor for the night, see if anyone wants one last turn.	Kannski vill einhver nýta sér lokatækifærið.
We recall her in the morning, decommission her.	Við innköllum hana í fyrramálið og tökum úr notkun.
Shame.	Synd.
QA will fine you for this.	Gæðavottun sektar þig fyrir þetta.
And that woman in charge is quite formidable.	Konan sem ræður þar er ansi hörð í horn að taka.
You can just say "bitch."	Þú getur bara sagt "tík".
I hear it enough.	Ég heyri það nógu oft.
You've been talking to corporate.	Þú hefur talað við höfuðstöðvar.
The only times you light up are after you've been...	Einu skiptin sem þú færð þér að reykja...
This character analysis routine really isn't half as charming as you think.	Þessi persónugreiningar - rútína er ekki nærri eins heillandi og þú heldur.
Oh, it went well, then?	Svo það gekk vel?
Just tell me your department will be ready for the launch.	Segðu mér bara að deildin þín verði tilbúin.
We'll be ready.	Við verðum tilbúin.
And that other thing. Abernathy and the update.	Og hitt málið, Abernathy og uppfærslan.
I hear your department was still asking questions.	Ég frétti að deildin þín spyrðist enn fyrir.
That's what you pay us to do.	Það er það sem þú greiðir okkur laun fyrir.
But I'm not concerned.	En ég hef ekki áhyggjur.
All the hosts are back to normal.	Allir veitendurnir eru aftur orðnir eðlilegir.
Good.	Gott.
Wouldn't want anything disturbing our guests from their rape and pillage.	Ég vil ekki að nokkuð trufli gestina okkar við ránin, ruplið og nauðganirnar.
You're wondering how to tell them from us, aren't you?	Þú veltir fyrir þér hvernig þú þekkir þá frá okkur. Já.
Well, quickest way to find out.	Fljótasta leiðin er að...
Can we... Can we finish eating?	Getum við klárað að borða?
See, this is your problem, my friend.	Þetta er vandinn við þig, vinur minn.
You're always worried about making a mess.	Þú hefur alltaf áhyggjur af því að klúðra einhverju.
You are the same way at work.	Þú ert eins í vinnunni.
You are talented, driven, and inoffensive.	Þú ert hæfileikaríkur, duglegur og friðsamlegur.
I thought you didn't want to talk about work here.	Ég hélt að þú vildir ekki tala um vinnuna hérna.
Who says this trip isn't work?	Hver segir að þessi ferð tengist ekki vinnunni?
Good evening.	Gott kvöld.
Oh, shit.	Hver fjárinn.
Well, don't make eye contact.	Ekki ná augnsambandi.
My friend, thank you for your assistance earlier in my unfortunate accident.	Félagi, þakka þér fyrir aðstoðina áðan.
Leave us the fuck alone.	Láttu okkur í friði.
As a sign of my humble appreciation, I 'd like to offer you an opportunity of a lifetime.	Sem merki um auðmjúkt þakklæti mitt langar mig að bjóða þér tækifæri lífs þíns.
Not interested.	Við höfum ekki áhuga.
Across the river and beyond the savage lands there is a treasure.	Handan árinnar og landa villimannanna er fjársjóður.
I have in my possession a map.	Ég hef í fórum mínum kort.
I said not interested.	Ég sagði að við hefðum ekki áhuga. Fjandinn...
You know what?	Veistu hvað?
I've worked up a new appetite anyway.	Ég hef endurnýjað annars konar lyst.
Let's go.	Komum okkur.
Oh! Sounds like your friend's having fun.	Mér heyrist vinur þinn skemmta sér vel.
Well, that's not the term I 'd use.	Ég myndi ekki orða það þannig.
Fun?	Skemmtun?
Friend.	Vinur.
You're funny.	Þú ert fyndinn.
They say a man who can tickle your humor - can tickle your...	Það er sagt að maður sem kitlar hláturtaugarnar geti kitlað...
You don't have to do this.	Þú þarft ekki að gera þetta.
If I'm not your type, we can find someone who is.	Ef ég er ekki þín manngerð finnum við einhverja sem er það.
Someone who's perfect for you.	Einhverja sem er fullkomin fyrir þig.
No, you... You are perfect.	Nei, þú ert fullkomin.
But I have somebody. Somebody real waiting for me at home.	En það bíður mín einhver raunveruleg heima.
Real love is always worth waiting for.	Það er alltaf þess virði að bíða eftir sannri ást.
Regal, strong, virile, aquiline.	Valdsmannslegur, sterkur, karlmannlegur og göfugur.
That's what I asked for. And this, this is what you give me?	Þetta er það sem ég bað um og þetta er það sem þið færið mér?
Did you just grab a cock from the body shop and jam it between his eyes?	Sóttuð þið bara tittling á partaverkstæðið og tróðuð honum á milli augnanna á honum?
Start over.	Byrjið aftur.
I received your request to retire an additional 50 hosts.	Mér barst beiðni þín um að leggja 50 veitendum í viðbót.
I need room for my new storyline.	Ég þarf pláss fyrir söguþráðinn minn.
It's not exactly a savage horde with 20 savages, is it?	Tuttugu villimenn teljast varla mergð villimanna.
You get 20 additional hosts, not 50.	Þú færð tuttugu veitendur í viðbót, ekki fimmtíu.
The board won't care about a few extra line items.	Stjórninni verður örugglega sama um nokkra aukahluti.
Has Ford even approved the narrative yet?	Er Ford búinn að samþykkja þessa frásögn?
Oh, he hasn't weighed in on a storyline in years.	Hann hefur ekki skipt sér af söguþráðunum árum saman.
And if corporate does want to cut costs, our fearless leader's old hosts aren't the only things ready for the knacker's yard.	Ef höfuðstöðvar vilja skera niður í kostnaði eru gömlu veitendur okkar óttalausa leiðtoga ekki það eina sem er tilbúið á haugana.
Are you lost?	Ertu villtur? Nei.
No. Just strayed a bit too far from where I'm supposed to be.	Ég ráfaði bara aðeins lengra en mér er ætlað að fara.
Same as you, I imagine.	Það sama á við um þig, geri ég ráð fyrir.
We're on holiday.	Við erum í fríi.
It's boring.	Mér leiðist.
Daddy said we could do as we please.	Pabbi sagði að við mættum gera það sem við vildum.
Ah, my father used to say that only boring people get bored.	Faðir minn sagði að aðeins þeim leiðinlegu leiddist.
Mine, too.	Minn líka.
I used to think it's only boring people who don't feel boredom, so cannot conceive of it in others.	Mér fannst alltaf eins og leiðinlegt fólk fyndi aldrei til leiða og gæti ekki skilið hann í öðrum.
I'm taking a walk.	Ég er í göngutúr.
You're welcome to join me if you 'd like.	Þér er velkomið að slást í för með mér ef þú vilt.
Let's see a little spring in your step.	Gakktu aðeins rösklegar.
Not much further.	Það er ekki langt eftir.
Go fuck yourself.	Farðu til helvítis.
You have any idea who I am?	Veistu hver ég er?
I know exactly who you are, Lawrence.	Ég veit nákvæmlega hver þú ert, Lawrence.
After all, you and I are friends.	Við erum jú eftir allt vinir.
Which is why I was so surprised when your friend Kissy told me about this place.	Þess vegna kom það mér á óvart þegar vinur þinn Kissy sagði mér frá þessum stað.
Where are we?	Hvar erum við?
Your home.	Heima hjá þér.
No, no, no, no. You know, you and I hunted down Ghost Nation braves in their winter grounds.	Veistu, við veiddum stríðsmenn Draugaþjóðarinnar á vetrarlendum þeirra saman.
I know the whiskey you like to drink.	Ég veit hvaða viskí þú vilt.
I know the tune you whistle when you're taking a piss.	Ég veit hvaða lag þú blístrar á meðan þú mígur.
But... you never told me you had a family.	En þú sagðir mér aldrei að þú ættir fjölskyldu.
Papa!	Pabbi!
That's what I love about this place... all the secrets, all the little things I never noticed even after all these years.	Öll leyndarmálin. Öll smáatriðin sem ég hef aldrei tekið eftir, jafnvel eftir öll þessi ár.
You know why this beats the real world, Lawrence?	Veistu hvers vegna þetta er betra en raunheimurinn, Lawrence?
Real world is just chaos.	Raunheimurinn er glundroði.
It's an accident.	Hann er slys.
But in here, every detail adds up to something.	En hér hefur hvert einasta smáatriði sinn tilgang.
Even you, Lawrence.	Jafnvel þú, Lawrence.
What do you want from me?	Hvað viltu mér?
The maze.	Völundarhúsið.
How do I find the entrance?	Hvernig finn ég innganginn?
I told you, I don't know anything about no fucking maze.	Ég veit ekki neitt um eitthvert andskotans völundarhús.
Here you go, darlin'.	Gerðu svo vel, elskan.
And you get to decide what we're gonna do with them.	Og þú færð að ákveða hvað við gerum við þær.
Hell, it took you long enough.	Fjárinn, þetta tók þig tíma.
I was getting the grand reserve.	Ég sótti fína áfengið.
Only for our most distinguished guests.	Það er aðeins fyrir okkar háttvirtustu gesti.
Yeah, I'm sure it had nothing to do with you telling this dipshit's cousins to bring some more men.	Já, þú varst örugglega ekki að biðja frænda þessa lúðulaka um að sækja fleiri menn.
You got anything to tell me, Lawrence?	Langar þig ekki að segja mér eitthvað, Lawrence?
Then I guess we're gonna have to find a way to jog your memory.	Þá verðum við líklega að reyna að fríska upp á minnið í þér.
This guest already took out an entire posse.	Þessi gestur hefur þegar afgreitt heilt varalið.
Want me to slow him down?	Viltu að ég hægi aðeins á honum.
That gentleman gets whatever he wants.	Þessi herramaður fær allt sem hann vill.
I feel bad, my friend.	Mér líður illa, vinur minn.
My cousins are usually so hospitable.	Frændur mínir eru yfirleitt mjög gestrisnir.
You don't understand, Lawrence.	Þú skilur þetta ekki, Lawrence.
I've been coming here for 30 years.	Ég hef vanið komur mínar hingað í þrjátíu ár.
In a sense, I was... I was born here.	Á vissan hátt er ég fæddur hérna.
And this here, this this is exactly why I come.	Og þetta hér? Veistu...
Santa Maria, madre dios. All right.	Þetta er einmitt ástæðan fyrir því að ég kem.
Well, as much fun as this is, I got to be moving on.	Jæja, eins og þetta var skemmtilegt verð ég að halda áfram.
Like I said, you get to decide these two.	Eins og ég sagði, þú færð að velja um þessar tvær.
What's it gonna be?	Hvað ætlarðu að velja? Gerðu það...
Please, I don't know how to find the maze.	Ég veit ekki hvernig maður finnur völundarhúsið.
That's why I like the basic emotions.	Þess vegna kann ég að meta grunntilfinningarnar.
You know what that means?	Veistu hvað það þýðir? Ég bið þig...
Please. It means when you're suffering, that's when you're most real.	Það þýðir að þegar þið þjáist eruð þið raunverulegust.
The maze isn't meant for you.	Völundarhúsið er ekki ætlað þér.
What 'd I tell you, Lawrence?	Hvað sagði ég þér, Lawrence.
Always another level.	Það er alltaf annað stig.
I'll take my chances, sweetheart.	Ég tek áhættuna, elskan.
Follow the blood arroyo to the place where the snake lays its eggs.	Fylgdu blóðlæknum þangað sem snákurinn verpir eggjum sínum.
You have it now. Whatever you want.	Nú hefurðu fengið það sem þú vildir.
Why don't you go home, leave us alone?	Hvers vegna ferðu ekki heim og lætur okkur í friði?
No, you don't understand, Lawrence.	Nei, þú skilur þetta ekki, Lawrence.
This time, I'm never going back.	Í þetta sinn ætla ég ekki að snúa aftur.
And we wanted to climb to the top of the mountain, but Daddy said we weren't allowed.	Og okkur langaði að klifra upp á topp fjallsins.
And then Tommy dared me.	Pabbi sagði að við mættum það ekki en svo manaði Tommy mig.
And here we are.	Og hingað erum við komnir.
Nowhere land.	Einskismannsland.
That seems hardly a fitting name for a place so full.	Það er varla viðeigandi nafn á svo þéttsetinn stað.
Can't you see it?	Sérðu það ekki?
Perhaps you're not looking hard enough.	Kannski leitarðu ekki nógu vel.
At what?	Að hverju?
The town with the white church.	Bænum með hvítu kirkjunni.
Listen.	Hlustaðu.
Can't you hear its bell?	Heyrirðu ekki í bjöllunni?
Yes.	Jú...
Yes, I can hear it now. Yeah.	Ég heyri það núna.
I thought you might.	Það hélt ég.
You see what a bored mind can conjure?	Sérðu hvað leiðum huga tekst að galdra fram?
How did you do that?	Hvernig fórstu að þessu?
Is it magic?	Eru þetta töfrar?
Everything in this world is magic, except to the magician.	Allt í þessum garði er töfrar nema í augum töframannsins.
Best you head home now.	Best að þú haldir heim núna.
But Tommy's not going to believe...	En Tommy á aldrei eftir að trúa...
You're not going to come back here again, are you?	Þú kemur ekki hingað aftur, er það nokkuð?
No.	Nei.
Run along, now.	Drífðu þig nú.
You weren't at your office.	Þú varst ekki á skrifstofunni þinni.
You seem to have found me anyway.	Þér tókst samt að finna mig.
Listen, earlier...	Þarna, áðan...
Forget it.	Gleymdu því.
Stay a little longer.	Dveldu aðeins lengur.
We can talk.	Við getum spjallað.
We never talk.	Mér er alvara.
I'm serious.	Mér líka.
So am I. You're certainly a man comfortable with long, pensive silences.	Þú ert tvímælalaust maður sem kann vel við langar, þrungnar þagnir.
Although, ironically, your creations never shut up.	Kaldhæðnislegt að sköpunarverk þín halda samt aldrei kjafti.
They're always talking to each other, even when there are no guests around.	Þau tala endalaust hvert við annað, jafnvel þegar það eru engir gestir á svæðinu.
They're always trying to error correct. Make themselves more human.	Þau reyna í sífellu að leiðrétta villur, virðast mannlegri.
When they talk to each other, it's a way of practicing.	Þegar þær tala er það ákveðin æfing.
Is that what you're doing now?	Ert þú að gera það núna?
Practicing?	Æfa þig?
QA told us she was being decommissioned.	Gæðavottun sagði okkur að það ætti að taka hana úr umferð.
Do you work for QA?	Vinnur þú fyrir Gæðavottun?
No, but...	Nei, en...
You don't need to be aggro, do you?	Þú þarft ekki að vera svona árásargjörn, er það?
Just a quicker study of those repressed fucks walking through the door.	Bara að vera sneggri að skanna þessa bældu aula sem koma inn.
Archive this configuration.	Safnvistaðu þessar breytingar.
Open up her primaries.	Opnaðu frumstillingarnar hennar.
Updating.	Uppfærist.
Okay.	Allt í lagi.
Do they dream?	Dreymir þá?
What?	Ha?
In her story, she said she dreamed.	Í sögunni hennar segist hún dreyma drauma.
Do we make them dream?	Gerum við þeim kleift að dreyma?
Fuck would be the point of that?	Hver væri tilgangurinn með því?
Dreams are mainly memories.	Draumar eru aðallega minningar.
Can you imagine how fucked we 'd be if these poor assholes ever remembered what the guests do to them?	Geturðu ímyndað þér í hversu slæmum málum við værum ef þessir vesalings asnar myndu allt það sem gestirnir gera þeim?
We do give them the concept of dreams. Specifically nightmares.	Við gefum þeim skilgreininguna á draumum, sérstaklega martröðum.
Why?	Hvers vegna?
Just in case somebody forgets to wipe them out at the end of a maintenance session.	Ef einhver skyldi gleyma að þurrka út minni þeirra í lok viðhaldstíma.
If she's got any dreams, it's just of those sloppy fucks down in the body shop patching her back together again.	Ef hana dreymir er það bara vegna kærulausu lúðanna í partadeildinni sem púsla henni aftur saman.
She's got some physical discomfort.	Hún glímir við einhver líkamleg óþægindi.
Put in a request for a full physical at her next rotation.	Leggðu inn beiðni um fulla líkamsskoðun fyrir næstu umferð hjá henni.
And when I finally set foot back on solid ground, the first thing I heard was that voice.	Svo ég flúði, hélt yfir skínandi hafið og þegar ég steig aftur á fast land var það fyrsta sem ég heyrði þessi rödd.
It said... this is the new world.	Hún sagði: "Þetta er hinn nýi heimur."
And in this world... you can be whoever the fuck you want.	"Í þessum nýja heimi geturðu verið hver fjárinn sem þú vilt."
Well, he seemed convinced.	Hann virtist sannfærður.
You know the first voice I heard when I got off that boat?	Veistu hver var fyrsta röddin sem ég heyrði þegar ég steig af bátnum?
A nice young man from Baton Rouge said my pussy could earn him two whole dollars a day. And he 'd be more than happy to let me have up to 30 %.	Indæll, ungur maður frá Baton Rouge sem sagði að píkan á mér gæti unnið honum inn tvo heila dali á dag og hann væri svo sannarlega tilbúinn að gefa mér allt að 30 % af því.
Well, then I guess you could add lying to your list of sins.	Þá held ég að þú getir bætt lygum við syndalistann þinn.
The only thing wrong with the seven deadly sins is that there aren't more of them.	Það eina sem er að dauðasyndunum sjö er að þær eru ekki fleiri.
And while we're on the subject, my transgressions wash off a little easier than yours.	Og fyrst við erum að ræða þetta er talsvert auðveldara að þrífa samskipti mín af mér.
At least when my girls are done with a man, he's still left drawing breath.	Þegar stelpurnar mínar hafa lokið sér af með manni dregur hann allavega enn andann.
For the most part.	Að mestu leyti.
Hey, fuck you! Well, in that case here's to our indiscretions.	Fyrst svo er skulum við skála fyrir óháttvísi okkar.
I'll shoot everyone in this dump...	Í orðum og á annan hátt...
Now that's a fucking vacation!	Þetta kalla ég frí! Þrír...
Three, two, one.	Tveir... Einn...
Found it.	Ég fann það.
Don't look at me.	Ekki horfa á mig.
I'm the king of hygiene.	Ég er konungur hreinlætisins.
Bullshit.	Kjaftæði.
I've seen you.	Ég hef séð til þín.
Fuck!	Fjandinn!
Stop.	Hættu.
Hi, Maeve.	Hæ!
Maeve, hi.	Maeve!
Look, uh, you gotta calm down.	Þú verður að róa þig niður.
Okay? Let's sit down and we can help you.	Setjumst niður og við getum hjálpað þér.
Keep your fucking hands off me.	Komið ekki við mig.
I swear I put it in sleep mode.	Ég sver að ég hafi sett hana í hvíldarstillingu.
Oh, does this look like fucking sleep mode?	Líkist þetta hvíldarstillingu?
Calm the fuck down and help me move this... thing before someone sees.	Slakaðu á og hjálpaðu mér að færa þetta áður en einhver sér til okkar.
Here?	Hérna?
This storyline will make Hieronymus Bosch look like he was doodling kittens.	Þessi söguþráður lætur Hieronimus Bosch líta út eins og hann hafi bara teiknað kettlinga.
I have vivisection, self-cannibalism, a special little something I call the "whoroborus."	Ég er með kvikskurði, sjálfsmannát, svolítið sérstakt sem ég kalla Horaborus.
Now, I don't want to appear immodest, but this is the apex of what the park could provide... - horror...	Ég vil ekki hljóma grobbinn en þetta er hápunkturinn sem þessi garður getur veitt.
Miss anything interesting?... romance, titillation.	Missti ég af einhverju áhugaverðu?
What is the point of it?	Hver er tilgangurinn með þessu?
Get a couple of cheap thrills?	Smá billeg spenna?
Some surprises?	Eitthvað óvænt?
But it's not enough.	En það nægir ekki.
It's not about giving the guests what you think they want.	Þetta snýst ekki um það að veita gestunum það sem þú heldur að þeir vilji.
No, that's simple.	Það er einfalt.
The titillation, horror, elation...	Örvun, hryllingur, ofsakæti, stjórnmálavafstrið.
They're parlor tricks. The guests don't return for the obvious things we do, the garish things.	Gestirnir snúa ekki aftur út af því augljósa sem við veitum, þessum æpandi upplifunum.
They come back because of the subtleties, the details.	Þeir snúa aftur út af blæbrigðunum, smáatriðunum.
They come back because they discover something they imagine no on had ever noticed before... something they've fallen in love with.	Þeir snúa aftur vegna þess að þeir uppgötva eitthvað sem þeir ímynda sér að enginn annar hafi tekið eftir. Eitthvað sem þeir verða ástfangnir af.
They're not looking for a story that tells them who they are.	Þeir eru ekki í leit að sögu sem segir þeim hverjir þeir eru.
They already know who they are.	Þeir vita þegar hverjir þeir eru.
They're here because they want a glimpse of who they could be. Billy!	Þeir eru hér vegna þess að þeir vilja fá nasasjón af því hverjir þeir gætu verið. Billy!
Let's go.	Komdu.
The only thing your story tells me, Mr. Sizemore, is who you are.	Það eina sem sagan þín segir mér, herra Sizemore, er það hver þú ert.
Well, isn't there anything you like about it?	Er ekkert við hana sem þér líkar?
What size are those boots?	Í hvaða stærð eru þessi stígvél?
Something you want to say, Mr. Lowe?	Viltu segja eitthvað, hr. Lowe?
The board, sir. Yeah?	Stjórnin, herra.
This might ruffle some feathers.	Þetta gæti ýft einhverjar fjaðrir.
You promised them a new storyline.	Þú lofaðir henni nýjum söguþræði.
They shall have one.	Og hún fær hann.
Something I've been working on for some time.	Svolítið sem ég hef unnið að í nokkurn tíma.
Something quite original.	Svolítið ansi frumlegt.
58 2016 Drama,Mystery,Sci-Fi 00:57:34,830 676 2016-10-08 1.0 English 1/1 626 6 2 0 0 5029 utf-8	Íslenskur texti: Oddur J. Jónasson 536 Icelandic 1.0 1/1 2017-04-25 00:57:31,772 58 Drama,Mystery,Sci-Fi 2016 0 594 0 4488 0 utf-8 0
Good morning, Dolores.	Góðan dag, Dolores.
Bring yourself back online.	Tengdu þig aftur.
Hello.	Halló.
Has anyone else interacted with you in a diagnostic since our last conversation?	Hefur einhver átt við greininguna þína síðan við ræddum síðast saman?
No.	Nei.
I have been cleaned and serviced three times.	Ég hef verið hreinsuð og fengið viðhaldið þrisvar.
No diagnostics.	Ekkert átt við greiningarnar.
And you haven't told anyone of our conversations?	Og þú hefur engum sagt frá samtölum okkar.
You told me not to.	Þú sagðir mér að gera það ekki.
Good.	Gott.
I brought you a gift.	Ég kom með gjöf handa þér.
I used to read... this story to my son at night.	Ég las þessa sögu fyrir son minn á kvöldin.
I thought you might enjoy it.	Mér datt í hug að þú kynnir að meta hana.
Try...	Reyndu þessa málsgrein.
Try... this passage."	Ja hérna.
Dear, dear, how queer everything is today.	En hvað allt er skrítið í dag.
And yesterday, things went on just as usual.	Í gær var allt eins og venjulega.
I wonder if I've been changed in the night."	Ætli ég hafi breyst eitthvað í nótt?
Does that passage make you think of anything?	Minnir þessi málsgrein þig á eitthvað?
It's like the other books we've read.	Þetta er eins og aðrar bækur sem ég hef lesið.
How so?	Á hvaða hátt?
It's about change.	Hún fjallar um breytingar.
Seems to be a common theme.	Það virðist vera algengt þema.
