Affirmative.	Staðfest.
Yeah, come on! Come on!	Reyndu það bara!
You were sweating in there.	Þ ú svitnaðir þarna inni.
You're not as tough as you think.	Þ ú ert linari en þú heldur.
Thanks for getting me out, Walsh.	Þakka þér fyrir að ná mér út, Walsh.
Me?	Ég?
Are you hungry?	Ertu svangur?
Nope.	Nei.
Well, I am.	Ég er það.
I thought you were supposed to be working.	Ég hélt þú ættir að vera í vinnu.
I quit.	Ég er hættur.
I'm sorry?	Ég heyrði ekki.
I said, I quit!	Ég sagðist vera hættur!
Oh, I see.	Ég skil.
You quit.	Þ ú ert hættur.
Maybe I should quit helping some punk make something of his life.	Ég ætti að hætta að hjálpa ræfli að verða að manni.
What happened to Kluck-A-Bucks?	Hvað varð um Kluck-A-Bucks?
I was in a chicken costume, giving out coupons.	Ég var í hænubúningi og dreifði afsláttarmiðum.
It didn't fit my image.	Hæfði ekki ímyndinni.
What image?	Hvaða ímynd?
You're unemployed, you're invisible.	Þ ú ert atvinnulaus og ósýnilegur.
You're not even a statistic.	Ekki einu sinni staðtala.
John, a job is a job!	John, vinna er vinna!
Tell that to the white boys!	Segðu hvítu strákunum það!
You're gonna have to try harder!	Þ ú verður að gera betur.
You can clean shithouses, as long as it's an honest buck.	Þ ú getur þrifið skítakamra gegn greiðslu.
I won't clean shithouses.	Ég þríf ekki skítakamra.
Take a look around you.	Líttu í kringum þig.
Is this it?	Er þetta lífið?
You gonna be happy with this your whole life?	Gerirðu þig ánægðan með þetta alla ævi?
You tell me what it is that you wanna do.	Segðu mér hvað þú vilt gera.
Maybe a cop, like my father.	Kannski verða lögga eins og pabbi.
You don't have what it takes.	Þig vantar allt til þess.
Talking about your father, I tell you, he was..."	Vel á minnst, faðir þinn. Ég segi bara að hann..."
The best cop ever."	Besta lögga sem hefur lifað."
He's dead!	Hann er dauður.
So what does that say?	Hvað táknar það?
Not too much, according to you.	Ekki mjög mikið ef eitthvað er að marka þig.
But he was my partner! He saved my life!	En hann var félagi minn og bjargaði lífi mínu.
You understand?	Skilurðu?
He was stupid.	Hann var heimskur.
You're here and he's gone.	Þ ú ert hér og hann er dauður.
I can't help that.	Ég get ekki að því gert.
I'll tell you about your dad.	Ég skal segja þér frá pabba þínum.
We're sitting in on a stakeout...	Við vorum að fylgjast með...
Oh, God, not again!	Guð minn, ekki aftur!
What about Seymour?	Hvað um Seymour?
What does he do with his life?	Hvað gerir hann í lífinu?
Drugs?	Dópar?
Play Cornbread?	Þykist Cornbread?
Who can he look up to? You?	Getur hann litið upp til þín?
You're too involved with yourself!	Þ ú ert of flæktur í sjálfan þig!
Go ahead, turn your back on me like you always do!	Snúðu bara bakinu við mér eins og þú gerir alltaf.
Hey, John!	John!
It ain't gonna fall from the sky!	Það kemur ekki af himnum ofan!
You gotta work for what you want!	Þ ú verður að vinna fyrir því sem þú vilt fá.
Look at me, at least!	Horfðu að minnsta kosti á mig.
I'm yelling at you!	Ég öskra á þig!
It was about 90 degrees.	Það voru um 90 gráður.
You got kids?	Áttu börn?
Johnny!	Johnny!
Sweet and sour pork very, very good!	Súrsætt svín. Mjög góður.
How 'd you like the lawyer?	Hvernig var lögfræðingurinn?
Filthy.	Skítugur.
This is the system designed to cut down on fraud and unpaid charges.	Kerfinu er ætlað að draga úr svikum og ógreiddum gjöldum.
We developed this through interviews with 300 Dynasty Club authorizers.	Við þróuðum þetta með því að tala við 300 heimildamenn Dynasty-félagsins.
This computer can determine credit approval.	Þessi tölva getur kveðið úr um lánstraust.
The computer decides who gets credit and who doesn't?	Ákveður hún hver fær lán og hver ekki?
Who would have guessed? Technology.	Ótrúleg þessi tæknikunnátta.
Remember when you had to heat an iron on the stove?	Manstu þegar þurfti að hita straujárn á eldavélinni?
I have no frame of reference.	Ég hef ekkert minni.
I'm a man of the computer age.	Ég er uppi á tölvuöld.
Another tough question.	Önnur erfið spurning.
Yes?	Já?
I lose my credit card.	Ég týni greiðslukortinu.
Someone finds it and goes on a shopping spree.	Finnandinn kaupir og kaupir.
Please. Sit.	Gerðu svo vel að setjast.
I'm listening.	Ég hlusta.
Does the computer pick up on that?	Greinir tölvan slíkt?
Well, yes and no.	Já og nei.
It's harder during Christmas, when shopping's heavier.	Það er erfitt um jólin því þá er svo mikið verslað.
On the whole, it's a very effective system.	Yfirleitt er þetta mjög skilvirkt.
Ain't that something.	Erðekki einstakt?
I hate to be so pedantic, but it's "isn't that something."	Fyrirgefðu smámunasemina en það er "er það ekki einstakt?"
Isn't that something?	Er það ekki einstakt?
Yes. It's a shame.	Jú, það er synd.
What is?	Hvað er synd?
Mr. Forrest's death.	Að Forrest dó.
It's a shame.	Það er synd.
Could I get a printout of the names on that tape?	Get ég fengið útprent með nöfnum þeirra sem eru á upptökunni?
Certainly.	Vissulega.
Anything else I could do?	Get ég gert fleira?
No, thank you.	Nei, þakka þér fyrir.
Thank you for the English lesson.	Þakka þér fyrir móðurmálskennsluna.
I got what you need!	Ég er með það sem þú þarft.
Hey, get high off this!	Vertu hátt uppi af þessu!
Yo, check it out, baby!	Sjáðu þetta, elskan!
Hey, nice lady!	Fín kona!
You look good!	Þ ú lítur vel út.
Hey, buy a book for your kid.	Kauptu bók handa barninu þínu.
Tell your mommy to buy a book.	Segðu mömmu þinni að kaupa bók.
Screw you!	Fjandinn hirði þig.
I'll knock you out!	Ég skal rota þig!
Customer's always right.	Kúnninn fer alltaf með rétt mál.
Folks, knowledge is the key.	Þekkingin er lykillinn, gott fólk.
No one cares about children.	Engum er annt um börnin.
Why else is Bush in office?	Af hverju væri Bush annars í embætti?
I gotta do something.	Ég þarf að gera eitthvað.
Fuck Walsh!	Walsh...
He don't care about us!	Fjandans Walsh er sama um okkur!
Stay here and sell these damn books!	Vertu hér og seldu skræðurnar!
I'm going to get paid!	Ég ætla að fá greitt!
Ladies and gentlemen, knowledge is the key to understanding and...	Ágæta fólk, þekkingin er lykillinn að skilningi og...
Damn!	Fjandinn!
We gonna get paid today!	Við fáum launin í dag!
Yo, my man!	Vinur.
Come and play a game of three-card.	Komdu í þríspil.
Red card.	Rauða spilið.
You want the red card.	Finndu rauða spilið.
Excuse me?	Afsakaðu.
How much is this book?	Hvað kostar þessi bók?
For you?	Fyrir þig?
Free, take it.	Taktu hana.
Nothing in America is free.	Ekkert er ókeypis í Ameríku.
Love is.	Jú, ástin.
Really?	Í alvöru?
I think your kid will like it.	Barninu þínu líkar þessi bók.
I don't have a kid.	Ég á ekkert barn.
Yes, Lord.	Já, Drottinn.
Two dollars.	Tveir dalir.
What happened to free?	Ekki lengur ókeypis?
It's America, remember?	Við erum í Ameríku, manstu.
This is great.	Þetta er frábær bók.
You should read it.	Þ ú ættir að lesa hana.
Yeah?	Jæja?
Could I read it to you now?	Á ég að lesa hana fyrir þig núna?
I'll take my book before it melts.	Ég tek bókina áður en hún bráðnar.
Come again.	Komdu aftur.
And again and again.	Og aftur og aftur.
Never the black.	Aldrei það svarta.
You want the red.	Taktu það rauða.
I think the lady wants to play.	Dömuna langar að spila. Ágætt!
All right!	Græddu.
Make a buck, 10 gets you 20.	Fyrir 10 færðu 20.
How do you know?	Hvernig veistu það?
Trust me.	Treystu mér.
I sell children's books.	Ég sel barnabækur.
Come on, Miss Lady Girl.	Svona, ungfrú dömustúlka.
Never the black, always the red!	Aldrei það svarta, alltaf rautt.
Open your ears, and hear what I said!	Opnaðu eyrun og hlustaðu á mig.
What you got?	Hvað ertu með?
You sure?	Ertu viss?
Yeah, she wants the right card. Bam!	Já, hún vill rauða spilið.
We got a lucky winner, you all!	Hér er heppinn sigurvegari!
Winner!	Sigurvegari!
Winner!	Sigurvegari!
See, it ain't impossible!	Sjáið, það er ekki útilokað.
Here!	Hérna.
Forty gets you 80!	40 gefa þér 80!
Once again, never the black!	Enn og aftur, ekki það svarta.
You want the red.	Þ ú vilt það rauða.
Middle card.	Miðspilið.
You sure you want this one?	Ertu viss um að þú viljir þetta?
You sure?	Alveg viss?
Come on.	Svona nú.
She won!	Hún vann.
Another lucky winner!	Annar heppinn vinningshafi.
I think she won all that!	Ég held hún hafi unnið þetta allt.
Oh, you won it all!	Þ ú vannst þetta allt.
This is her lucky day!	Happadagurinn hennar!
You're gonna take the money and run?	Ætlarðu að fara með peningana?
I won it.	Ég vann þá.
You sold me out for some ass?	Sveikstu mig fyrir kvenmann?
What do I do now?	Hvað geri ég nú?
Sell those books.	Seldu þessar bækur.
Sell some books?	Selja bækur?
Excuse me, I didn't get your name.	Ég veit ekki hvað þú heitir.
Amber?	Amber?
I like that!	Fínt nafn.
Excuse me, Miss Amber.	Afsakaðu, ungfrú Amber.
Can we get together for lunch?	Getum við borðað saman í hádeginu?
Can we get together?	Getum við verið saman?
I'm busy.	Ég er upptekin.
Hi, remember me?	Manstu eftir mér?
How about dinner?	Hvað um kvöldmat?
How about breakfast?	Hvað um morgunmat?
How about a drink?	En drykk?
The water fountain's right over there.	Vatnskraninn er þarna. Hún vill mig.
I'm applying for the mailroom job.	LAUSAR STÖĐUR Ég sæki um starfið í póstdeildinni.
Did you fill out an application?	Fylltirðu út umsókn?
No.	Nei.
Here.	Hérna.
Fill this out.	Fylltu þetta út.
Good luck.	Gangi þér vel.
Thanks.	Takk.
I really mean it.	Ég meina það.
Good luck.	Gangi þér vel.
Many people say that.	Margir segja þetta.
They're crazy!	Ruglað fólk!
They want you to have bad luck.	Þau vilja að manni gangi illa.
But I believe everyone can succeed.	En ég held öllum geti gengið vel.
Homeboy!	Vinur!
I refuse to get paranoid or hostile in a competitive situation.	Ég fæ ekki ofsóknarkennd eða verð fjandsamleg í samkeppni.
I gotta conquer the whole self-esteem thing.	Ég verð að sigra allt þetta sjálfsmat.
Boom!	Búmm!
I have an eating disorder, you know. No?	Ég hef átröskun, veistu.
Sure.	Nei?
Threw up on the way over.	Jú, ég ældi á leið hingað.
I had a negative self-image as a kid.	Sjálfsímynd mín sem barns var neikvæð.
They think I'm fat and loathsome, but I'll fight them.	Þeim finnst ég feit og fúl en ég ræð við þau.
I'll show them that they can't rob me of my right to exist!	Ég sýni að ekki er hægt að ræna mig tilvistarrétti mínum!
Next.	Næsti.
Come in.	Komdu inn.
Hi.	Hæ!
Some interesting responses here, Mr. Stewart.	Athyglisverð svör, hr. Stewart.
It says here that you attended Mt.	Hér stendur að þú hafir verið í Mt.
Holyoke College in Massachusetts.	Holyoke háskóla í Massachusetts.
Four years of work, work, work.	Fjögurra ára vinna, vinna.
Isn't Mount Holyoke an all-girls school?	Er Mount Holyoke ekki eingöngu kvennaskóli?
No, they changed that.	Nei, því var breytt.
Probably as soon as I got there.	Líklega um leið og ég kom þangað.
Are you related to Tracey Stewart?	Ertu skyldur Tracey Stewart?
Yeah, that's my aunt. He's a man.	Já, hún er frænka mín. Það er karlmaður.
His wife's my aunt. You should put that on your application.	Konan hans er frænka mín. Þ ú ættir að skrifa það á umsóknareyðublaðið.
Tracey is an asset to this company.	Tracey er kostagripur.
He keeps things in order around here.	Hann hefur allt í röð og reglu hér.
Listen, I'll review your application check out a few references, and get back to you in a few days.	Ég skal athuga umsókn þína, tala við meðmælendur og tala við þig eftir nokkra daga.
This is your correct telephone number, isn't it?	Er þetta ekki rétta símanúmerið þitt?
Yes.	Jú.
Yes, sir.	Jú, herra.
Good.	Gott.
Thank you.	Þakka þér fyrir.
Thank you.	Þakka þér.
Thanks.	Ég þakka.
Thank you.	Þakka þér.
Next, please.	Næsti, takk.
I've been home and back.	Ég fór heim og aftur til baka.
You talk to her?	Talaðirðu við hana?
Yeah.	Já.
Did you get her number?	Fékkstu númerið hjá henni?
No.	Nei.
So what took you so long?	Af hverju varstu svona lengi?
I think I got a job.	Ég fékk vinnu, held ég.
A job?	Vinnu?
Yeah.	Já.
Johnny, a job ain't nothing but work.	Johnny, vinna er bara vinna.
I know.	Ég veit það.
Let's eat.	Borðum.
Calm down, Timmy.	Rólegur, Timmy.
Timmy.	Timmy.
Stop it, now.	Hættu strax.
Calm down.	Rólegur.
What are you doing?	Hvað ertu að gera?
Get him out.	Komdu honum út.
Mister, I forgot his...	Manni, ég gleymdi...
Get him out!	Komdu honum út!
I forgot his medicine at home.	Ég gleymdi lyfinu hans heima.
Don't touch the eggs.	Snertu ekki eggin.
No, no, not the eggs, my God.	Nei, ekki eggin.
Get him out.	Guð minn.
Let him die in the street like a dog.	Láttu hann drepast á götunni eins og hund.
Don't talk.	Ekki tala.
See? Look at that.	Sjáðu þetta.
Not the eggs.	Ekki eggin.
What do you want me to do?	Hvað viltu að ég geri?
Get turkey.	Sæktu kalkún.
He needs lactate.	Hann þarf laktat.
Laxative?	Klaka?
No, lactate.	Nei, laktat.
Fix him a turkey sandwich.	Útbúðu kalkúnssamloku.
Hurry, he's crazy.	Strax, hann er óður.
Timmy, not the cans, no!	Timmy, ekki dósirnar!
Not my cans.	Ekki dósirnar mínar.
Okay, I fix, I fix.	Ég skal laga þetta.
Here.	Hérna.
Put more on, that's not enough lactate.	Meira, þetta er ekki nógu mikið laktat.
Timmy wants more lactate.	Timmy vill meira laktat.
Don't touch those chips.	Snertu ekki flögurnar.
Don't touch the cakes.	Snertu ekki kökurnar.
Timmy, stop it.	Timmy, hættu þessu.
Beep-beep-beep-beep.	Bíp-bíp-bíp-bíp.
What's this "beep-beep"?	Hvaða bíp er þetta?
Put some more turkey and mayo on.	Meiri kalkún og majónes.
A whole lot of mayo.	Heilmikið majónes.
Thank you, mister.	Þakka þér, maður.
Timmy, stop it. Mayo.	Timmy, hættu þessu.
Here's more mayo.	Hér er meira majónes.
Mayo, here.	Meira.
Thank you, thank you.	Þakka þér fyrir.
You're welcome.	Það var lítið.
Now get him out. Thank you.	Komdu honum út.
Thank you very much.	Þakka þér kærlega fyrir.
Give him a kiss.	Kysstu hann.
Please go!	Farðu nú!
Get out of here.	Komdu þér út núna.
Get out, now.	Strax.
Get him out of my store.	Komdu honum út úr búðinni.
And be more happy.	Og vertu ánægðari.
How long does a coroner's report take?	Hve lengi er dánardómstjóri að þessu?
We'll be dead when it comes.	Við verðum dauðir áður.
I've tried...	Ég hef reynt...
Get over there, even if you have to examine the damn body yourself.	Farðu þangað þótt þú þurfir að skoða líkið sjálfur.
Go.	Farðu.
Remember the trouble you caused?	Manstu vandræðin sem þú ollir?
Get your hands off me, you bald-headed, flatfoot faggot!	Burt með spaðana, sköllótti, flatfætti hommi!
You were my best customer!	Þ ú varst besti kúnninn.
Busting me because I won't do you for free?	Handtekur mig því ég afgreiði þig ekki ókeypis.
Right, liar.	Já, lygari.
Come on!	Komdu nú.
Get that whore away from my door.	Burt með hóruna úr dyrunum mínum.
You see what you started, Mary?	Sjáðu hverju þú komst af stað.
What happened to us?	Hvað gerðist hjá okkur?
Lieutenant?	Aðalfulltrúi.
I just got off the phone with the lab.	Þeir á rannsókna - deild voru í símanum.
Autopsy confirms Forrest's broken neck wasn't from the accident.	Krufningu hálsbrotnaði Forrest ekki í slysinu.
I said that.	Þetta sagði ég.
It happened...	Það gerðist...
After the fact.	Eftir gerninginn.
It's official.	Það er opinbert.
Everybody's laughing and having fun.	Og allir hlógu og skemmtu sér.
When all of a sudden, Sandy jump up and run out! Child!	Og þá skyndilega stökk Sandy á fætur og hljóp út!
He done forgot his Depends! Hey!	Maðurinn hafði gleymt bleiunni.
Miss!	Fröken!
Could you hurry?	Geturðu flýtt þér?
I'm waiting on a call.	Ég bíð eftir símtali.
I don't give a rat's ass!	Mér er skítsama!
I put 25 cents in here. When it's used up, then I hang up!	Ég set 25 sent hér og þegar þau eru búin legg ég á.
We've waited two days for the phone to ring!	Við höfum beðið þess í tvo daga að síminn hringi.
That's because Moms Mabley won't hang up!	Það er af því að Moms Mabley leggur ekki á!
He's gonna call.	Hann hringir.
I got a feeling.	Ég finn það á mér.
I got a feeling they hired somebody.	Ég finn á mér að þeir réðu einhvern.
You just want to be around that stupid girl!	Þ ú vilt bara vera nálægt stelpubjánanum.
You think they're gonna hire a convicted criminal?	Heldurðu að þeir ráði dæmdan glæpamann?
I ain't John Gotti!	Ég er ekki John Gotti!
You sure ain't.	Það er alveg rétt.
John Gotti was getting paid!	John Gotti fékk peninga!
Now you can use the phone!	Nú geturðu hringt.
Thanks.	Takk.
Hey, my man! It's broken.	Vinur, hann er bilaður.
Go shave that crust-ache off your lip.	Skafðu þetta af vörinni á þér.
See?	Sérðu.
It still ain't ringing.	Hann hringir ekki enn.
Get away from my cab!	Farið frá leigubílnum mínum.
Get a job!	Fáið vinnu.
Join a union!	Gangið í stéttarfélag.
Join a Boy's Club!	Gakktu í strákafélag!
See that cab over there?	Sérðu bílinn þarna?
Maybe you can help me.	Viltu hjálpa mér?
I need to get to 33rd Street and 3rd Avenue.	Ég þarf að komast að mótum 33. strætis og 3. breiðgötu.
Let me guess, not from around here?	Ég giska á að þú sért ekki héðan.
My bald head gave me away?	Kom skallinn upp um mig?
I'll whiz you over there. $ 50.	Ég skutla þér þangað. 50 dalir.
I won't even turn on the metre.	Ég ræsi ekki gjaldmælinn.
I don't have money.	Ég á ekki peninga.
You fucking immigrant!	Innflytjendaskratti!
But, wait.	Bíddu.
Excuse me!	Afsakaðu!
Hello?	Halló?
I got to go get the money.	Ég verð að sækja peningana.
What money?	Hvaða peninga?
I have $ 10,000 at my grandmother's house.	Ég á 10.000 dali í húsinu hennar ömmu.
My time is worth money. $ 200, on spec. $ 200! $ 150, I give you $ 150...	200 fyrir áhættuna. 200 dalir. 150, ég læt þig fá 150...
I told you he 'd call!	Ég sagði þér að hann myndi hringja.
You son of a bitch!	Ódámurinn þinn!
I'll rip your throat out!	Ég slít á þér hálsinn!
Stewart residence.	Heima hjá Stewart.
Yes, this is him.	Já, þetta er hann.
Yes, tomorrow will be fine.	Já, það verður fínt á morgun.
Thank you. Thank you very much.	Þakka þér kærlega fyrir.
I got the job!	Ég fékk vinnuna!
I got a job, man!	Ég fékk vinnu!
Filthy!	Svæsið!
You must be Jonathan Stewart.	Ert þú ekki Jonathan Stewart?
I'm your supervisor, Chris Fields.	Ég hef umsjón með þér. Chris Fields.
Everyone!	ÖII!
I 'd like to introduce you to a new employee today.	Mig langar að kynna nýjan starfsmann.
His name is Jonathan Stewart!	Hann heitir Jonathan Stewart!
Hi, Johnny baby!	Hæ, Johnny elskan!
By the way, that's Charlotte.	Þetta er Charlotte.
Come on.	Komdu.
I'll introduce you to your machine.	Ég kynni þig fyrir tækinu þínu.
Keep going.	Haltu áfram.
You're doing good.	Það gengur vel.
You better get used to paper cuts.	Venstu því að skerast af pappír.
I'll get gloves or something.	Ég fæ mér hanska eða eitthvað.
What do I do with this?	Hvað geri ég við þetta?
That's a credit card that Mr. Jeffrey wants cancelled.	Þetta er greiðslukort sem Jeffrey vill hætta að nota.
Idiot didn't break it in half. He's supposed to.	Bjáninn braut það ekki í tvennt eins og hann á að gera.
Why is that?	Af hverju?
Our cards go out pre-approved.	Kortin fara út samþykkt fyrirfram.
They have to be processed before they can be cancelled.	Þau verður að meðhöndla áður en hægt er að loka þeim.
I see we got a new guy.	Það er kominn nýr maður.
Johnny, this is Keith Heading.	Johnny, þetta er Keith Heading.
He's head of security.	Hann er yfirmaður öryggismála.
Hi.	Sæll.
Hi, Johnny.	Sæll, Johnny.
Hear the one about the guy who goes to a psychiatrist?"	Hafið þið heyrt af manninum sem fór til geðlæknis?"
I'm having weird dreams.	Mig dreymir skringilega.
Last night I was a wigwam.	Í nótt var ég vigvam-tjald.
The night before I was a tepee."	Nóttina áður var ég tepí-fjald."
Psychiatrist says, "You're two tents."	"Þ ú ert tvö tjöld."
Chris, you got a minute?	Chris, ertu laus smástund?
Sure.	Já.
Excuse us.	Afsakaðu okkur.
Nice to meet you.	Gaman að sjá þig.
Yeah.	Já.
Hey, Johnny baby!	Heyrðu, Johnny elskan.
What are you doing for lunch?	Hvað gerirðu í hádeginu?
Working.	Ég vinn.
On who?	Við hverja?
You've got the most beautiful lips!	Þ ú ert með fallegar varir.
Oh, really?	Í alvöru?
Chris, come here.	Chris, komdu hingað.
How about the new guy?	Hvað um þann nýja?
Johnny's great.	Johnny er frábær.
He'll stick around.	Hann verður hér.
I gotta poop.	Ég verð að fara.
What the fuck is going on?	Hver fjandinn er að gerast?
I got scared.	Ég varð hræddur.
Scared of what?	Við hvað?
What are you scared of?	Við hvað ertu hræddur?
Have a nightmare?	Færðu martröð?
I don't have time for a scare.	Enginn tími er til að óttast.
I didn't know people would be hurt or...	En fólk hefur meiðst...
Or what?	Eða hvað?
Or dying.	Eða deyr.
Well, Mr. Butthole, you let him be a lesson to you.	Herra Sitjandi, lærðu af honum.
We got 26 days to make 30 million dollars.	Við höfum 26 daga til að græða 30 miljónir dala.
People are waiting on product.	Fólk bíður eftir vörum.
You know what I mean?	Veistu hvað ég á við?
Nod if you understand.	Kinkaðu kolli ef þú skilur mig.
Oh, you're red. You're getting blue.	Þ ú ert rauður og ert að blána.
I wonder how long it takes to get white?	Hve langan tíma tekur að verða hvítur?
Christ!	Jesús!
I gotta get back to my office.	Ég þarf að fara aftur á skrifstofuna.
You get me those cards, okay?	Útvegaðu mér kortin.
Hey, don't forget!	Gleymdu því ekki!
You're my number one guy.	Þ ú ert aðalmaðurinn hér.
Terry!	Terry!
How are you?	Komdu sæll.
Yo, Chris?	Chris?
That you?	Ert þetta þú?
Yeah.	Já.
Why you crying, man?	Af hverju græturðu?
You constipated?	Ertu með harðlífi?
You should try rocking back and forth.	Ruggaðu fram og til baka.
That's what I do.	Ég geri það alltaf.
You said it would take an hour.	Klukkustund, sagðirðu.
It's been longer.	Lengri tími er liðinn.
That's unacceptable.	Það er óviðunandi.
Allison, file this, please.	Allison, viltu vista þetta?
What happens if I push this button?	Hvað gerist ef ég ýti á þennan hnapp?
How did you get in here?	Hvernig komstu hingað inn?
I work here.	Ég starfa hér.
What can I do for you?	Hvað get ég gert fyrir þig?
It's my lunch break.	Það er matarhlé hjá mér.
I'm looking for someone nice to talk to. Maybe show me around.	Ég leita að góðri manneskju til að tala við.
You wouldn't happen to know someone?	Til að sýna mér staðinn, Þekkirðu einhverja?
Actually, yes.	Já, reyndar.
Yeah?	Jæja?
Yeah.	Já.
Charlotte.	Charlotte.
Right.	Einmitt.
What do you do in this department?	Hvað gerir þú í þessari deild?
Don't sit on my desk.	Sittu ekki á borðinu mínu.
Sorry.	Fyrirgefðu.
I run this department.	Ég stjórna þessari deild.
Why don't you hook me up so I can leave the mailroom?	Ráddu mig svo ég komist úr póstdeildinni.
Acquisitions is having babies about the C-89 form.	Aðföng er að eiga börn vegna C-89 eyðublaða.
Finished?	Búin?
Yes.	Já.
What's happening, bro?	Hvað er títt, bró?
What are you?	Hvað ert þú?
Jonathan Stewart, from Acquisitions.	Jonathan Stewart frá aðfangadeild.
Came to get the C-89 form.	Kom til að fá C-89 eyðublöð.
I'll have this down to them.	Ég fer með þetta niður.
Did you put aside those disputes?	Lagðirðu umdeildu færslurnar frá?
Yes, I did.	Já, ég gerði það.
Hi, Johnny baby!	Hæ, Johnny elskan.
What's up, Charlotte?	Hvað er títt, Charlotte?
How was your first day?	Hvernig var fyrsti dagurinn?
I'm learning.	Ég læri þetta.
What you need is a better teacher.	Þ ú þarft betri kennara.
I could probably get it.	Ég get það líklega.
It's easy.	Það er auðvelt.
You need someone to show you how to do it right.	Þ ú þarft að láta sýna þér hvernig á að gera það rétt.
Listen, I'm going to the bar right down the street.	Heyrðu, ég fer á barinn hér niðri á götu.
You wanna come?	Kemurðu með?
No. I'm gonna pass.	Nei, ég sleppi því.
I'll pass. Too bad.	Það var slæmt.
I think she likes you.	Ég held hún sé hrifin af þér.
I think I like you.	Ég held ég sé hrifinn af þér.
Johnny, right?	Johnny, ekki satt?
What's up, Keith?	Hvað er það, Keith?
How you doing?	Hvernig gengur?
What's happening?	Hvað er títt?
Good night, Chris.	Góða nótt, Chris.
See you later.	Sjáumst.
Good night.	Góða nótt.
He hasn't been feeling good.	Honum hefur ekki liðið vel.
I know, he was constipated earlier.	Ég veit það. Var með harðlífi.
Hello, my weakness.	Halló, veikleiki minn.
How you doing?	Hvernig líður þér?
I was waiting for you inside.	Ég beið þín inni.
Why?	Af hverju?
I wanted to ask you to marry me.	Mig langaði til að biðja þín.
Can I get down on one knee?	Má ég fara á annað hnéð?
My boyfriend wouldn't like that.	Kærastinn minn yrði ekki hrifinn.
Oh, you got a boyfriend and things!	Þ ú átt þá kærasta og svoleiðis!
All right.	Allt í lagi.
We'll let him be the best man.	Við látum hann vera svaramann.
I don't think so.	Ég held ekki.
No?	Ekki?
I love your smile.	Heillandi bros.
It's beautiful.	Svo fallegt.
Thank you.	Þakka þér fyrir.
Amber!	Amber!
Amber, let's go!	Amber, förum!
I have to go.	Ég verð að fara.
That's your boss friend?	Er þetta yfirmannsvinur þinn?
Does he treat you like he should?	Kemur hann vel fram við þig?
Amber, let's go!	Amber, við skulum fara.
I didn't think so.	Ég hélt ekki.
It's okay.	Í lagi.
He's temporary.	Hann er til bráðabirgða.
I got plans for you and me.	Ég er með áform um okkur tvö.
I gotta get my shit together.	Ég verð að taka mig á.
So, what were you two talking about?	Um hvað voruð þið að tala?
Nothing.	Ekkert.
It looked like more than nothing.	Það virtist meira en ekkert.
He works in Acquisitions...	Hann starfar í aðfangadeild.
No, he doesn't.	Nei.
I checked.	Ég spurðist fyrir.
Don't waste time with trash.	Sóaðu ekki tímanum í rusl.
What does that mean?	Hvað merkir þetta?
He's beneath you.	Hann er óæðri.
Don't talk to him.	Ekki tala við hann.
What, are you jealous?	Ertu afbrýðisamur?
That's absurd.	Þvæla.
Just don't talk to him.	Talaðu bara ekki við hann.
I've got great news.	Ég færi fína frétt.
I've got tickets to the opera tonight.	Ég er með miða á óperuna.
Amber, you don't seem pleased.	Amber, þú virðist ekki ánægð.
When will we do something I want?	Hvenær gerum við það sem ég vil?
Things you wanna do have no culture.	Það er allt svo ómenningarlegt.
Open your mind to more than rap music.	Opnaðu þig fyrir öðru en rappi.
Here is your other spoon.	Hér er hin skeiðin þín.
Thank you.	Þakka þér fyrir.
And could we have two more baskets of raisin bread?	Gæti ég fengið tvær körfur enn af rúsínubrauði?
Thank you.	Þakka þér fyrir.
Yo, that's her man?	Er þetta maðurinn hennar?
Yeah.	Já.
Yo, he's filthy!	Sá er ferlegur!
I know.	Ég veit.
Watch this.	Sjáðu þetta.
I've got a joke.	Ég kann brandara.
Why did the black man wear a tuxedo to his vasectomy?	Af hverju fór svertingi í smóking í sáðgangsrof?
If he was gonna be impotent, he wanted to look impotent.	Ef hann átti að vera getulaus vildi hann líta vel út.
Keith Heading told me that joke!	Keith Heading sagði mér þessa skrítlu.
Amber, it's not that funny.	Amber, þetta er ekki svona fyndið.
What are you laughing at?	Að hverju hlærðu?
Tom...	Tom...
Time for fun with the mailboy.	Göntumst með póststrákinn.
What do you want, man?	Hvað viltu, maður?
Stop it! Stop it!	Hættið þessu!
Stop!	Hættið!
Tom, you're overreacting.	Tom, þú tekur þessu of illa.
You're right.	Rétt.
Why am I being insecure?	Af hverju er ég óöruggur?
He can't afford you. Right, Amber?	Hann hefur ekki ráð á þér, ha, Amber?
Why don't you get yourself a decent meal, boy?	Fáðu þér almennilega máltíð, strákur.
Thanks.	Takk.
How was I supposed to react?	Hvernig átti ég að bregðast við?
Not by treating me like a whore!	Ekki að koma fram við mig sem hóru.
You're being irrational.	Þ ú sýnir óskynsemi.
I want out of this relationship!	Ég vil losna úr þessu sambandi.
Fine.	Fínt.
Just collect your things and go back to the projects.	Hirtu dótið þitt og farðu aftur í bæjarblokkirnar.
I should've broke his back! You're tough.	Ég hefði átt að hálsbrjóta hann.
I should've broke his back!	Það er harkan í þér.
Should've punched him right in his face!	Ég hefði átt að gefa honum einn á sviðin!
You should've, but didn't.	Já, en þú gerðir það ekki.
What?	Hvað?
