Bye, Jimmy.	Bless, Jimmy.
Hey, man, forget him. Yeah.	Vertu ekki að fást um hann.
Should I get the car?	Á ég að sækja bílinn?
Yes, get the car.	Já.
Good evening, Mr. George.	Gott kvöld, hr. George.
Good evening, Rosario.	Gott kvöld, Rosario.
Excellent new hairdo.	Afbragðshárgreiðsla.
Mr. George.	Hr.
No, I'm serious.	George.
You look like a young Imelda Marcos.	Þú lítur út eins og lmelda Marcos ung að árum.
Hello, George.	Halló, George.
Hello, Helen.	Halló, Helen.
Don't you think Rosario looks particularly lovely tonight?	Lítur Rosario ekki vel út í kvöld?
I hadn't really noticed.	Það fór fram hjá mér.
Rosario, the children need baths, please.	Rosario, það þarf að baða börnin.
Oh, no, don't be ridiculous.	Enga vitleysu.
If you're going to send out, get a whole box.	Ef þú gerir það láttu kaupa heilan kassa.
Howard is in the gym.	Howard er í líkamsræktinni.
Right.	Einmitt.
Forty-five minutes, 6.5 miles an hour, at an elevation of three.	45 mínútur, 1 0 km / klst, hækkun um 3.
It's incredible how much more relaxed I feel.	Ótrúlegt hvað mér finnst ég vera afslappaðri.
Helen does an hour a day too.	Helen æfir líka í klukkustund á dag.
Yes, you both seem extremely relaxed.	Þið virðist vera afskaplega afslöppuð.
You can cut the relaxation with a knife.	Það má skera andrúmsloftið með hnífi.
So why am I here, Howie?	Því vildirðu hitta mig, Howie?
We lost the West Side waterfront deal because your chief counsel your latest model / attorney forgot to file an Environmental Impact Report.	Við misstum af samningnum um Westside-lóðina af því að aðallögfræðingur þinn, síðasti fyrirsæta / lögmaður þinn, gleymdi að leggja fram skýrslu um umhverfismat.
That's why I fired her.	Lögfræði er ekki sterka hlið Amber - og því rak ég hana.
No, I fired her.	Nei, ég rak hana.
Just as I fired Debbie from St. Barts' Law School and Stacy from Online Law School.	Rétt eins og ég rak Debbie úr lagadeildinni í Saint Barts og Stacy úr lagadeildinni á Netinu.
I want someone from Yale or Columbia or from the continental United States.	Ég vil fá mann úr Yale eða Columbia.
Women of that level of intellectual ability often find me shallow.	Konur sem hafa slíka greind finnst ég yfirleitt leiðinlegur.
Then hire a man.	Þá skaltu ráða karlmann.
Don't be absurd.	Enga vitleysu.
Because they wouldn't sleep with you?	Af því að þeir vilja ekki sofa hjá þér?
No, because it would make you and Dad too happy.	Nei, af því að það gleddi ykkur pabba mikið.
Dad has been dead for 10 years.	Pabbi hefur verið dáinn í tíu ár.
Well, there is no reason for him to start enjoying himself now.	Óþarfi að hann fari að njóta lífsins núna.
You need someone who can write a brief instead of removing yours.	Þú þarft mann sem getur skrifað samantekt án þess að fikta í þér.
And she can handle your divorce while she's at it.	Hún getur líka séð um skilnaðinn.
And I you.	Og ég um þig.
You know, usually I'm so nervous at interviews, but that was fun. Yes.	Ég er yfirleitt taugaóstyrk í starfsviðtali en þetta var gaman.
Isn't "fun" fun?	Er ekki gaman að finnast gaman?
It's been a pleasure, Tiffany. Mr. Wade?	Þetta var ánægjulegt, Tiffany.
Mr. Wade?	Hr.
Hi, I'm Lucy Kelson. I'm an attorney.	Wade, ég heiti Lucy Kelson, lögfræðingur.
Have you ever heard of Saint-Tropez Law School?	Hefurðu heyrt um lagadeildina í Saint-Tropez?
No.	Nei.
Shame.	Það var leitt.
Where did you go to law school?	Hvar stundaðirðu laganám?
Harvard.	Í Harvard.
Yes.	Já.
Well, I'm not very interested in money. Now, Mr. Wade...	Ég hef ekki sérlega mikinn áhuga á peningum.
Wait a minute.	Hægan nú.
You're Kelson.	Þú ert Kelson.
You lie in front of our wrecking balls.	Þú lást fyrir framan niðurbrotskúlurnar okkar.
You attacked the Zegman brothers...	Þú réðst á Zegman-bræður...
It's not my fault they walked under a protest sign.	Ekki mér að kenna að þeir skyldu ganga á mótmælaspjald.
You're not here for a job?	Ertu ekki að sækja um starf?
I'm here representing the Coney Island Community Center.	Ég flyt mál félagsmiðstöðvarinnar á Coney lsland.
It was built in 1922.	Hún var reist 1 922.
It's the heart of Coney Island.	Hjarta Coney lsland.
It has adult education, basketball CPR, Lamaze, water ballet, senior's tae kwon do. It's great.	Þar fer fram fullorðinsfræðsla, körfubolti, skyndihjálparnámskeið, Lamaze, Tae Kwon Do fyrir gamla fólkið.
For children, it's a home away from home.	Stöðin er athvarf barnanna.
I mean, I practically grew up there.	Ég ólst nánast upp þarna.
If you can guarantee the preservation of this center, I can guarantee you the build.	Ef þú tryggir varðveislu félagsmiðstöðvarinnar ábyrgist ég að þú getir byggt þitt eigið hús.
But why us?	En af hverju við?
Why Wade?	Af hverju Wade?
Well, I can't get in to see Trump and the Zegmans have a restraining order.	Ég fæ ekki að hitta Trump og þeir hjá Zegman fengu nálgunarbann á mig. Hr.
Mr. W?	W.?
You're supposed to be taping The View in half an hour and Public Policy magazine needs a quote on the challenges of urban planning. Hey.	Þú átt að taka upp viðtal eftir hálftíma. Ríkisstefnumál þarf að fá tilvitnun vegna borgarskipulags.
Right.	Einmitt.
Yes. Quote, quote, quote, quote...	Tilvitnun, tilvitnun, tilvitnun...
What I love about architecture is its ability to shape a community.	Það besta við arkitektúr er geta þess að móta samfélag.
This center has shaped the community!	Þessi félagsmiðstöð hefur mótað samfélagið!
How a school building can be functional and beautiful so that kids feel...	Hvernig skólabygging getur verið hagnýt og falleg svo að börnunum...
No, the community center makes children feel engaged, and it allows them a place...	Félagsmiðstöðin virkjar börnin og gerir þeim kleift að kanna...
Functional and beautiful so that kids feel engaged instead of imprisoned?	Hagnýt og falleg svo að börnin verði þátttakendur en ekki fangar?
Yeah, it sounds good. I like that.	Mér líst vel á þetta.
But I said a community center, not a school.	En ég sagði félagsmiðstöð. Ekki skóli.
I know, it's all very good.	Ég veit, þetta er mjög gott.
Jump in.	Komdu.
Thanks.	Snotur skyrta.
Nice shirt. Thank you.	Þakka þér fyrir.
So do we have a deal?	Er þetta þá samþykkt?
No. I want something else from you. No.	Nei, ég vil fá svolítið annað hjá þér.
I am fully aware of your reputation and there's no way you're getting that. No.	Nei, ég veit vel um orðstír þinn og þú færð það alls ekki.
Getting what?	Hvað þá?
You know.	Þú veist.
I've spent my entire life working against people like you.	Ég helga líf mitt baráttu gegn mönnum eins og þér.
Well, maybe if you work for me, you'll win occasionally.	Ef þú starfar hjá mér geturðu stundum fagnað sigri.
I need an answer, I'm afraid, immediately.	Ég þarf að fá svar strax.
Here is my direct number at the Grand Hotel.	Þetta er símanúmerið mitt á Grand-hótelinu.
You live at a hotel?	Býrðu á hóteli?
Well, I own the hotel and I live there.	Ég á hótelið og bý þar.
My life is very much like Monopoly.	Líf mitt er nauðalíkt Matador.
And I know you wouldn't care, but I'll start you at $ 250,000.	Ég veit að þér er sama en byrjunarlaunin verða kvartmilljón.
There's also usually a very nice Christmas bonus.	Það er líka oftast álitlegur jólakaupauki.
Thank you.	Þakka þér fyrir.
I can't believe how much I ate.	Ótrúlegt hvað ég borðaði mikið.
I'm proud of you.	Ég er stoltur af þér.
The whole left side of the menu.	Allt vinstra megin á matseðlinum.
You know when I get tense, I just start to eat.	Ég byrja að háma í mig þegar ég verð spennt.
Honey, you cannot work for that man.	Elskan, þú mátt ekki vinna fyrir þennan mann.
Hey, we can use the bail money.	Okkur veitir ekki af tryggingarfénu.
Remember what Sun Tzu said? Yes."	Manstu hvað Sun Tzu sagði?"
Keep your friends close and your enemies closer."	Hafðu vini þína nálægt þér, og óvini þína nær þér."
Sun Tzu didn't have a daughter.	Sun Tzu átti ekki dóttur.
What's this?	Er þetta eftirréttur?
Oh, dessert. Thank you.	Þakka þér fyrir.
It's the only way to save the community center. It is.	Þetta er eina leiðin til þess að bjarga félagsmiðstöðinni.
And if I work for him I have huge resources at my disposal for charities and shelters...	Ef ég vinn hjá honum hef ég gríðarlegar fjárhæðir til umráða fyrir góðgerðamál og athvörf.
Yes, but...	Já en...
Mom, I promise.	Mamma, ég lofa því.
I will still be your daughter. I will still be a lawyer.	Ég verð áfram dóttir ykkar og verð áfram lögfræðingur.
And I will still have all the same ideals.	Og ég mun hafa sömu hugsjónirnar.
Let's update all the files. Especially the muni-codes because I'll need those.	Uppfærum allar skrárnar, tveimur vikum síðar einkum bæjarlagabálkinn af því ég þarfnast hans fljótlega.
I'm gonna speak with Mr. Wade.	Ég ætla að tala við hr. Wade.
Mr. Wade, so sorry to bother.	Hr, Wade, afsakaðu ónæðið.
I've been over the Environmental Impact Reports for Island Towers.	Ég las skýrslur um umhverfismat vegna Eyjaturna.
I would really love to talk to you.	Ég vildi gjarna ræða það við þig.
Very good.	Mjög gott.
I really wanted to ask you: Which one of these do you prefer?	Mig langaði að spyrja þig Hvort kýstu frekar?
How do you mean?	Hvað áttu við?
It's for my new personalized stationery.	Þetta er nýja bréfsefnið mitt.
It tastes better.	Þetta bragðast betur.
Do you know, I've asked 30 people that question.	Ég hef spurt þrjátíu manns að þessari spurningu.
You're the only one to come up with that answer.	Þú ert sú eina sem hefur svarað þessu.
My God, you're good.	Mikið ertu góð.
I'm getting you a bigger office.	Þú færð stærri skrifstofu.
No, it's very sweet, but I 'd rather go over the... Very firm.	Nei, það er mjög sætt en ég vil frekar fara yfir... sex mánuðum síðar Mjög stinn.
But is it too firm?	Er dýnan of stinn?
There's some debate among chiropractors about the optimum level of mattress tension.	Hnykklæknar ræða um það hve mikil spenna á að vera í dýnum.
What are your thoughts?	Hvað finnst þér?
If you really want to know, the more firm the mattress the more pressure on the 5th vertebra.	Þér til fróðleiks, þá þrýstir stinn dýna meira á fjórða og fimmta hryggjarlið.
Quite bouncy, though.	Það er samt gott að hossa sér á dýnunni.
Can't you talk to whatever Mensa candidate you're with?	Geturðu ekki talað við gáfnaljósið sem þú ert með?
I resent the implication that because someone may not share your high IQ they're not a person of substance and depth.	Mér sárnar sú aðdróttun að þótt einhver sé ekki jafngreind og þú að þá sé ekki varið í þá manneskju eða í hana spunnið.
You all right?	Er allt í lagi?
I swallowed my Altoid.	Ég gleypti myntutöfluna.
She swallowed her Altoid.	Hún gleypti myntutöfluna sína.
That can happen. A sudden hair flick, very dangerous.	Mjög hættulegt að kasta höfðinu snögglega til.
Okay, George, I am tired.	Ég er þreytt, George.
Put her on the phone.	Leyfðu mér að tala við hana.
You mean, put her on the phone?	Á ég að rétta henni símann?
Put her on the phone!	Réttu henni símann!
All right.	Manneskja vill tala við þig.
Someone for you. Hi. Hi.	Sæl.
The man you're dancing with is deeply troubled, okay?	Maðurinn sem þú dansar við er ekki í andlegu jafnvægi.
And even though he's rich and attractive you're too young to trade yourself like a stock on NASDAQ for someone who won't remember your name or his in the morning, is still married and has recently had a very suspicious rash.	Enda þótt hann sé ríkur og aðlaðandi ertu of ung til að falbjóða þig eins og á hlutabréfamarkaði út af manni sem man hvorki hvað þú né hann sjálfur heitir í fyrramálið, giftum manni sem er með afar skuggalegt útbrot.
It is 2: 16.	Klukkan er 2: 1 6.
Go home, finish high school and reach your potential!	Farðu heim, ljúktu miðskólanámi og reyndu að láta rætast úr þér!
You all right?	Er allt í lagi?
I'm sure he'll be here any minute.	Hann kemur áreiðanlega bráðum.
Is there any more Diet Coke?	Er til meira Diet-kók?
Sorry, everybody.	Fyrirgefið.
Did I miss the blessed event?	Missti ég af gleðilega viðburðinum?
Check with me before you talk.	Ráðfærðu þig við mig áður en þú opnar munninn.
Now that we're all here, I 'd like to discuss the settlement terms.	Ég vil ræða skilmála skilnaðaruppgjörsins.
The terms have been set.	Þeir eru frágengnir.
It's called a prenup.	Það kallast kaupmáli.
We both know that a prenup doesn't preclude certain recompensatory...	Við vitum að hann útilokar ekki vissar uppbótarleiðréttingar.
In plain English, although I can follow you in German and Japanese if you prefer.	Á mannamáli, þótt ég skilji þig á þýsku og japönsku.
She wants double the alimony.	Hún vill tvöfalda framfærslueyrinn.
No way.	Ekki til að tala um.
Given the situation, it's not an unreasonable request.	Það er ekki fráleit krafa með hliðsjón af aðstæðum.
You're referring to the alleged infidelity, are you not?	Áttu ekki við hina meintu ótryggð?
Alleged? He was having sex with her in our bed.	Hann átti mök við hana í rúminu okkar!
I knew you were worried about getting anything on that sofa.	Þú hafðir áhyggjur af því að eitthvað helltist á sófann.
How dare you come in here...	Hvernig dirfistu...?
I shouldn't have said that.	Ég átti ekki að segja þetta.
Sorry. Please.	Fyrirgefðu.
You're just another one of his stupid bimbos!	Þú ert bara ein af gálunum hans!
Now, wait!	Bíddu við!
She is far from stupid...	Hún er fjarri því að vera heimsk...
What do you think you're doing?	Hvað ertu að gera?
Went up my nose.	Upp í nefið á mér!
Water went up my nose.	Vatn fór upp í nefið á mér.
It's only water.	Það er bara vatn.
Okay, this hankie is very nearly clean.	Þessi vasaklútur er næstum hreinn.
I'm going to dab you. You may blow. Thank you.	Ég þurrka þig.
Good.	Þú mátt snýta þér.
Divorce always gives me an appetite.	Skilnaður örvar alltaf matarlystina mína.
Kebab?	Kebab?
You always say I have a responsibility towards those less fortunate.	Þú segir mér að ég beri ábyrgð gagnvart ólánsömu fólki.
Everybody is less fortunate than you so just give the money to someone who's not gonna spend it on collagen.	Allir eru ólánsamari en þú. Gefðu einhverjum peningana sem eyðir þeim ekki í brjóstaaðgerð.
You only want me to be generous to those you approve of.	Þú vilt að ég sé bara rausnarlegur við þá sem eru þér þóknanlegir.
I only want you to finally allow me to do my job. You did your job.	Ég vil bara að þú leyfir mér að sinna starfi mínu.
You did it superbly.	Þú gerðir það.
Thank you very much. Here, that's fine.	Þú gekkst frá skilnaðinum mínum með sóma.
You keep the change. Thank you.	Þakka þér kærlega fyrir.
Hey, that's my coffee, you jerk!	Eigðu afganginn.
Oh, sir, I'm so sorry. Moron!	Þetta er kaffið mitt, fíflið þitt!
I thought you were needy.	Fyrirgefðu. ég hélt að þú værir fátækur.
What's wrong with you?!	Hvað er að þér?
Can't a guy have a cup of coffee?! It's all right.	Má maður ekki fá sér kaffibolla?
Come on, Mother Teresa.	Komdu, móðir Teresa.
My only cup of the day!	Ætla allir að ónáða mig í dag.
You ruined it!	Líklega ekki ég.
Okay, now, what do you think?	Of íburðarmikið?
Too ornate?	Eða of beltislegt?
I don't care about the belt.	Mér er sama um beltið.
You're upset.	Þú ert í uppnámi.
Look, from now on, I'll get someone else to handle my divorces.	Hér eftir fel ég öðrum að sjá um skilnaðarmálin.
It's not like I enjoy them.	Ég hef ekki sérlega gaman af þeim.
Maybe I should go somewhere where no one knows how much money I have.	Ég ætti að fara þangað sem enginn veit hvað ég er ríkur.
Where is Staten Island?	Hvar er Staten lsland?
Why don't we go there?	Væri það ekki gaman.
Thanks, but Harvard doesn't give a degree in yenta.	Sá besti í heimi. Takk en Harvard kennir það ekki.
I'm not here to find you a wife or to pick out your clothes.	Ég er ekki hér til að finna konuefni þitt né velja fötin þín.
My heroes are Clarence Darrow, Thurgood Marshall...	Ég dái Clarence Darrow, Thurgood Marshall...
Who's another non-scummy lawyer?	Hvaða annar lögfræðingur er heiðarlegur?
My parents! My father worked for Martin Luther King. My mother is a law professor.	Pabbi vann hjá Martin Luther King og mamma er lagaprófessor.
They taught me that lawyers should be treated with respect. I have complete respect for you.	Þau kenndu mér að bera virðingu fyrir lögfræðingum.
R-E-S-P-E-C-T. Luce, wait.	Ég ber fulla virðingu fyrir þér.
Wait! Dearly beloved, we are gathered here to join together Meryl and Tom as they stand before us on this joyous day proclaim their love and enter into that most sacred bond of all the bond of holy... Is that yours?	V l R Đ l N G U. Bíddu, Luce! tveimur mánuðum síðar Við erum saman komin til að gefa saman Meryl og Tom þegar þau standa frammi fyrir okkur á þessum gleðilega degi, kunngera ást sína og ganga í helgasta samband sem til er, heilagt hjónab...
I'm so sorry.	Fyrirgefið.
Please continue.	Neyðartilvik Komdu í hvelli George Haldið áfram.
Everyone looks so beautiful.	Allir líta svo vel út.
Just keep going.	Haldið áfram.
You guys, I'll be right back.	Ég verð fljót.
Hold this for me.	Haltu á vendinum fyrir mig.
I'll be back. Twenty bucks for your cab.	Ég borga tuttugu dali fyrir leigubílinn þinn.
Go. George, pick up.	Svaraðu, George!
What's wrong?	Hvað er að?
Don't tell me that the construction permits didn't come through because I had the application into the Zoning Committee by 9 a.m.	Ég lagði umsóknina inn hjá bygginganefnd fyrir níu.
Evening, Miss Kelson.	Gott kvöld, ungfrú Kelson.
Willie, told you the Mets would sweep.	Ég sagði þér að Mets myndu vinna alla leikina.
Miss Kelson.	Ungfrú Kelson.
Ms. Hana.	Ungfrú Hana.
Good evening, Miss Kelson.	Gott kvöld, ungfrú Kelson.
Help!	Hjálp!
I'm in my closet.	Ég er í skápnum.
What is it?	Hvað er að?
That is a very attractive.	En fallegur, bleikur kjóll.
Okay, I'm judging the Miss New York contest in under an hour.	Ég dæmi í fegurðarsamkeppni New York eftir klukkustund.
It's on television. What do you think?	Í hverju á ég að vera?
Please don't tell me you called me out of a wedding to help you pick out a suit.	Sóttirðu mig úr brúðkaupi til að hjálpa þér að velja jakkaföt?
You ran out of a wedding?	Fórstu út úr brúðkaupi?
That's horrible! You said it was an emergency!	Þú sagðir að þetta væri neyðartilfelli!
Didn't I memo you as to what constitutes an emergency? Yes.	Sendi ég þér ekki boð um hvað teldist vera neyðartilvik?
Large meteor, severe loss of blood and what's the third one again?	Risastór loftsteinn, mikill blóðmissir og hvað var það þriðja?
Death!	Dauði!
And you're not dead. No.	Og þú ert ekki dáinn!
You weren't dead when you called me at 3: 00 a. m because you had a nightmare about becoming a member of KISS.	Þú varst ekki dáinn þegar þú hringdir í mig kl. þrjú af því að þú fékkst martröð um að verða fimmti meðlimur Kiss.
Just like when you barged in on my woman's doctor appointment to ask me which picture to put on the cover of People.	Eða þegar þú ruddist inn þegar ég var hjá kvensjúkdómalækninum og spurðir mig hvaða mynd ætti að fara á forsíðu People.
I don't like those very much.	Mér líst ekki á þessa skó.
If it's any consolation, I will be dead eventually.	Ef það er einhver huggun dey ég á endanum.
Tonight is important.	Þetta er mikilvægt kvöld.
I'm representing the Wade organization. That includes you.	Ég verð fulltrúi Wade, líka fulltrúi þinn.
Not anymore, George.	Ekki lengur.
I'm sorry?	Hvað þá?
You got Island Towers, I got Coney Island.	Þú fékkst Eyjaturna, ég Coney lsland.
I can't take it anymore.	Látum gott heita.
What, are you serious?	Er þér alvara?
Yes.	Já.
Please, consider this my two weeks' notice.	Líttu á þetta sem hálfs mánaðar uppsagnarfrest.
I find you ungrateful.	Mér finnst þú vanþakklát.
Ungrateful?	Vanþakklát?
Yes, ungrateful.	Já, vanþakklát.
Ungrateful?!	Vanþakklát?
Yes.	Já!
I'm addicted.	Ég hef ekkert gaman af því heldur.
I have to know what you think.	Nú get ég það ekki!
What do you think?	Hvað finnst þér?
I think you are the most selfish human being on the planet.	Mér finnst þú eigingjarnasti maður á þessari plánetu.
That's just silly.	Það er fráleitt.
Have you met everyone on the planet?	Hefurðu hitt alla á þessari plánetu?
Goodbye, George.	Vertu sæll.
I don't have a shirt.	Ég er ekki í skyrtu.
Ansel, I finally quit.	Ég er loksins hætt, Ansel.
He called me out of Meryl's wedding.	Hann sótti mig úr brúðkaupi Meryl.
I'll never get that moment back. Okay.	Ég endurheimti þá stund aldrei aftur.
I'll set up interviews with law firms that do pro bono work, and... All right, hang on. What?	Ég geng frá viðtölum hjá lögfræðistofum í almannaþágu...
Look, we're shipping out.	Ég verð að fara.
You take care of yourself.	Farðu vel með þig.
I gotta go, hon.	Ég verð að kveðja, elskan.
Okay, just don't fall in love with any cute marine biologists.	Ekki verða ástfanginn af sætum sjávarlíffræðingi.
Okay, I promise.	Ég lofa því.
Bye.	Bless!
Okay. Love you.	Ég elska þig.
Bye.	Bless.
George Wade called me this morning and informed me that you are indispensable to his organization.	George Wade hringdi í mig í morgun og tjáði mér að þú værir samsteypu hans ómissandi.
At the moment, we're not hiring.	Við ráðum ekki nýtt starfsfólk í bili.
Then why did you agree to see me?	Því féllstu þá á að hitta mig?
Honestly, we're partners with Zodiac Construction...	Við störfum með Zodiac - byggingafélaginu...
They do millions of dollars of business with Wade Realty...	Þeir eiga stórviðskipti við Wade-samsteypuna.
And Mr. Wade...	Og hr. Wade...
Doesn't want you to hire me.	Vill ekki að þú ráðir mig.
The attorney who was planning to quit reconsidered.	Lögfræðingurinn hætti við að hætta.
When did Mr. Wade call?	Hvenær hringdi hr. Wade?
Mr. Wade never called.	Hann hringdi ekki.
When?!	Hvenær?
Maybe an hour ago.	Kannski fyrir klukkustund.
You called everyone except for Slurpee Heaven!	Þú hringdir í alla nema Ísbúðina!
I did call Slurpee Heaven. They didn't want you.	Ég hringdi þangað en þau vildu ekki ráða þig.
Heard you had attitude.	Höfðu heyrt um þig.
And there's no loopholes because you drafted it and you're the best.	Það eru engar smugur af því að þú gekkst frá samningnum.
Subconsciously, I think you drafted it that way because you don't really want to go.	Ég held þú hafir gengið þannig frá honum í undirvitundinni af því þú vilt ekki hætta.
Does it kill you how well I know you?	Fer það alveg með þig hvað ég þekki þig vel?
Honey, this contract is excellent work.	Elskan, þetta er úrvalssamningur.
I'm very proud of you.	Ég er mjög hreykinn af þér.
Dad, I'm trying to get out of it.	Ég reyni að komast undan skilmálunum.
I don't know why you went to work for that philandering robber baron.	Því í ósköpunum fórstu að vinna hjá þessum lausláta arðræningja?
You usually have impeccable instincts.	Þú sem finnur slíkt yfirleitt strax á þér.
Look at your boyfriend, Ansel.	Ansel, kærastinn þinn, berst fyrir umhverfisvernd.
Have Tofutti!	Fáðu þér Tofutti!
Lucy, it was your choice to work for that man.	Þú kaust að starfa fyrir þennan mann.
You could've clerked for the Supreme Court.	Þú hefðir getað unnið fyrir Hæstarétt.
Short of going in and deliberately trying to get fired.	Nema þú hefðir reynt að láta reka þig.
You stay away from that freezer!	Láttu frystinn vera!
Good morning, boys.	Góðan dag, strákar.
Sorry, I am so late.	Afsakið hvað ég kem seint.
That's fine.	Það er allt í lagi.
We only just got here.	Við erum nýkomnir.
Forty-five minutes ago.	Fyrir þremur stundarfjórðungum.
Howie, are these your kids?	Howie, eru þetta börnin þín?
You know, I've never actually met them.	Ég hef aldrei hitt þau.
They are good-Iooking boys.	Myndarlegir strákar.
That's a girl.	Þetta er stúlka.
That's Sue and Paul.	Þetta eru Sue og Paul.
Yes, so it is.	Já, það er víst svo.
You know what? She is gonna be a heartbreaker.	Strákarnir munu ganga á eftir henni með grasið í skónum.
That's Paul. Yeah.	Þetta er Paul.
So we've got the Coney Island project.	Við fengum Coney lsland-verkefnið.
I 'd like to stir up some publicity if we could.	Ég vil fá kynningu, ef það er hægt.
Yes, very nice.	Já, mjög gott.
I'm... I'm working on endorsements from local merchants.	Ég reyni að fá stuðning kaupmanna á svæðinu.
We were working on some ideas there.	Já, við vorum að vinna úr hugmyndum.
I thought that was terrific.	Mér fannst þetta frábær fundur.
Pathetic.	Ömurlegt.
What's pathetic?	Hvað er ömurlegt?
You. I know what you're doing.	Ég veit hvað vakir fyrir þér.
I am not doing anything.	Ég er ekki að gera neitt.
You think if you come in late and spit on the boss that will get you fired?	Heldurðu að þú verðir rekin ef þú kemur seint og hrækir á yfirmanninn?
Not in this company. Chris. George.	Ekki í þessu fyrirtæki. Chris. George.
George, I have an ulcer.	Ég er með magasár.
I don't sleep well, mostly because you keep calling me at night.	Ég sef ekkert af því að þú hringir á nóttunni.
If you don't call me, I dream you're gonna call me.	Ef þú hringir ekki dreymir mig að þú munir hringja.
I think about you in the shower, not in a good way but in an I'm-so-distracted-I-can't - remember-if-I washed-my-hair way. So I wash my hair twice.	Ég hugsa um þig í sturtunni, ekki á kynferðislegan hátt, heldur man ég ekki hvort ég hafi þvegið á mér hárið og þvæ það því tvisvar.
So I have a hole in my stomach, I am running out of shampoo and today is the first time in my life I did not give a 1000 percent on the job and I hate that feeling!	Ég er með magasár, hársápan er búin, þetta er fyrsti dagurinn sem ég slæ slöku við í vinnunni og ég þoli ekki þá tilfinningu!
I won't call after hours.	Ég hringi ekki eftir vinnutíma.
You will, George! You know you will.	Þú veist að þú munt hringja, George!
Yeah, I will.	Já.
I just don't think we can see each other professionally anymore.	Við getum ekki starfað lengur saman.
All right. Stay until you find a replacement.	Vertu hér áfram þar til þú finnur eftirmann þinn.
Train him up for a couple of weeks, then you can go to Slurpee Heaven.	Þjálfaðu hann í tvær vikur og afgreiddu svo í Ísbúðinni.
Thank you!	Þakka þér fyrir!
I promise I will find you somebody amazing.	Ég lofa að finna frábæran lögfræðing.
Somebody better than me because I'm not even any good.	Betri en mig af því að ég er ekkert góð.
No. A glorified ambulance chaser.	Ég er bara lágkúrulegur lögfræðingur.
Thank you.	Þakka þér fyrir.
Then I thought I could take my belt off, as if to say, let's get to work!	Svo get ég tekið af mér beltið eins og til að drífa fólkið áfram!
Right-o. On behalf of Wade Corporation, I 'd like to thank the Community Board for giving us the opportunity to work with you on this project.	Fyrir hönd Wade vil ég þakka stjórnarmönnum fyrir að gefa okkur tækifæri til að starfa að þessu verkefni.
And we look forward to seeing all of you at the groundbreaking.	Við hlökkum til að sjá ykkur við fyrstu skóflustunguna.
I did well with those eight people.	Mér gekk vel með þessa átta menn.
I thought you were fantastic. This way, Mr. Wade.	Mér fannst þú vera stórkostlegur.
Just Mr. Wade.	Bara hr. Wade.
More. Great.	Ljómandi.
Can we go now?	Getum við farið núna?
Absolutely.	Já.
I just want to say hello to my folks.	Ég vil bara heilsa upp á foreldra mína.
Folks?	Foreldra þína?
Excuse me.	Afsakið.
Hello.	Halló.
Hi, Daddy.	Sæl, elskan.
Is that a new coat?	Er þetta ný kápa?
I like it. Thanks.	Mér finnst hún fín.
What a wonderful surprise!	En óvænt ánægja!
We finally meet after all this time.	Loksins hittumst við.
George Wade.	George Wade.
Mrs. Kelson, I presume.	Frú Kelson, geri ég ráð fyrir.
What a pleasure.	En ánægjulegt.
Well, I can certainly see where Lucy gets her stare from.	Ég sé greinilega hvaðan Lucy hefur þetta starandi augnaráð.
I'm Larry.	Ég heiti Larry.
It's a pleasure to meet you.	Gaman að hitta þig.
Thanks, Larry.	Þakka þér fyrir, Larry.
Same here.	Sömuleiðis.
Thank you for letting Lucy quit.	Þakka þér fyrir að leyfa Lucy að hætta.
We should get back to the office.	Við ættum að fara aftur á skrifstofuna.
Come on!	Fáið ykkur tertu.
Unless you're willing to reconsider the entire project.	Nema þú viljir stöðva allt verkefnið.
I'm afraid that won't happen.	Það verður ekki.
It is over 50 million in profits.	Það skilar meira en 50 milljónum dala í hagnað.
I think it's immoral that any human being should acquire that much wealth.	Ósiðlegt að nokkur maður skuli eignast slíka fjárhæð.
I had a small one-bedroom on Park and 91st.	Ég átti smáíbúð á mótum Park og 91. götu.
I used to take up some ice cream and my Carole King tape and look at the neighborhood.	Ég fór upp með ísinn, Carole King-spóluna mína og horfði á hverfið.
It's amazing what you could see.	Ótrúlegt það sem fyrir augu bar.
At night, the whole building went downstairs.	Á kvöldin fóru allir í húsinu niður.
The fathers stood on one corner. The mothers stood on the other.	Feðurnir stóðu við eitt hornið, mæðurnar við annað.
Kids would just ride their bicycles around.	Krakkarnir hjóluðu.
As you can see, not much has changed.	Eins og þú sérð hefur fátt breyst.
Mr. and Mrs. Goldfarb would be sitting in the middle of the street saving a parking space for their children who were coming next weekend.	Herra og frú Goldfarb sátu á miðri götunni og tóku frá bílastæði fyrir börnin sín sem komu um næstu helgi.
And you up here on your own.	Og þú varst ein hérna uppi.
It's hard to find a quiet place in Brooklyn to think.	Erfitt að finna rólegan stað í Brooklyn til að hugsa málin.
Or to replay whatever argument I just had with my mother. Yes.	Eða hugsa um rifrildið við mömmu.
Yeah, she's terrifying.	Já, hún er ógurleg.
I thought she was gonna kill me and feed me to the poor.	Ég hélt að hún myndi kála mér og gefa síðan fátækum mig.
Well, there are worse things in life. Like no one having any expectations.	Það er til margt verra í lífinu, eins og að hafa engar væntingar.
There's something amuck with this sponge cake.	Það er eitthvað skrítið við þessa svamptertu.
