Chapter 1 - Of Fiddle Mord	Kafli 1
and he rideth therewith away to Bardstrand with his kinswoman and a deal of money.	Ríður Gestur á Barðaströnd með frændkonu sína og of fjár.
The tale tells that Howard got him away home after these things and was by now exceeding stiff;	Svo er sagt að eftir þingið býst Hávarður karl heim. Var hann þá allstirður.
"If ever thou need a little help, Howard, come thou to me."	«Ef þú þarft Hávarður lítillar liðveislu við þá kom til mín.»
Howard thanked him, and so rode home, and lay down in his bed and abode there the third twelvemonth and was by then waxen much stiffen	Hann þakkaði honum, reið síðan heim og lagðist niður í sæng sína og lá þar hina þriðju tólf mánuði. Var hann þá miklu stirðastur.
Biargey still held to her wont of rowing out to sea every day along with Thorhall.	Bjargey hélt hinu sömu fram um athöfn sína að hún reri á sjó hvern dag með Þórhalli.
Chapter 8 - Of Biargey and her Brethren	Kafli 8
ON a day in summer as they rowed out to sea they saw a craft coming east up the firth, and they knew that it was Thorbiorn and his homemen.	Það var einn dag um sumarið þá er þau voru á sjó að þau sáu skip fara inn eftir firðinum. Kenndu þau og að þar var Þorbjörn og heimamenn hans.
Then spake Biargey:	Þá mælti Bjargey:
"Now shall we take up our lines, and row to meet Thorbiorn, for I would see him:	«Nú skulum við hafa uppi færi okkur og róa í móti Þorbirni. Vil eg finna hann.
thou shalt row towards the cutter's beam, and I will talk with him a little, whiles thou rowest about the craft."	Skaltu róa framan að barðinu skútunnar en eg skal tala við Þorbjörn nokkuð en þú skalt róa í hring um skútuna á meðan.»
They did so and rowed toward the cutter:	Þau gera nú svo, róa að skútunni.
Biargey cast a word at Thorbiorn, hailing him, and asking him whither he would:	Bjargey kastar nú orðum á Þorbjörn. Heilsar hún honum og spyr hvert hann ætli að fara.
"Thither is come out Sturla my brother, and Thio-drek his son, and I shall flit them down hither to me."	Skal eg flytja þá hingað til mín.» Hún spurði:
"How long wilt thou be gone, master?" said she.	«Hversu lengi muntu vera á brott bóndi?» segir hún.
"Nigh upon a week," said Thorbiorn.	«Nær viku,» segir hann.
Thorhall had by now rowed all about the cutter, and so when she had what she wanted they bent to their oars, and rowed off all they might.	Bjargey hafði poka nokkurn í hendi og veifði umhverfis skútuna. Og er hún hefir að gert slíkt er hún vildi þá fleyta þau í árum og róa í brott slíkt er þau mega.
Then cried Thorbiorn:	Þá mælti Þorbjörn:
"To the devil with the wretched hag I let us straightway row after them, and slay him and maim her."	«Kvenna örmust farandi. Og skulum vér þegar róa eftir þeim og drepa hann en meiða hana.»
Then spake Brand :	Þá mælti Brandur:
"Lo here again the truth of what men say of thee, that thou wilt never spare to do all the ill thou mayest:	«Nú sannar þú enn það er mælt er til þín að þú munir eigi spara flest illt að gera enda skal eg veita þeim er eg má.
So, what with Brand's words, what with their having by now gotten far away, Thorbiorn kept quiet and went his ways.	En við umtölur Brands og það er þau voru langt undan komin þá lét Þorbjörn vera kyrrt og fór leið sína.
Now spake Biargey:	Þá mælti Bjargey:
"As little as it seemeth likely, I deem that there will be an avenging for Olaf my son;	«Eigi er það líklegt en er það þó ætlan mín að hefnt muni verða Ólafs sonar míns.
now will we not go straight home."	Skulum við eigi heim.»
"Whither away ?" said Thorhall.	«Hvert viltu þá?» segir Þórhallur.
"We will go. see Valbrand my brother," said she.	«Nú skal fara,» segir hún, «og finna Valbrand bróður minn.»
Now he dwelt at Valbrandstead, a very old man in these days, but once of great renown:	Hann bjó á Valbrandsstöðum. Hann var gamall maður mjög en hafði verið hinn ágætasti maður.
two sons he had, exceeding hopeful, but young in years, Torfi and Eyjulf to wit.	Hann átti tvo sonu, hina vænlegustu menn. Hét annar Torfi en annar Eyjólfur.
Valbrand was abroad in the home-mead and manymen with him;	Valbrandur var úti á töðuvelli og margt manna með honum.
he went to meet his sister, and greeted her, and prayed her to abide;	Hann gekk þá í mót systur sinni og fagnaði henni vel og bauð henni þar að vera.
but she said; "It may not be, I must be home to-night."	En hún kvað sér það eigi gegna, «verð eg heim í kveld.»
"What wilt thou, sister ?" said he. She said:	Hann spurði: «Hvað viltu þá systir?»
"I will that thou lend me thy seal-nets."	«Eg vildi að þú léðir mér nætur þínar.»
"one old and grown untrustworthy now, though once it was strong enow, and two new and unproven :	«Hér eru þrjár nætur og er ein forn mjög og nú ekki trúleg en hefir verið örugg en tvær eru nýjar og óreyndar.
which wilt thou, two or three?"	Haf þú hvort er þú vilt tvær eða þrjár.»
She said :	Hún svarar:
"The new ones will I have, but I will not risk taking the old :	«Þær vil eg hafa hinar nýju en eg vil eigi hætta til að hafa hina fornu.
He said that so it should be, and therewith they, went away.	Hann kvað svo vera skyldu. Eftir það fóru þau á brott.
Then said Thorhall:	Þá mælti Þórhallur:
She answered :	Hún svarar:
"We will go see Thorbrand my brother."	«Nú skal fara og finna Þorbrand bróður minn.»
He dwelt at Thorbrandstead and was now very old:	Hann bjó á Þorbrandsstöðum.
he had two sons, young and hopeful, hight Odd and Thorir.	Hann var þá gamall mjög. Hann átti tvo sonu unga.
So when they came thither Thorbrand gave them good greeting and bade them abide :	Og er þau komu þar fagnaði Þorbrandur þeim vel og bauð þeim þar að vera.
she said it might not be.	Hún kvaðst það eigi mega.
"What wilt thou then, sister?" said he.	«Hvað viltu þá systir?» segir hann.
He answered:	Hann svarar:
"Here have I three, one very old, and two new that have not been used :	«Eg hefi þrjú til og er eitt fornt mjög en tvö eru ný og hafa ekki höfð verið.
which wilt thou, two or three?"	Haf hvort er þú vilt tvö eða þrjú.»
She said she would have but those new ones, and they parted therewith.	Hún kvaðst þau nýju hafa vilja og skildu að því.
Then they go their ways, and Thorhall asked:	Síðan fara þau í brott. Þórhallur spurði:
He dwelt at Asbrandstead, and was the eldest of those brethren, and had wedded a sister of master Howard:	Hann bjó á Ásbrandsstöðum. Hann var þeirra bræðra elstur. Hann átti systur Hávarðar karls.
he had a son named Hallgrim,. young of years, but both big and strong; ill-favoured, but most manlike to behold.	Hann átti son er Hallgrímur hét. Hann var ungur aldri en bæði mikill og sterkur, ófríður sýnum en þó karlmannlegur.
So when Biargey came there, Asbrand greeted her, and bade her abide, but she said she must home that evening.	Og er Bjargey kemur þar fagnar Ásbrandur henni vel og bað hana þar vera. Hún kvaðst skyldu heim um kveldið. Hann spurði:
"What wilt thou," said he, "so seldom as thou comest to see thy kin ?"	«Hvað viltu þá og kemur þú þó sjaldan að finna frændur þína?»
"A little errand" said she; "we be unfurnished of turf-tools, so I would that thou lend me thy turf-axe."	«Lítið er erindið,» segir hún. «Vér erum svo óbirg um torffæri og vildi eg gjarna að þú léðir mér torföxi þína.»
He answered, smiling:" Here be two, one exceeding rusty, old and notched, and now deemed fit for nought;	Hann svarar brosandi: «Hér eru tvær til og önnur ryðfrakka mikil, forn og skörðótt, og þykir nú til einkis fær.
She said she would have the new one when she came to fetch it:	En hún kvaðst hafa vilja þá hina nýju «þá er eg læt vitja.»
he answered that she should have her way :	Hann svarar að hún skal ráða.
and so they fare home to Howardstead in the evening.	Síðan fara þau heim á Hávarðsstaði um kveldið.
Chapter 9 - Howard goeth to Bathstead	Kafli 9
Now weareth certain days, until Biargey thought she might look for Thorbiorn's return from the west;	Líða nú nokkurir dagar þar til sem henni þótti von að Þorbjörn mundi vestan koma.
then on a day she went to Howard's bed, and asked him if he slept:	Og einn dag gekk hún að sæng Hávarðar og spurði hvort hann svæfi.
he sat up thereon, and sang:	Hann settist upp við og kvað vísu:
"Full surely," said she, "that is a huge lie, that thou hast not slept for three years long;	«Það er víst,» segir hún, «að þetta er allmikil lygi að þú hafir aldrei sofið á þrem árum.
but now is it time to arise, and make thee as valiant as may be, if thou wouldst avenge Olaf thy son; for never will he be avenged in thy lifetime but if that be tonight."	En þó er nú upp að standa og gera sig sem vaskastan ef þú vilt hefna Ólafs sonar þíns því að eigi verður hans hefnt um aldur þinn ef eigi verður á þessari nátt.»
So when he heard her words he leapt up from his bed and forth on to the floor, and sang:	En er hann heyrði ummæli hennar spratt hann upp úr sænginni og fram á gólfið og kvað þá vísu:
he went to a big chest that was full of weapons, and unlocked it, and set a helm on his head,and did on him a strong byrny:	Hann gekk til kistu einnar mikillar, hún var full af vopnum, og lauk henni upp, tók hjálm á höfuð sér og fór í sterka brynju.
then he-looked up, and saw a mew flying across the windowy and therewith he sang a stave:	Hann leit þá upp og sá að már einn fló yfir glugginn.
So she bade him farewell:	Hún bað hann vel fara:
"No need to egg thee on to the avenging of Olaf our son, for I wot that in thee might and a hardy heart are fellows."	«Þarf eigi að hafa eggjunarorð við þig um hefnd eftir Ólaf son okkarn með því að eg veit að þar fylgir kapp og hreysti er þú ert.»
So they parted:	Eftir það skildu þau.
but those twain went down to the sea, and ran out a six-oared boat, and took the oars, and made no stay till they came off the stead of Valbrand :	Gengu þeir ofan til sjávar, hrundu fram sexærum bát og taka til ára, léttu eigi fyrr en þeir komu fyrir bæ Valbrands.
there a long tongue of the ere runneth out into the sea, and there they laid their boat:	Þar var eyrartangi langur er gekk út í sjóinn. Lögðu þeir þar að bátinn.
then Howard bade Thorhall watch the boat while he went up to the stead;	Bað Hávarður Þórhall að gæta bátsins en hann gekk upp til bæjarins.
and he had a spear in his hand, a noble weapon :	Hann hafði spjót í hendi. Var það ágætt vopn.
but when he came up on to the home-mead there were the father and sons:	Og er hann kom upp á völlinn voru þeir þar feðgar.
So Valbrand went to meet Howard, and greeted him well, bidding him abide:	Valbrandur gekk í móti Hávarði og fagnaði honum vel og bauð honum þar að vera.
he said it might not be.	Hann kveðst ekki þar vera mega:
"For I am come to fetch the seal-nets that thou didst lend to my wife, thy sister."	«Er eg kominn að vitja nóta þinna er þú léðir systur þinni.»
Then went Valbrand to his sons, and said to them:	Hann gekk að sonum sínum og mælti:
"Hither is come Howard your kinsman, and he is so arrayed as if he had some mighty deed on hand."	«Hér er kominn Hávarður mágur ykkar og er þann veg búinn sem þá er hann mundi ætla til stórræða nokkurra.»
But when they heard that, they cast by their rakes and ran to their clothes, and when they came to take their shoes, lo! they were shrunken with the sun:	Og er þeir heyra þetta kasta þeir hrífunum og hlaupa til klæða sinna. Og er þeir skyldu taka skóna höfðu þeir skorpnað í skininu.
nevertheless they thrust their feet into them at their speediest, so that they tore the skin off their heels, and when they came home their shoes were full of blood.	Þeir stigu í ofan sem skjótast svo að þegar gekk skinnið af hælunum. Og er þeir komu heim voru skórnir fullir af blóði.
Valbrand gave his sons good weapons, and said;	Valbrandur fékk sonum sínum góð vopn og mælti:
"Follow Howard well, and think more on your vengeance than on what may come after."	«Veitið Hávarði góða fylgd. Hyggið meir á hefnd en hvað eftir kemur.»
Then they went their ways to Thorbrandstead, and there also were Odd and Thorir speedily arrayed.	Eftir það fóru þeir á Þorbrandsstaði. Voru þeir og skjótt búnir, Oddur og Þórir.
Thence fared they till they came to Asbrandstead, and there Howard claimed his turf-cutter, whereon Hallgrim his kinsman arrayed himself to go with him, in whose company also went one An, a homeman of Asbrand, who did housecarle's service, and was fosterer of Hall-grim.	Fóru nú þar til er þeir komu á Ásbrandsstaði. Krafði Hávarður þar torföxarinnar. Bjóst Hallgrímur frændi hans þá til ferðar með honum. Ánn er maður nefndur. Hann var heimamaður Ásbrands. Hafði hann húskarls verk.
So when they were ready they went to where the boat lay, and Thorhall greeted them well.	Hann var fóstri Hallgríms og bjóst til ferðar með þeim. Og er þeir voru búnir fara þeir þar til er báturinn var.
They were now eight in company, and each more warriorlike than the other.	Fagnaði Þórhallur þeim vel. Voru þeir þá átta saman og hver öðrum víglegri.
Now spake Hallgrim to Howard his kinsman, saying:	Þá mælti Hallgrímur við Hávarð frænda sinn:
"Why wentest thou from home, kinsman, lacking both sword and axe?"	«Hví fórstu svo heiman frændi að þú hafðir hvorki sverð né öxi?»
He answered:	Hann svarar:
"Maybe we shall fall in with Thorbiorn Thiodrekson, and then after our parting thou shalt speak another word, for most like I shall have the sword Warflame, the best of weapons."	«Verði svo vel að vér finnum Þorbjörn Þjóðreksson eftir vorn skilnað skaltu annað mæla því að mér ætla eg sverðið Gunnloga er best vopn er.»
and even therewith they saw a great flock of ravens flying on before them over the tongue of the ere that lay ahead :	Þeir sáu að hrafnaflokkur mikill fló fyrir þeim og yfir eyrartangann er fyrir þeim var.
then sang Howard this stave:	Hávarður kvað þá vísu:
They fared over the sound, and out in the firth it blew hard, whereby they snipped many a sea forward :	Þeir fóru yfir sundið og var hvasst mjög á firðinum og fengu mjög framanvott.
but they fell to work in manly wise, and made no stay till they came off Bathstead:	Sóttu þeir drengilega og léttu eigi fyrr en þeir komu fyrir Laugaból.
thereat was a place good to lay a craft in, for Thorbiorn had let make a goodly haven there, and had had all cleaned and cleared out right up to land:	Var þar gott að að leggja fyrir því að Þorbjörn hafði látið gera þar höfn góða. Hann hafði látið ryðja og hreinsa allt inn að landi.
the shore went down steep into the sea, and a cutter might lie there, or a craft bigger yet, if need were :	Var þar aðdjúp mikið. Mátti þar fljóta skúta eða stærri skip þó að vildi.
great whale-ribs also were laid down there for slips, and the ends of them made fast with big stones:	Þar voru og grafin niður rif stór fyrir hlunna og festir endarnir grjóti.
nor needed any man be wet going off board or on, were the ship bigger or lesser.	Þurfti þar engi maður votur að verða þó að af skipinu stigi eða á skip og hvort er var meira skip eða minna.
But above this haven ran a ridge of shingle, above which stood a great boat-house well found in all wise;	En uppi yfir var malarkampur hár. Fyrir ofan kampinn stóð hurðanaust mikið og var vel um horfið.
and on the other hand above the ridge on one side was a big pool;	Til annarrar handar var lón mikið fyrir ofan kampinn.
from the boat-house one might not see the foreshore, but from the shingle-ridge both boat-house and foreshore were in sight	Frá naustinu sá engi í fjöruna en af malarkampinum mátti bæði sjá til naustsins og í fjöruna.
So when they came to land they leapt from the boat, and Howard spake, saying :	Og er þeir koma að landi hlaupa þeir af bátinum. Þá mælti Hávarður:
"We will bear the boat up over the ridge unto the pool, and we ourselves also will be up the other side of the ridge, so that they may not see us at once;	«Nú skulum vér bera bátinn upp yfir kampinn á lónið. Vér skulum og vera fyrir ofan kampinn svo að þeir megi eigi þegar sjá oss.
Chapter 10 - Of the Metting of those men at Bathstead	Kafli 10
Now must we tell how Thorbiorn and his fellows fare from the west, ten in company in a cutter:	Þar er nú til máls að taka að Þorbjörn og þeir félagar fóru vestan tíu saman á skútunni.
Sturla was there, and Thiodrek his son, Thorbiorn and Vakr, Brand the Strong and two house-carles; and their cutter was deeply laden.	Var Sturla þar og Þjóðrekur son hans, Þorbjörn og Vakur, Brandur hinn sterki og tveir húskarlar. Höfðu þeir hlaðið mjög skútuna.
That same evening they came to Bathstead just before dark, and Thorbiorn said:	Og þetta hið sama kveld koma þeir við Laugaból fyrir myrkur.
we will let the cutter lie here tonight, and bear up nought save our weapons and clothes, for the weather is fine and like to be dry :	«Vér skulum fara að engu ótt og skulum vér láta liggja skútuna hér í nátt og ekki af bera nema vopn vor og klæði.
and thou, Vakr, shalt bear ashore our weapons."	Er nú veður gott og þurrlegt. Skaltu Vakur bera upp vopn vor.»
So he took their swords first and their spears, and bore them up to the boat-house.	Hann tók fyrst sverð þeirra og bar upp að naustinu.
Then said Torfi :	Þá mælti Torfi:
"Let us take their swords and him that goes with them."	«Tökum fyrst sverð þeirra og þann sem fylgir.»
"Nay, let it be yet," said Howard.	«Látum vera enn,» sagði Hávarður.
But he bade Hallgrim go and take the sword Warflame, and bring it him:	Hann bað Hallgrím fara og taka sverðið Gunnloga og færa sér.
so when Vakr went down again, Hallgrim ran and took the sword and brought it to Howard, and he drew it forth and brandished it aloft.	Og er Vakur gekk ofan hljóp Hallgrímur og tók sverðið og færði Hávarði. Hann brá á loft við og skók meðalkaflann.
Now Vakr came up again, and had laden his back with shields and his arms with steel-hoods, and he had a helm on his head.	Vakur gekk upp í annað sinn og hafði hlaðið á bak sér skjöldum en stálhúfum hafði hann hlaðið á handlegg sér.
So when he was gotten to the pool-side they sprang up to take him :	Og er hann var kominn upp með lóninu þá hlupu þeir upp og ætluðu að taka hann.
but he, hearing the clatter of them deemed full surely that war was abroad, and was minded to run back to his friends with their weapons, but as he turned round sharply, his feet stumbled by the pool, so that he fell down therein head foremost;	Og er hann heyrir harkið til þeirra þóttist hann vita að ófriður mundi vera. Ætlaði hann að skunda til þeirra með vopnin. Og er hann bregður við hart skruppu honum fæturnir við lónið svo að höfuðið kemur fyrst niður á honum.
the mud was deep there, and the water shallow, and the man heavy-laden with all those weapons;	Var þar blautt mjög en vatnið grunnt en maðurinn þungur á sér með vopnum öllum.
so he might not get up again, neither would any there help him, and that was Vakr's latter end, that there he died.	Getur hann og eigi upp staðið en engi þeirra vildi duga honum og lýkur svo ævi Vakurs að hann deyr þar.
So when they had seen that, they ran down to the shingle-ridge, and when Thorbiorn beheld them he cast himself into the sea, and struck out from shore.	Og er þeir sáu það hlaupa þeir ofan á malarkampinn. Og er þetta sér Þorbjörn kastar hann sér þegar á sund og leggst frá landi.
Master Howard was the first to see this hap, and he ran and cast himself also into the sea, and swam after Thorbiorn.	Þetta sér fyrst Hávarður karl, skundar þegar og kastar sér á sund eftir Þorbirni.
But of Brand the Strong they say, that rushing forward, he caught hold of a ship-runner, a great whale-rib, and drove it into the head of An, Hallgrim's fosterer; Hallgrim was just come down from the ridge when he saw An fall;	Svo er sagt um Brand hinn sterka að hann hleypur að og rífur upp einn hlunn, það var hvalrif mikið, og rekur í höfuð fóstra Hallgríms. Hallgrímur var þá ofan kominn af mölinni og sá að Ánn féll.
so he ran up with axe raised aloft, and smote Brand on the head, cleaving him down to the shoulders, and it was even therewith that Thorbiorn and Howard leapt into the sea;	Hann hljóp að með reidda öxina og hjó í höfuð Brandi og klauf hann í herðar niður. Og í þessari svipan hlupu þeir á sund, Þorbjörn og Hávarður.
and Hallgrim when he saw it leapt in after them.	Og er Hallgrímur sér það hleypur hann þegar eftir þeim.
Torfi Valbrandson ran to meet Sturla, a big and strong man, unmatched in arms, and he had all his war-gear on him:	Torfi Valbrandsson hleypur í móti Sturlu. Var hann bæði mikill og sterkur og hverjum manni betur vígur.
so they fought long, and in manly wise withal.	Þeir börðust bæði lengi og drengilega.
Chapter 11 - Of the Slaying of Thorbiorn Thiodrekson	Kafli 11
Turn we now to Howard and Thorbiorn :	Nú verður þar til að taka er þeir Þorbjörn eru og Hávarður.
and when Thorbiorn came up on to the skerry, Howard was but just off it:	Og er hann kemur í skerið þá kom Hávarður að framan.
that seeth Thorbiorn, who being weaponless before him, catcheth up a big stone to drive at his head withal.	Og er Þorbjörn sér það, var hann vopnlaus fyrir, þrífur þá upp stein mikinn og ætlaði að keyra í höfuð honum.
But when Howard saw that, it came into his mind of how he had heard tell of the Outlands that another faith was put forth there than the faith of the Northlands; and therewith he vowed that if any could show him that that faith was better and fairer, then would he trow in it if he might but overcome Thorbiorn.	Og er Hávarður sér það kom honum í hug að hann hafði heyrt sagt utan úr löndum að þar var annar siður boðaður en norður í lönd og með því ef nokkur kynni honum það að segja að sú trúa væri betri og fegri þá skyldi hann því trúa ef hann sigraði Þorbjörn.
And so as Thorbiorn was a-casting the stone, his feet slipped up, for it was slippery on the stones, and he fell aback, and the stone fell on his breast, so that he was stunned thereby;	Og er Þorbjörn ætlaði að kasta steininum skruppu honum fæturnir og varð honum á hált á grjótinu svo að hann féll á bak aftur en steinninn fellur ofan á bringspalir honum og verður honum ósvipt við.
and even therewith came Howard on to the skerry, and thrust him through with the Sword Warflame.	Og í því komst Hávarður upp á skerið og lagði hann þegar í gegnum með sverðinu Gunnloga.
Then was Hallgrim also come on to the skerry;	Hallgrímur var þá upp kominn í skerið.
but Howard smote Thorbiorn across the face, and clave out the teeth and jaw-teeth of him, and down right through.	Hávarður hjó þá um þvert andlitið og klauf tennur og jaxla og þar niður í gegnum.
Hallgrim asked wherefore he did so to a dead man;	Hallgrímur spurði hví hann gerði svo við dauðan mann.
but Howard said:	Hávarður svaraði:
"I had this stroke in my mind when Thorbiorn smote me in the face with that cloth knit up;	«Það var mér þá í hug er Þorbjörn rak knýtilskautann á nasir mér.
for then the teeth that he had smitten from Olaf, my son with this same sword, tumbled about me."	Hrundu þá úr tennur og jaxlar er hann hafði höggvið úr Ólafi syni mínum með hinu sama sverði.»
Then they made for the land again.	Síðan lögðust þeir til lands.
Then Hallgrim asked what to do now, and Howard answered:	Þá spurði Hallgrímur hvað þeir skyldu þá að hafast.
"We will take the cutter and all we deem of avail, and make for under Moon-berg to see Liot the champion:	Hávarður svaraði: «Vér skulum taka skútuna og allt það er oss þykir slægur til og halda undir Mánaberg og finna Ljót kappann.
somewhat of a revenge were there in such a man as that, if we might get it done."	Væri heldur hefnd í slíkum mönnum sem hann er ef svo vel vildi verða.»
So they take the cutter and manifold good things of those kinsmen, and row out along the firth, and up to Moonberg.	Þeir taka nú skútuna og marga gripi þá er þeir frændur höfðu átt og róa út eftir firði og framan að Mánabergi.
Then spake Howard :	Þá mælti Hávarður:
"Now must we fare wisely.	«Nú munum vér verða með ráðum að að fara.
Liot is well ware of himself, for he hath ever feuds on hand;	Er Ljótur var um sig. Á hann jafnan sökótt.
Then said Torfi Valbrandson:	Þá mælti Torfi Valbrandsson:
"My rede it is to bear fire to the stead, and burn every man's son within."	«Það er mitt ráð að vér berum eld að bænum og brennum inni hvert mannsbarn.»
Howard said it should not be so:	Hávarður sagði að eigi skyldi svo vera:
"But thou and Hallgrim my kinsman shall be upon the housetop to watch thence the mouth of the earth-house, lest any go out thereby, thee I trust best for this:	«Skuluð þið Hallgrímur frændi vera uppi á húsunum og gæta þess jarðhússmunnans er út má ganga.
here also be two doors in the front of the stead and two doors to the hall:	Trúi eg ykkur best til. Hér eru og tvennar dyr framan á bænum.
but thou Thorhall shalt watch the cutter here, and defend it manly if there be need thereof."	Nú skulum við Eyjólfur ganga inn aðrar en þeir bræður Oddur og Þórir aðrar og svo í skálann en þú Þórhallur skalt gæta hér skútunnar og skaltu verja með karlmennsku þó að þess þurfi með.»
So when he had ordered them as he would, they go up to the house.	Og er hann hefir til skipað svo sem hann vill þá ganga þeir heim að bænum.
There stood a great out-bower in the home-mead, and a man armed sat under the wall thereof:	Útibúr mikið stóð í túni og maður einn sat undir veggnum með vopnum.
so when they were drawn nigh the same, the man sees them, and springs up with the mind to give warning of their coming:	Og er þeir koma mjög svo að upp sér hann mennina og sprettur upp og hleypur og ætlar að gera vart við komu þeirra.
now Hallgrim went foremost of that company, and he shot a spear after that man, and pinned him to the house-wall, and there he died on the spear.	Hallgrímur gekk fyrstur þeirra félaga. Hann skaut spjóti eftir honum og rak í gegnum hann við vegginn. Dó hann þegar á spjótinu.
So then they went whither they were minded;	Eftir það gengu þeir þangað sem ætlað var.
Torfi and Hallgrim going to the outgate of the house.	Ganga þeir Torfi og Hallgrímur þangað sem útganga var á bænum.
Chapter 12 - Of the Slaying of Liot Thiodrekson	Kafli 12
So tells the tale that Howard went into the hall;	Svo er sagt að Hávarður snarast inn í skálann.
light burned above, but below it was dim:	Brann þar ljós og var ljóst hið efra en dimmt hið neðra.
so he went into the bedchamber:	Hann gekk þar þegar að hvílugólfinu.
and as it happed the mistress was not yet gone to bed, but was yet in the women's bower, and women with her, and the bed-chamber was not locked.	Bar þá svo til að húsfreyja var ekki í sæng komin, var í stofu og konur hjá henni. Var þá ekki læst hvílugólfið.
So Howard smote with the flat of his sword on the door, and Liot waked therewith, and asked who made that clatter, and so master Howard named himself.	Hávarður slær flötu sverðinu á hurðina. Ljótur vaknaði við og spurði hver harkaðist. Hávarður karl sagði til sín. Ljótur mælti þá:
"Why art thou there, carle Howard ?" said Liot, "we were told the day before yesterday that thou wert hard at death's door."	«Hví ertu hér Hávarður karl? Var oss sagt í fyrra dag að þú værir að dauða kominn.»
Howard answered:	Hávarður svarar:
for hearken, I tell thee of the death of thy brethren, Thorbiorn and Sturla."	Kann eg að segja þér víg bræðra þinna, Þorbjarnar og Sturlu.»
When he heard that, he sprang up in his bed, and caught down a sword that hung over him, and cried on the men in the hall to arise and take their weapons:	Og er hann heyrir þetta hljóp hann upp í rúminu og grípur ofan sverð er hékk yfir honum.
but Liot turned sharply therewith, and the sword glanced from the shoulder, and tore down the arm, and took it off at the elbow joint:	Hávarður hljóp þá upp í hvílugólfið og hjó til Ljóts á öxlina vinstri en Ljótur brást við hart og bar sverðið út af öxlinni og flusti ofan handlegginn og af höndina í ölnbogabótinni.
Liot leapt forth from the chamber with brandished sword, with the mind to hew down Howard;	Ljótur hljóp fram úr rúminu með brugðið sverðið og ætlaði að höggva til Hávarðar.
but then was Eyjulf come up, and he smote him on the right shoulder, and struck off his hand, and there they slew Liot.	Þá var Eyjólfur upp kominn og hjó á öxlina hægri og af höndina og felldu þeir þar Ljót.
Then arose great uproar in the hall, and Liot's house-carles would stand up and take to their weapons;	Þá var ys mikill í skálanum. Vildu húskarlar Ljóts þá upp standa og taka til vopna.
Then they went down to the cutter, and Thor-hall greeted them well there.	Síðan gengu þeir ofan til skútunnar og heilsaði Þórhallur þeim vel.
Torfi Valbrandson asked what to do now. Said Howard:	Þá spurði Torfi Valbrandsson hvað nú skyldi að hafast.
"Now shall we seek after some safeguard;	«Nú skal leita til trausts nokkurs.
for though the revenge be not as great as would, yet shall we not be able to keep ourselves after this work;	Þó að ekki verði hefndin jafnmikil sem eg vildi þá munum vér þó ekki einhlítir til að halda oss eftir þessi verk.
for there are many of Thorbiorn's kin of great account:	Eru enn margir frændur Þorbjarnar, þeir er mikils eru verðir.
for he of all men has promised to help me in my need."	Hefir hann helst haft tilmæli við mig ef eg þyrfti nokkurs við.»
So they all bade him look to it, and they would do his will, and not depart from him till he deemed it meet.	Allir þeir báðu hann fyrir sjá og sögðust það vilja gera er hann vildi og eigi fyrr við skiljast en hann sæi ráð fyrir.
Chapter 13 - Of those Fellows and Steinthor of Ere	Kafli 13
Of their voyage is nought to tell till they come to Ere;	Nú er ekki að segja frá þeirra ferð fyrr en þeir koma á Eyri.
and it was then the time of day whenas Steinthor was sitting at table with his men :	Var það þann tíma dags er Steinþór sat að borðum með menn sína.
so they went into the hall with their weapons, four in company;	Þeir ganga í stofuna fjórir saman með vopnum.
and Howard went before Steinthor, and greeted him;	Gekk Hávarður fyrir Steinþór og kvaddi hann.
Steinthor took his. greeting well, and asked who he was, and he said he was called Howard.	Steinþór tók kveðju hans og spurði hver hann væri. Hann kveðst Hávarður heita.
"Wert thou in our booth last summer?"	«Varstu í búð vorri í fyrra sumar?»
He said that so it was.	Hann kvað svo verið hafa.
Then said Steinthor:	Steinþór mælti:
"Lads, have ye seen any man less like to what he is now than the man he was then ?	«Hafið þér séð ólíkara mann piltar sjálfum sér er hann er nú eða þá var hann?
but now a wight man under weapons he seemeth to be.	En nú sýnist mér maðurinn hinn gervilegasti undir vopnum.
What tell ye any tidings?"	Eða segið þér nokkuð tíðinda?»
Howard answered:	Hávarður svaraði:
"Tidings we tell of:	«Vér segjum víg Þorbjarnar Þjóðrekssonar og bræðra hans,
Steinthor answered:	Steinþór svarar:
"Great tidings ye tell:	«Þetta eru mikil tíðindi.
who is it hath done this, and smitten down these the greatest of champions, these so mighty men ?"	Eða hverjir hafa þetta gert er drepið hafa niður kappa hina mestu og stóreflismenn?»
Howard spake and said that he and his kinsmen had done it.	Hávarður mælti og sagði að þeir frændur hafi það gert.
Then spake Steinthor, and asked where Howard would seek for safeguard after such great deeds.	Steinþór mælti og spurði hvert Hávarður ætlaði að leita trausts eftir slíkt stórvirki.
Said Howard :	Hávarður svarar:
"I was minded for that which has now come to pass, to wit, to come unto thee, for methought thou saidst last summer at the Thing, that if ever I needed some little help I should come to thee no later than to other chiefs."	«Það hefi eg ætlað sem nú er orðið að leita til þín. Þótti mér þú það mæla í fyrra sumar á þingi ef eg þyrfti lítillar liðveislu við að eg mundi eigi síður koma til þín en til annarra höfðingja.»
Steinthor answered:	Steinþór svaraði:
